Running strategy cwmr_var_o on dataset djia.
Start Time: 2018-0305-23-07-49-369.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.981832	0.984400
3	1.024486	1.008504
4	0.968559	0.976796
5	1.004212	0.980910
6	0.985775	0.966957
7	1.013502	0.980012
8	1.008539	0.988381
9	0.999885	0.988268
10	0.986177	0.974607
11	0.940917	0.917025
12	1.067073	0.978533
13	1.022757	1.000801
14	1.009903	1.010711
15	0.960802	0.971093
16	0.981055	0.952696
17	1.013410	0.965472
18	1.033631	0.997941
19	1.002963	1.000898
20	1.020728	1.021645
21	1.003310	1.025026
22	0.984544	1.009184
23	1.021620	1.031003
24	0.998772	1.029736
25	0.997087	1.026736
26	0.976312	1.002415
27	1.013157	1.015604
28	1.011189	1.026968
29	1.052096	1.080469
30	1.009951	1.091221
31	0.991721	1.082187
32	0.920616	0.996278
33	0.983607	0.979946
34	0.981732	0.962045
35	0.987368	0.949892
36	1.012049	0.961338
37	0.991031	0.952715
38	1.007599	0.959955
39	0.958223	0.919851
40	1.023516	0.941483
41	1.014840	0.955454
42	0.993785	0.949516
43	0.985887	0.936116
44	1.012441	0.947762
45	0.956604	0.906633
46	0.941261	0.853378
47	1.060469	0.904980
48	0.989552	0.895525
49	1.034168	0.926123
50	0.969331	0.897720
51	1.075077	0.965117
52	0.923006	0.890809
53	1.032982	0.920190
54	0.992568	0.913351
55	1.048411	0.957568
56	1.017567	0.974390
57	0.994239	0.968776
58	1.028039	0.995940
59	0.985895	0.981892
60	0.994704	0.976692
61	0.989747	0.966678
62	0.948061	0.916470
63	0.998359	0.914966
64	1.123720	1.028166
65	1.001013	1.029207
66	0.983782	1.012515
67	1.030438	1.043334
68	0.991130	1.034079
69	1.000121	1.034204
70	1.004941	1.039314
71	0.991024	1.029985
72	1.183800	1.219296
73	0.994283	1.212326
74	0.972007	1.178390
75	1.008694	1.188635
76	0.968420	1.151098
77	1.030949	1.186723
78	0.984540	1.168377
79	1.015748	1.186776
80	1.009386	1.197916
81	1.019106	1.220803
82	1.004901	1.226785
83	0.987774	1.211786
84	1.013852	1.228572
85	1.002062	1.231106
86	0.975743	1.201243
87	0.997136	1.197803
88	0.986275	1.181363
89	0.963116	1.137790
90	0.981031	1.116207
91	0.992339	1.107655
92	0.993269	1.100200
93	1.002130	1.102543
94	1.006385	1.109583
95	1.027753	1.140378
96	0.983054	1.121054
97	0.993140	1.113363
98	0.995355	1.108191
99	0.995437	1.103134
100	0.998145	1.101087
101	0.970361	1.068452
102	1.015503	1.085017
103	1.036065	1.124148
104	0.992732	1.115978
105	1.006145	1.122836
106	0.979984	1.100361
107	0.998193	1.098373
108	0.976688	1.072768
109	0.972909	1.043706
110	0.960663	1.002650
111	0.972165	0.974741
112	0.929330	0.905855
113	1.014219	0.918736
114	0.993254	0.912538
115	0.995253	0.908206
116	0.988119	0.897416
117	0.992171	0.890390
118	0.987113	0.878915
119	0.995575	0.875026
120	0.999704	0.874767
121	0.993637	0.869201
122	1.026490	0.892227
123	0.989638	0.882981
124	0.977364	0.862994
125	1.027083	0.886367
126	0.985657	0.873653
127	0.963419	0.841694
128	1.002679	0.843949
129	0.999704	0.843700
130	1.002013	0.845398
131	1.029024	0.869935
132	1.006916	0.875952
133	0.995142	0.871696
134	1.012691	0.882759
135	1.004651	0.886865
136	1.002346	0.888945
137	1.005999	0.894278
138	0.969789	0.867261
139	0.972620	0.843516
140	1.049154	0.884978
141	0.989461	0.875651
142	1.012917	0.886962
143	1.001755	0.888518
144	1.018756	0.905183
145	0.998725	0.904029
146	1.001776	0.905635
147	0.998668	0.904429
148	0.991086	0.896366
149	1.011229	0.906431
150	0.980881	0.889101
151	1.000865	0.889870
152	1.014376	0.902663
153	0.983144	0.887448
154	1.003247	0.890330
155	0.977961	0.870707
156	1.012562	0.881645
157	0.979231	0.863334
158	1.001148	0.864325
159	0.994643	0.859695
160	1.024643	0.880881
161	0.997341	0.878539
162	1.007444	0.885079
163	0.991843	0.877859
164	1.007345	0.884307
165	0.986670	0.872520
166	0.977828	0.853174
167	1.001932	0.854822
168	0.989401	0.845762
169	0.967039	0.817884
170	0.972512	0.795403
171	0.960127	0.763688
172	0.987901	0.754448
173	0.884111	0.667015
174	1.008463	0.672660
175	0.968245	0.651300
176	0.955194	0.622118
177	0.995589	0.619374
178	1.032965	0.639791
179	1.011445	0.647114
180	0.982091	0.635525
181	0.963462	0.612303
182	1.053892	0.645302
183	0.974352	0.628751
184	1.057099	0.664652
185	1.070323	0.711392
186	0.990875	0.704901
187	1.019027	0.718313
188	1.001995	0.719746
189	1.051258	0.756638
190	1.032644	0.781338
191	1.011177	0.790071
192	0.984826	0.778082
193	0.991741	0.771656
194	1.000213	0.771820
195	0.973362	0.751260
196	0.985478	0.740350
197	0.989610	0.732658
198	1.027405	0.752737
199	0.936715	0.705100
200	1.011088	0.712918
201	1.007086	0.717970
202	1.008643	0.724175
203	0.975696	0.706574
204	0.978543	0.691413
205	0.944830	0.653267
206	1.048103	0.684692
207	1.033767	0.707812
208	1.055984	0.747438
209	1.004660	0.750921
210	0.991832	0.744787
211	0.996014	0.741818
212	1.034407	0.767342
213	0.994585	0.763187
214	1.038663	0.792694
215	1.002147	0.794396
216	0.980010	0.778516
217	1.009411	0.785843
218	0.988541	0.776838
219	1.025669	0.796779
220	1.016282	0.809752
221	1.026887	0.831524
222	0.984648	0.818759
223	0.981096	0.803281
224	1.002977	0.805672
225	1.013653	0.816672
226	0.996067	0.813460
227	0.958961	0.780077
228	1.011647	0.789162
229	0.987432	0.779244
230	0.986104	0.768415
231	1.018354	0.782519
232	0.993555	0.777476
233	0.985207	0.765975
234	0.978204	0.749279
235	0.984169	0.737417
236	1.019172	0.751555
237	0.999654	0.751295
238	1.014471	0.762167
239	1.007414	0.767818
240	0.985247	0.756490
241	0.994344	0.752211
