Running strategy cwmr_var_o on dataset djia.
Start Time: 2018-0309-01-27-31-651.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.981832	0.984400
3	1.024486	1.008504
4	0.989028	0.997439
5	1.006259	1.003681
6	1.002860	1.006552
7	1.005858	1.012449
8	1.008848	1.021407
9	1.006270	1.027812
10	1.003990	1.031912
11	0.967420	0.998292
12	1.062865	1.061050
13	1.019961	1.082229
14	1.009951	1.092998
15	0.963063	1.052626
16	0.982899	1.034626
17	1.013361	1.048449
18	1.033265	1.083325
19	1.003725	1.087361
20	1.020714	1.109884
21	1.002803	1.112995
22	0.985567	1.096931
23	1.021620	1.120647
24	0.998474	1.118937
25	0.997269	1.115881
26	0.979564	1.093077
27	1.037010	1.133531
28	1.001485	1.135215
29	1.017667	1.155271
30	1.013470	1.170832
31	1.000374	1.171270
32	0.924547	1.082894
33	0.983604	1.065139
34	0.989953	1.054437
35	0.981317	1.034737
36	1.009449	1.044514
37	0.991627	1.035768
38	1.014116	1.050389
39	0.974061	1.023143
40	1.021065	1.044696
41	1.014724	1.060078
42	0.993562	1.053253
43	0.986057	1.038567
44	1.012448	1.051495
45	0.956603	1.005864
46	0.947305	0.952859
47	1.055357	1.005607
48	0.985220	0.990744
49	1.034182	1.024610
50	0.968161	0.991987
51	1.086957	1.078247
52	0.912747	0.984167
53	1.037759	1.021328
54	0.992473	1.013640
55	1.048173	1.062471
56	1.029882	1.094220
57	0.986470	1.079415
58	1.036272	1.118567
59	0.994827	1.112781
60	1.009390	1.123229
61	0.990724	1.112810
62	0.950246	1.057443
63	0.986646	1.043321
64	1.092800	1.140142
65	0.996122	1.135720
66	0.991754	1.126355
67	1.033081	1.163616
68	0.988599	1.150350
69	1.001832	1.152457
70	1.001057	1.153675
71	0.990114	1.142270
72	1.092142	1.247521
73	1.005624	1.254537
74	0.969198	1.215895
75	1.008694	1.226467
76	0.969938	1.189596
77	1.032020	1.227687
78	0.986125	1.210653
79	1.015748	1.229718
80	1.008340	1.239973
81	1.018119	1.262440
82	0.999310	1.261569
83	0.995434	1.255808
84	1.013445	1.272693
85	1.002754	1.276199
86	0.975028	1.244330
87	1.004100	1.249432
88	0.969262	1.211026
89	0.963116	1.166359
90	0.981031	1.144234
91	0.992339	1.135467
92	1.020691	1.158961
93	1.004664	1.164367
94	1.007015	1.172534
95	1.023509	1.200100
96	0.986106	1.183426
97	0.992430	1.174467
98	1.001295	1.175988
99	0.997755	1.173348
100	0.994786	1.167230
101	0.963407	1.124518
102	1.015624	1.142087
103	1.007480	1.150630
104	0.996295	1.146366
105	1.006158	1.153426
106	0.997042	1.150014
107	1.019519	1.172461
108	0.987126	1.157367
109	0.990317	1.146160
110	0.968442	1.109990
111	0.973671	1.080765
112	0.894899	0.967175
113	1.043127	1.008886
114	0.994914	1.003755
115	0.994769	0.998504
116	0.988033	0.986555
117	0.992171	0.978831
118	0.987013	0.966119
119	0.995575	0.961844
120	0.999914	0.961762
121	0.993637	0.955642
122	1.011119	0.966268
123	0.997019	0.963388
124	0.977364	0.941581
125	1.025014	0.965133
126	0.983172	0.948892
127	0.962947	0.913732
128	1.000040	0.913769
129	0.997497	0.911482
130	1.009484	0.920126
131	1.030595	0.948277
132	1.001888	0.950068
133	1.001563	0.951553
134	1.000629	0.952151
135	0.997601	0.949867
136	1.002988	0.952704
137	1.008490	0.960793
138	0.969789	0.931767
139	0.972677	0.906308
140	1.049154	0.950856
141	0.987200	0.938685
142	1.012917	0.950810
143	1.001084	0.951840
144	1.005619	0.957189
145	0.998342	0.955602
146	0.998493	0.954162
147	0.995332	0.949707
148	0.991026	0.941185
149	1.013750	0.954126
150	0.987096	0.941815
151	1.000273	0.942071
152	1.013489	0.954779
153	0.985185	0.940634
154	1.003065	0.943517
155	0.987292	0.931527
156	1.010807	0.941594
157	0.981998	0.924644
158	1.004631	0.928926
159	0.994643	0.923950
160	1.023610	0.945764
161	0.995266	0.941287
162	1.012774	0.953311
163	0.985439	0.939430
164	0.994616	0.934372
165	0.990086	0.925109
166	0.977971	0.904729
167	1.011615	0.915237
168	0.986553	0.902930
169	0.994596	0.898051
170	0.972512	0.873366
171	0.995521	0.869454
172	0.967981	0.841615
173	0.837498	0.704851
174	0.961412	0.677652
175	0.973876	0.659950
176	0.910948	0.601179
177	1.034374	0.621844
178	1.046321	0.650649
179	0.998818	0.649880
180	1.001607	0.650924
181	1.002463	0.652528
182	1.036413	0.676288
183	0.982583	0.664509
184	1.046778	0.695594
185	1.067011	0.742206
186	0.993512	0.737390
187	1.011012	0.745511
188	1.000011	0.745519
189	1.051564	0.783960
190	1.017412	0.797611
191	1.010199	0.805745
192	0.987317	0.795526
193	0.991357	0.788651
194	1.000399	0.788966
195	0.974964	0.769213
196	0.994748	0.765173
197	1.008147	0.771407
198	1.023672	0.789667
199	0.959520	0.757701
200	1.011088	0.766103
201	1.015562	0.778025
202	1.010241	0.785993
203	0.975699	0.766892
204	0.979450	0.751132
205	0.919784	0.690880
206	1.048103	0.724113
207	1.007966	0.729882
208	1.040266	0.759271
209	1.028381	0.780820
210	0.992098	0.774650
211	1.001226	0.775600
212	1.034407	0.802287
213	0.994585	0.797942
214	1.024078	0.817155
215	1.010696	0.825895
216	1.001565	0.827188
217	1.009411	0.834973
218	1.029841	0.859889
219	1.015494	0.873212
220	1.026009	0.895924
221	1.026887	0.920013
222	0.984648	0.905889
223	0.979266	0.887106
224	1.010381	0.896314
225	1.013688	0.908584
226	0.996067	0.905010
227	0.976946	0.884146
228	1.012706	0.895380
229	0.996580	0.892317
230	0.992759	0.885856
231	1.018082	0.901874
232	0.993578	0.896082
233	0.985207	0.882826
234	0.985336	0.869880
235	0.990699	0.861790
236	1.021121	0.879992
237	0.998940	0.879058
238	1.013576	0.890993
239	1.007180	0.897390
240	0.986998	0.885722
241	0.998572	0.884457
