Running strategy cwmr_var_o on dataset msci.
Start Time: 2018-0306-02-25-58-555.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.013756	1.021852
3	1.009641	1.031703
4	1.017418	1.049673
5	0.982990	1.031818
6	1.005034	1.037012
7	0.996693	1.033582
8	0.999500	1.033066
9	0.996847	1.029808
10	1.000000	1.029808
11	1.017483	1.047812
12	1.012375	1.060779
13	1.007114	1.068326
14	0.992006	1.059786
15	1.016968	1.077768
16	0.995427	1.072839
17	1.003709	1.076818
18	1.016877	1.094991
19	1.006734	1.102364
20	0.997553	1.099667
21	1.008534	1.109051
22	1.005599	1.115261
23	0.997827	1.112837
24	1.009801	1.123744
25	0.978196	1.099241
26	1.002873	1.102399
27	1.013771	1.117580
28	1.000917	1.118605
29	0.992958	1.110728
30	0.973754	1.081576
31	0.996690	1.077996
32	0.996951	1.074709
33	1.011053	1.086588
34	0.993516	1.079542
35	0.991028	1.069857
36	0.982793	1.051447
37	1.033604	1.086780
38	1.010764	1.098479
39	1.003219	1.102015
40	1.012398	1.115678
41	1.012261	1.129357
42	0.997583	1.126627
43	1.003478	1.130546
44	1.002598	1.133484
45	1.014250	1.149635
46	0.996561	1.145681
47	0.977043	1.119379
48	0.996879	1.115886
49	0.949416	1.059441
50	1.027841	1.088936
51	0.993558	1.081921
52	0.954195	1.032364
53	1.003878	1.036368
54	0.979566	1.015190
55	1.007026	1.022323
56	1.001646	1.024005
57	1.005462	1.029598
58	1.003800	1.033510
59	0.993124	1.026404
60	0.996564	1.022877
61	0.997669	1.020492
62	1.009897	1.030592
63	0.996103	1.026575
64	1.004600	1.031297
65	1.015550	1.047333
66	1.012561	1.060488
67	1.004172	1.064912
68	0.989640	1.053880
69	0.997938	1.051707
70	1.009788	1.062001
71	0.996236	1.058004
72	1.000186	1.058200
73	0.998535	1.056650
74	0.961763	1.016248
75	0.994407	1.010564
76	0.977752	0.988081
77	1.009585	0.997552
78	1.003885	1.001427
79	1.016019	1.017469
80	0.992188	1.009521
81	1.000054	1.009576
82	1.031859	1.041740
83	1.000645	1.042412
84	1.020714	1.064004
85	0.997865	1.061733
86	1.008980	1.071267
87	0.990613	1.061211
88	1.020411	1.082871
89	1.007307	1.090784
90	1.014356	1.106443
91	1.001077	1.107635
92	1.014839	1.124071
93	1.008897	1.134072
94	0.991735	1.124699
95	0.998614	1.123141
96	1.011143	1.135656
97	1.010903	1.148039
98	1.008147	1.157392
99	1.007374	1.165926
100	1.003706	1.170247
101	0.987584	1.155718
102	0.998262	1.153709
103	0.999044	1.152606
104	0.996088	1.148098
105	0.996484	1.144061
106	0.993173	1.136250
107	1.012550	1.150510
108	1.014863	1.167610
109	1.011703	1.181274
110	1.002320	1.184015
111	1.004986	1.189918
112	0.997801	1.187302
113	0.981344	1.165152
114	0.977813	1.139301
115	0.989564	1.127412
116	0.984181	1.109577
117	1.004343	1.114396
118	1.003829	1.118663
119	1.004273	1.123443
120	0.996830	1.119882
121	1.010765	1.131937
122	1.003063	1.135404
123	0.998215	1.133378
124	1.006058	1.140244
125	0.994699	1.134199
126	1.008560	1.143908
127	1.033401	1.182116
128	1.019027	1.204607
129	1.002918	1.208122
130	0.990627	1.196798
131	1.004140	1.201752
132	0.995641	1.196514
133	1.002646	1.199680
134	1.020333	1.224074
135	0.992649	1.215076
136	1.006729	1.223253
137	1.012105	1.238060
138	0.999729	1.237725
