Running strategy cwmr_var_o on dataset msci.
Start Time: 2018-0307-15-07-12-211.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.013756	1.021852
3	1.009641	1.031703
4	1.017418	1.049673
5	0.982990	1.031818
6	1.005034	1.037012
7	0.996693	1.033582
8	0.999500	1.033066
9	0.996847	1.029808
10	1.000000	1.029808
11	1.017483	1.047812
12	1.012375	1.060779
13	1.006901	1.068100
14	0.991947	1.059498
15	1.016968	1.077475
16	0.995427	1.072548
17	1.003709	1.076525
18	1.016448	1.094233
19	1.006863	1.101742
20	0.997553	1.099046
21	1.008910	1.108839
22	1.005599	1.115047
23	0.997827	1.112624
24	1.009861	1.123595
25	0.978196	1.099096
26	1.002873	1.102253
27	1.013771	1.117433
28	1.000913	1.118452
29	0.992958	1.110576
30	0.973754	1.081428
31	0.996690	1.077849
32	0.996951	1.074562
33	1.011053	1.086439
34	0.993231	1.079085
35	0.991028	1.069404
36	0.982793	1.051002
37	1.033724	1.086446
38	1.010822	1.098203
39	1.003225	1.101745
40	1.012451	1.115463
41	1.011963	1.128808
42	0.997478	1.125961
43	1.003601	1.130015
44	1.002598	1.132951
45	1.014250	1.149095
46	0.996669	1.145268
47	0.977029	1.118960
48	0.996866	1.115454
49	0.949517	1.059143
50	1.027848	1.088638
51	0.993558	1.081625
52	0.954195	1.032082
53	1.003878	1.036084
54	0.979566	1.014913
55	1.007026	1.022043
56	1.001675	1.023755
57	1.005129	1.029006
58	1.003932	1.033052
59	0.995780	1.028692
60	0.996564	1.025158
61	0.997661	1.022760
62	1.009595	1.032573
63	0.996086	1.028531
64	1.004600	1.033262
65	1.012858	1.046548
66	1.012140	1.059253
67	1.003805	1.063283
68	0.989640	1.052267
69	0.996919	1.049025
70	1.010397	1.059932
71	0.995709	1.055383
72	1.000186	1.055579
73	0.998373	1.053862
74	0.961763	1.013566
75	0.994407	1.007897
76	0.977231	0.984948
77	1.009585	0.994390
78	1.003885	0.998253
79	1.006985	1.005225
80	0.992189	0.997373
81	1.002707	1.000073
82	1.031840	1.031916
83	1.000129	1.032049
84	1.020714	1.053427
85	0.999705	1.053116
86	1.008316	1.061874
87	0.989753	1.050993
88	1.020406	1.072439
89	1.007307	1.080275
90	1.015315	1.096820
91	1.001077	1.098002
92	1.014839	1.114295
93	1.008897	1.124209
94	0.993100	1.116452
95	0.998392	1.114657
96	1.011143	1.127077
97	1.010693	1.139129
98	1.007783	1.147995
99	1.008955	1.158275
100	1.003706	1.162567
101	0.987584	1.148133
102	0.998386	1.146281
103	0.999220	1.145387
104	0.995965	1.140765
105	0.996484	1.136754
106	0.993173	1.128993
107	1.012550	1.143162
108	1.014863	1.160153
109	1.011703	1.173730
110	1.003243	1.177536
111	1.004986	1.183407
112	0.997038	1.179902
113	0.981344	1.157890
114	0.977813	1.132201
115	0.989564	1.120385
116	1.000985	1.121489
117	1.004343	1.126359
118	1.003817	1.130658
119	1.004167	1.135369
120	0.996830	1.131770
121	1.010765	1.143953
122	1.003168	1.147577
123	0.998838	1.146244
124	1.005919	1.153029
125	0.994699	1.146916
126	1.008560	1.156734
127	1.033401	1.195370
128	1.019059	1.218153
129	1.002918	1.221707
130	0.990627	1.210256
131	1.004140	1.215266
132	0.995641	1.209969
133	1.002649	1.213174
134	1.020328	1.237835
135	0.992649	1.228735
136	1.005846	1.235918
137	1.012105	1.250879
138	0.999729	1.250540
