Running strategy cwmr_var_o on dataset nyse-n.
Start Time: 2018-0306-18-37-41-499.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	0.991464	0.991464
2	0.977420	0.969077
3	0.988423	0.957857
4	1.005670	0.963288
5	0.977278	0.941401
6	1.021740	0.961867
7	1.007109	0.968705
8	0.993650	0.962554
9	1.029807	0.991245
10	0.999731	0.990978
11	1.001163	0.992130
12	0.990594	0.982798
13	0.988756	0.971748
14	1.034010	1.004797
15	1.000000	1.004797
16	1.048304	1.053333
17	1.022120	1.076632
18	1.019459	1.097583
19	1.006885	1.105140
20	0.970590	1.072638
21	1.000000	1.072638
22	0.978850	1.049952
23	1.000000	1.049952
24	1.010668	1.061152
25	1.006590	1.068145
26	0.981322	1.048194
27	1.002740	1.051066
28	1.006311	1.057699
29	0.997127	1.054660
30	0.994630	1.048997
31	0.992280	1.040899
32	1.003890	1.044948
33	0.985210	1.029493
34	1.006147	1.035821
35	1.021266	1.057849
36	1.003010	1.061033
37	0.998847	1.059809
38	1.032062	1.093789
39	1.028570	1.125039
40	0.970210	1.091524
41	1.010210	1.102668
42	1.008047	1.111541
43	0.995222	1.106229
44	1.010450	1.117789
45	0.972650	1.087218
46	0.984360	1.070214
47	0.993822	1.063602
48	0.992982	1.056138
49	1.006850	1.063373
50	1.028570	1.093753
51	1.001610	1.095514
52	1.028570	1.126813
53	1.009559	1.137585
54	1.000000	1.137585
55	0.979827	1.114636
56	0.989850	1.103323
57	1.008540	1.112745
58	0.986420	1.097634
59	0.993532	1.090535
60	1.000226	1.090781
61	1.006935	1.098346
62	1.003735	1.102448
63	1.011820	1.115479
64	1.006870	1.123142
65	1.002496	1.125945
66	1.011220	1.138578
67	0.994806	1.132665
68	1.005751	1.139179
69	1.003765	1.143468
70	1.000000	1.143468
71	1.015394	1.161070
72	0.994751	1.154976
73	0.994052	1.148106
74	1.029095	1.181510
75	0.994558	1.175080
76	0.998295	1.173076
77	0.986558	1.157308
78	1.010665	1.169650
79	0.991710	1.159954
80	0.985500	1.143134
81	1.004342	1.148098
82	0.974450	1.118764
83	0.999238	1.117912
84	0.978140	1.093474
85	0.994160	1.087088
86	1.000000	1.087088
87	0.970953	1.055511
88	1.030300	1.087493
89	0.994000	1.080968
90	1.002647	1.083829
91	1.002460	1.086495
92	0.994885	1.080938
93	0.994147	1.074612
94	1.000230	1.074859
95	1.000000	1.074859
96	1.038030	1.115735
97	1.036429	1.156381
98	0.999968	1.156344
99	0.970790	1.122567
100	0.962400	1.080359
101	1.031270	1.114142
102	1.015766	1.131707
103	0.993782	1.124669
104	0.998586	1.123079
105	1.000000	1.123079
106	0.984510	1.105683
107	1.003910	1.110006
108	1.000000	1.110006
109	0.991994	1.101119
110	1.007746	1.109649
111	0.985650	1.093726
112	0.992560	1.085588
113	0.997400	1.082766
114	0.982400	1.063709
115	1.019150	1.084079
116	0.990223	1.073480
117	1.007790	1.081843
118	0.999688	1.081505
119	1.015960	1.098766
120	1.000000	1.098766
121	0.989053	1.086738
122	1.007665	1.095067
123	0.995073	1.089671
124	1.023170	1.114919
125	1.015226	1.131895
126	1.005693	1.138340
127	1.000000	1.138340
128	0.980140	1.115732
129	0.993935	1.108965
130	0.991051	1.099042
131	0.994260	1.092733
132	1.019010	1.113506
133	1.006486	1.120728
134	0.996672	1.116999
135	1.007586	1.125473
136	0.997662	1.122842
137	0.997380	1.119900
138	0.984620	1.102676
139	1.017120	1.121553
140	1.002960	1.124873
141	1.014480	1.141161
142	1.005510	1.147449
143	0.994010	1.140576
144	0.986949	1.125690
145	0.997294	1.122644
146	1.008270	1.131928
147	1.008430	1.141470
148	1.000000	1.141470
149	0.992612	1.133037
150	0.996680	1.129275
151	0.999556	1.128774
152	1.010172	1.140255
153	1.019800	1.162832
154	1.006843	1.170790
155	0.989440	1.158427
156	0.993760	1.151199
157	0.997911	1.148794
158	0.985240	1.131838
159	0.997870	1.129427
160	0.998158	1.127347
161	1.020130	1.150040
162	1.000000	1.150040
163	0.985650	1.133537
164	1.007278	1.141787
165	1.000000	1.141787
166	1.001090	1.143031
167	1.005243	1.149025
168	0.997130	1.145727
169	1.000000	1.145727
170	1.000000	1.145727
171	1.000000	1.145727
172	0.965520	1.106222
173	1.035710	1.145725
174	0.975588	1.117756
175	1.000000	1.117756
176	0.979310	1.094630
177	1.000000	1.094630
178	1.037290	1.135449
179	1.009916	1.146707
180	1.011630	1.160044
181	0.991615	1.150316
182	1.007000	1.158368
183	0.991692	1.148745
184	1.015800	1.166895
185	1.034480	1.207130
186	0.999420	1.206430
187	0.964290	1.163348
188	1.000000	1.163348
189	0.996360	1.159114
190	1.000000	1.159114
191	1.005258	1.165208
192	1.013456	1.180887
193	0.983184	1.161030
194	0.982400	1.140595
195	0.997173	1.137372
196	1.000000	1.137372
197	0.965520	1.098155
198	1.000000	1.098155
199	1.006388	1.105170
200	0.963590	1.064931
201	1.020350	1.086602
202	0.999364	1.085912
203	0.990665	1.075775
204	0.989956	1.064969
205	0.994617	1.059237
206	1.004925	1.064453
207	0.992677	1.056658
208	0.983720	1.039455
209	1.007762	1.047524
210	1.038460	1.087811
211	1.065170	1.158704
212	0.994700	1.152563
213	1.024163	1.180413
214	1.012508	1.195178
215	1.000932	1.196292
216	1.026225	1.227665
217	1.008200	1.237732
218	1.008840	1.248673
219	1.011926	1.263564
220	1.014833	1.282307
221	0.991739	1.271714
222	1.006540	1.280031
223	0.988534	1.265354
224	1.026147	1.298440
225	1.005978	1.306201
226	0.998773	1.304599
227	1.015906	1.325349
228	1.020019	1.351880
229	0.990616	1.339194
230	1.006562	1.347982
231	1.007763	1.358447
232	1.007703	1.368911
233	0.984015	1.347028
234	0.987945	1.330789
235	1.021740	1.359721
236	1.008881	1.371797
237	1.002085	1.374657
238	1.012685	1.392096
239	0.992590	1.381780
240	0.973801	1.345578
