Running strategy cwmr_var_o on dataset nyse-o.
Start Time: 2018-0307-10-02-26-715.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.014899	1.014899
2	1.000000	1.014899
3	0.987650	1.002365
4	1.004922	1.007299
5	1.073770	1.081608
6	1.010923	1.093422
7	0.950658	1.039470
8	1.071430	1.113720
9	0.997795	1.111263
10	0.948408	1.053931
11	1.008136	1.062505
12	0.982677	1.044099
13	0.966734	1.009367
14	1.000000	1.009367
15	0.999920	1.009286
16	1.001988	1.011292
17	1.056918	1.068853
18	0.994142	1.062592
19	1.000000	1.062592
20	1.030279	1.094766
21	1.002570	1.097580
22	1.019859	1.119377
23	1.000000	1.119377
24	0.993010	1.111552
25	0.990409	1.100892
26	1.000000	1.100892
27	0.966950	1.064507
28	0.998330	1.062730
29	1.013420	1.076992
30	1.010410	1.088203
31	1.010348	1.099463
32	0.999289	1.098681
33	1.018886	1.119431
34	1.000692	1.120206
35	1.000000	1.120206
36	1.023643	1.146691
37	0.959474	1.100221
38	0.970456	1.067716
39	1.033080	1.103036
40	1.048596	1.156639
41	1.023495	1.183814
42	1.006497	1.191506
43	1.003954	1.196216
44	1.000000	1.196216
45	0.990265	1.184572
46	1.040257	1.232260
47	1.076920	1.327045
48	1.001887	1.329549
49	1.076920	1.431817
50	1.003918	1.437427
51	1.000000	1.437427
52	1.022159	1.469280
53	0.991740	1.457143
54	1.000000	1.457143
55	1.000000	1.457143
56	0.995006	1.449867
57	0.970915	1.407698
58	0.933330	1.313847
59	1.044090	1.371774
60	0.995084	1.365030
61	1.152855	1.573682
62	1.017946	1.601924
63	0.970250	1.554267
64	1.086560	1.688805
65	1.001164	1.690771
66	1.058256	1.789268
67	0.999187	1.787814
68	0.979111	1.750468
69	0.876647	1.534542
70	1.125000	1.726360
71	0.987069	1.704036
72	1.004201	1.711194
73	0.957750	1.638896
74	1.029410	1.687096
75	1.038460	1.751982
76	0.972520	1.703838
77	0.999278	1.702609
78	0.968940	1.649725
79	0.999999	1.649724
80	1.022104	1.686190
81	0.988187	1.666271
82	1.047876	1.746046
83	1.029410	1.797397
84	1.000000	1.797397
85	1.001413	1.799936
86	1.010002	1.817939
87	1.000000	1.817939
88	1.023854	1.861303
89	1.015950	1.890991
90	1.000000	1.890991
91	1.024795	1.937878
92	1.040446	2.016258
93	1.002297	2.020889
94	1.000000	2.020889
95	1.000000	2.020889
96	1.007520	2.036086
97	1.000000	2.036086
98	0.993325	2.022495
99	1.013670	2.050143
100	1.006581	2.063634
101	0.995027	2.053372
102	1.042503	2.140646
103	1.023341	2.190611
104	1.087057	2.381320
105	0.988410	2.353720
106	0.999967	2.353641
107	1.023108	2.408028
108	1.001848	2.412479
109	0.999848	2.412113
110	0.990969	2.390329
111	0.989925	2.366248
112	1.003939	2.375569
113	0.984820	2.339507
114	1.000000	2.339507
115	1.004002	2.348871
116	1.000000	2.348871
117	0.981977	2.306537
118	1.000000	2.306537
119	0.999728	2.305909
120	1.030300	2.375778
121	1.000000	2.375778
122	1.006139	2.390362
123	1.000000	2.390362
124	1.004721	2.401647
125	0.998425	2.397865
126	1.000000	2.397865
127	1.017133	2.438948
128	1.019991	2.487705
129	1.008700	2.509348
130	1.000000	2.509348
131	1.000000	2.509348
132	1.018950	2.556901
133	1.009981	2.582421
134	1.020209	2.634611
135	1.049443	2.764873
136	1.017596	2.813523
137	1.029703	2.897092
138	1.000000	2.897092
139	0.958075	2.775632
140	1.078950	2.994768
141	0.998691	2.990847
142	0.923080	2.760791
143	1.083330	2.990847
144	0.969428	2.899412
145	0.955726	2.771043
146	1.090910	3.022958
147	1.009031	3.050259
148	0.983993	3.001432
149	1.003112	3.010774
150	0.986850	2.971182
151	1.034555	3.073853
152	1.000000	3.073853
153	1.000000	3.073853
154	1.003993	3.086126
155	1.007372	3.108876
156	1.100000	3.419764
157	1.005430	3.438334
158	1.000724	3.440823
