Running strategy cwmr_var_o on dataset sp500.
Start Time: 2018-0307-00-20-24-627.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.005824	1.005824
2	0.999695	1.005517
3	1.026306	1.031968
4	0.989815	1.021457
5	0.960403	0.981010
6	1.040120	1.020369
7	1.007892	1.028422
8	0.973627	1.001299
9	0.980000	0.981273
10	1.005956	0.987118
11	1.018515	1.005395
12	0.996145	1.001519
13	0.992509	0.994017
14	1.029173	1.023015
15	0.994298	1.017182
16	1.031235	1.048954
17	1.005998	1.055246
18	1.006363	1.061960
19	1.006486	1.068848
20	1.009602	1.079112
21	0.988938	1.067174
22	1.006356	1.073957
23	0.982880	1.055571
24	1.050243	1.108607
25	1.000000	1.108607
26	0.999877	1.108471
27	1.041339	1.154293
28	1.032164	1.191420
29	0.984541	1.173002
30	1.001879	1.175205
31	0.971660	1.141900
32	1.007292	1.150226
33	1.011310	1.163236
34	1.003458	1.167258
35	1.009417	1.178251
36	1.006378	1.185765
37	0.993103	1.177588
38	0.980680	1.154837
39	0.977005	1.128281
40	0.974927	1.099992
41	1.035795	1.139367
42	1.000979	1.140483
43	1.034703	1.180061
44	0.983111	1.160131
45	1.023500	1.187394
46	1.008620	1.197630
47	0.987467	1.182620
48	0.998413	1.180743
49	0.998516	1.178991
50	1.012506	1.193735
51	1.014658	1.211233
52	0.997029	1.207634
53	1.026768	1.239960
54	0.992253	1.230353
55	1.010283	1.243005
56	0.983678	1.222717
57	0.991776	1.212662
58	0.994744	1.206289
59	1.009830	1.218146
60	1.014997	1.236415
61	1.027237	1.270092
62	1.011499	1.284696
63	0.992447	1.274993
64	1.001264	1.276605
65	1.003401	1.280946
66	1.006088	1.288745
67	1.006759	1.297456
68	0.993294	1.288756
69	1.004139	1.294090
70	0.993163	1.285243
71	1.004118	1.290535
72	1.020805	1.317384
73	1.019109	1.342558
74	0.996471	1.337820
75	1.003446	1.342430
76	1.003564	1.347215
77	0.977614	1.317056
78	0.982413	1.293892
79	0.986955	1.277013
80	0.990566	1.264966
81	1.007937	1.275005
82	1.005823	1.282429
83	1.008269	1.293034
84	1.001031	1.294368
85	1.022637	1.323668
86	0.985087	1.303928
87	1.025900	1.337699
88	1.009063	1.349822
89	1.016103	1.371558
90	1.009343	1.384373
91	0.995074	1.377554
92	0.944882	1.301626
93	1.050000	1.366707
94	1.001667	1.368986
95	1.012975	1.386748
96	0.960047	1.331344
97	0.984309	1.310454
98	0.979500	1.283590
