Running strategy cwmr_var_o on dataset tse.
Start Time: 2018-0308-00-55-58-174.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.022351	1.038612
3	1.022632	1.062118
4	0.995026	1.056834
5	0.975057	1.030474
6	1.010636	1.041435
7	0.979778	1.020375
8	0.993811	1.014060
9	1.065711	1.080695
10	0.968101	1.046222
11	0.988775	1.034478
12	0.993241	1.027485
13	0.972563	0.999294
14	1.020967	1.020246
15	0.994073	1.014199
16	1.002388	1.016621
17	1.047457	1.064867
18	0.988759	1.052897
19	1.007963	1.061281
20	0.992762	1.053600
21	1.025198	1.080148
22	1.009719	1.090646
23	0.952466	1.038804
24	0.862745	0.896223
25	1.204540	1.079536
26	1.001243	1.080878
27	0.997762	1.078459
28	1.025503	1.105964
29	1.040000	1.150202
30	0.997322	1.147122
31	0.989139	1.134663
32	1.014378	1.150978
33	0.976892	1.124381
34	0.990315	1.113491
35	0.999400	1.112824
36	1.014696	1.129178
37	1.005136	1.134977
38	1.005543	1.141268
39	1.018965	1.162913
40	1.027856	1.195307
41	1.004590	1.200793
42	1.000265	1.201112
43	1.016889	1.221397
44	1.048190	1.280256
45	0.989681	1.267045
46	1.004895	1.273247
47	0.991765	1.262762
48	1.037643	1.310295
49	1.001505	1.312267
50	1.030629	1.352460
51	1.019714	1.379123
52	1.001721	1.381496
53	1.021740	1.411530
54	1.008621	1.423698
55	0.972812	1.384991
56	1.005859	1.393106
57	1.007642	1.403752
58	0.985473	1.383360
59	1.054206	1.458346
60	0.998218	1.455747
61	0.985106	1.434065
62	1.008086	1.445662
63	1.056480	1.527313
64	0.972478	1.485279
65	1.037316	1.540703
66	1.004044	1.546934
67	1.074969	1.662907
68	1.012872	1.684312
69	1.041670	1.754498
70	1.036224	1.818052
71	0.962571	1.750004
72	1.029421	1.801491
73	1.012956	1.824831
74	0.966224	1.763195
75	1.022215	1.802365
76	0.955455	1.722078
77	1.111671	1.914385
78	1.004671	1.923326
79	1.052355	2.024021
80	1.010432	2.045136
81	1.019548	2.085115
82	1.007515	2.100785
83	1.005349	2.112023
84	1.015246	2.144224
85	1.004875	2.154676
86	0.990277	2.133727
87	1.003706	2.141634
88	0.990672	2.121657
89	0.978011	2.075003
90	0.987952	2.050003
91	1.012536	2.075702
92	1.034147	2.146581
93	1.030666	2.212408
94	1.001201	2.215064
95	1.005182	2.226544
96	1.030349	2.294117
97	1.004397	2.304204
98	1.091834	2.515809
99	0.973661	2.449544
100	0.979923	2.400365
101	1.043629	2.505091
102	1.010499	2.531393
103	1.003095	2.539227
104	1.028120	2.610629
105	1.020248	2.663489
106	0.923344	2.459316
107	1.021756	2.512821
108	0.997287	2.506003
109	1.003195	2.514008
110	1.027773	2.583829
111	0.949883	2.454336
112	1.045230	2.565346
113	0.998219	2.560778
114	1.010328	2.587227
115	0.873907	2.260995
116	0.968944	2.190778
117	1.018772	2.231903
118	0.963313	2.150021
119	0.974098	2.094330
120	0.990140	2.073679
121	0.980533	2.033311
122	0.993472	2.020037
123	1.044852	2.110640
124	0.990414	2.090407
125	1.054283	2.203881
126	0.996749	2.196716
127	1.049184	2.304759
128	1.010045	2.327910
129	0.997966	2.323174
130	0.991241	2.302825
131	1.005202	2.314803
132	1.012202	2.343049
133	1.033542	2.421639
134	0.974099	2.358916
135	1.005028	2.370778
136	1.044334	2.475884
137	0.976874	2.418626
138	0.936591	2.265263
139	1.006268	2.279462
140	0.993426	2.264476
141	1.012275	2.292273
142	0.998936	2.289836
143	1.003609	2.298100
144	1.024231	2.353784
145	1.008965	2.374885
146	1.024775	2.433723
147	1.021433	2.485885
148	1.010598	2.512229
149	1.010153	2.537737
150	0.955973	2.426009
151	0.911392	2.211046
152	1.125000	2.487426
153	1.029245	2.560172
154	0.992739	2.541583
155	1.012437	2.573193
156	0.999069	2.570797
157	0.986607	2.536367
158	0.956424	2.425843
159	0.977839	2.372083
160	1.118352	2.652825
161	1.050004	2.785477
162	1.010338	2.814272
163	1.040336	2.927789
164	0.988160	2.893125
165	1.000298	2.893986
166	1.052535	3.046020
167	0.980738	2.987349
168	1.011397	3.021396
169	1.118302	3.378833
170	0.988049	3.338452
171	1.001958	3.344990
172	0.998383	3.339582
173	1.032699	3.448783
174	1.024925	3.534745
175	1.013144	3.581204
176	1.007562	3.608287
177	0.995424	3.591774
178	1.088240	3.908712
179	1.004431	3.926031
180	1.004074	3.942027
181	1.001564	3.948194
182	0.994776	3.927570
183	0.987584	3.878805
184	1.001231	3.883579
185	0.993447	3.858130
186	0.974347	3.759157
187	0.989474	3.719588
188	0.960636	3.573171
189	0.999383	3.570967
190	1.002691	3.580575
191	0.956007	3.423055
192	1.063790	3.641411
193	1.001716	3.647660
194	1.031649	3.763105
195	1.031130	3.880249
196	1.018639	3.952572
197	0.975882	3.857245
198	1.000283	3.858338
199	0.987006	3.808204
200	0.987256	3.759674
201	1.088418	4.092098
202	1.020502	4.175993
203	0.920768	3.845120
204	1.008480	3.877727
205	1.000000	3.877727
206	1.008679	3.911382
207	1.009077	3.946888
208	0.994270	3.924273
209	1.001482	3.930088
210	0.997088	3.918644
211	1.005462	3.940046
212	1.016700	4.005845
213	1.005987	4.029827
214	0.982298	3.958489
215	0.986063	3.903319
216	0.982851	3.836382
217	1.050042	4.028362
218	1.005335	4.049851
219	1.025768	4.154209
220	0.998658	4.148633
221	1.000141	4.149220
222	0.998102	4.141344
223	0.992305	4.109478
224	0.971347	3.991728
225	1.009350	4.029052
226	0.901108	3.630609
227	1.038460	3.770242
228	1.013502	3.821148
229	0.981329	3.749801
230	0.957861	3.591788
231	1.043480	3.747959
232	0.982524	3.682459
233	1.088347	4.007792
234	0.967557	3.877769
235	1.013204	3.928971
236	1.030675	4.049494
237	0.989016	4.005012
238	1.035364	4.146645
239	1.021982	4.237796
240	1.028710	4.359464
241	0.914865	3.988322
242	1.104170	4.403786
243	1.008778	4.442442
244	1.003541	4.458173
245	1.005373	4.482125
246	0.993776	4.454230
247	1.005409	4.478325
248	0.997226	4.465902
249	1.003783	4.482798
250	1.000512	4.485094
251	1.021823	4.582974
252	1.029184	4.716726
253	0.952592	4.493116
254	1.032126	4.637459
255	0.996976	4.623438
256	0.991836	4.585691
257	1.017978	4.668133
258	0.960668	4.484525
259	0.998069	4.475863
260	0.993154	4.445223
261	1.036819	4.608890
262	1.011521	4.661987
263	1.004766	4.684206
264	0.991456	4.644183
265	0.993273	4.612940
266	0.994007	4.585294
267	1.023726	4.694085
268	1.038183	4.873318
269	1.014035	4.941714
270	0.988570	4.885231
271	0.987167	4.822537
272	0.979802	4.725134
273	1.063198	5.023755
274	1.013781	5.092988
275	1.010869	5.148345
276	1.015650	5.228914
277	0.989590	5.174483
278	0.988514	5.115049
279	1.023794	5.236754
280	1.006768	5.272197
281	1.043060	5.499217
282	0.994847	5.470877
283	1.037872	5.678069
284	1.011293	5.742191
285	1.028026	5.903120
286	1.008341	5.952359
287	1.001841	5.963316
288	1.035772	6.176635
289	0.959223	5.924770
290	0.994709	5.893422
291	0.990738	5.838835
292	1.034494	6.040240
293	1.010712	6.104944
294	1.003397	6.125682
295	1.019402	6.244534
296	1.000771	6.249352
297	1.046878	6.542311
298	1.020944	6.679336
299	1.004179	6.707250
300	0.994993	6.673668
301	1.001409	6.683069
302	1.031485	6.893487
303	0.974719	6.719216
304	1.038553	6.978260
305	1.002938	6.998759
306	0.995250	6.965518
307	0.995014	6.930788
308	1.019579	7.066483
309	0.995649	7.035737
310	1.029668	7.244471
311	1.023748	7.416512
312	1.015835	7.533955
