Running strategy cwmr_var_o_ on dataset djia.
Start Time: 2018-0725-22-34-02-453.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.981832	0.984400
3	1.024486	1.008504
4	0.986137	0.994524
5	1.004681	0.999179
6	0.998956	0.998136
7	1.008741	1.006861
8	1.012099	1.019042
9	1.003542	1.022652
10	1.000308	1.022967
11	0.948961	0.970756
12	1.067073	1.035867
13	1.033333	1.070396
14	1.010892	1.082055
15	0.959429	1.038155
16	0.981055	1.018488
17	1.012995	1.031723
18	1.034513	1.067331
19	1.001039	1.068440
20	1.020755	1.090615
21	1.005839	1.096983
22	0.977285	1.072065
23	1.021620	1.095243
24	0.991380	1.085802
25	0.994855	1.080216
26	0.975987	1.054277
27	0.993573	1.047501
28	0.993478	1.040669
29	1.052096	1.094884
30	1.006733	1.102257
31	0.985577	1.086358
32	0.920616	1.000119
33	0.983607	0.983723
34	0.983089	0.967087
35	0.982817	0.950469
36	1.009736	0.959723
37	0.991016	0.951101
38	1.008754	0.959426
39	0.953878	0.915176
40	1.023516	0.936698
41	0.996516	0.933434
42	1.009301	0.942116
43	0.980402	0.923653
44	1.021217	0.943250
45	0.956606	0.902319
46	0.946827	0.854340
47	1.058683	0.904476
48	0.993073	0.898211
49	1.034244	0.928969
50	0.963395	0.894964
51	1.047733	0.937684
52	0.952211	0.892873
53	1.037759	0.926587
54	0.982369	0.910250
55	1.063220	0.967795
56	1.028725	0.995595
57	1.021700	1.017199
58	1.014191	1.031634
59	1.001578	1.033262
60	1.005564	1.039011
61	0.990192	1.028820
62	0.948061	0.975384
63	1.001090	0.976447
64	1.122455	1.096018
65	0.998841	1.094748
66	0.995210	1.089503
67	1.031769	1.124116
68	0.991378	1.114424
69	1.005169	1.120185
70	1.006538	1.127508
71	0.994527	1.121337
72	1.121716	1.257822
73	1.004017	1.262875
74	0.982928	1.241314
75	1.000014	1.241332
76	0.985070	1.222798
77	1.022565	1.250391
78	0.986878	1.233984
79	1.030221	1.271276
80	1.005049	1.277695
81	1.012749	1.293984
82	1.008507	1.304992
83	0.994930	1.298376
84	1.010313	1.311765
85	1.003322	1.316123
86	0.983174	1.293978
87	1.001633	1.296092
88	0.995176	1.289839
89	0.971113	1.252580
90	0.989475	1.239396
91	0.992339	1.229900
92	0.993269	1.221622
93	1.002130	1.224224
94	1.009373	1.235698
95	1.031533	1.274664
96	0.983024	1.253025
97	1.004817	1.259061
98	0.999367	1.258265
99	0.997473	1.255085
100	1.000447	1.255646
101	0.959482	1.204770
102	1.015513	1.223460
103	1.010513	1.236322
104	0.996214	1.231641
105	1.006757	1.239964
106	0.992494	1.230656
107	1.019519	1.254677
108	0.987126	1.238525
109	0.990317	1.226532
110	0.968442	1.187825
111	0.973671	1.156551
112	0.931390	1.077200
113	1.015470	1.093864
114	0.998677	1.092417
115	0.988268	1.079601
116	1.007361	1.087548
117	0.979674	1.065443
118	0.987013	1.051606
119	0.998132	1.049642
120	0.994594	1.043968
121	0.994863	1.038605
122	1.018266	1.057576
123	0.990144	1.047152
124	1.013960	1.061770
125	1.020124	1.083137
126	0.984594	1.066451
127	0.987595	1.053221
128	1.000647	1.053903
129	0.989324	1.042651
130	1.011814	1.054969
131	1.026680	1.083116
132	1.003348	1.086742
133	0.990464	1.076379
134	1.014042	1.091493
135	1.005807	1.097832
136	1.006658	1.105141
137	1.007411	1.113332
138	0.971905	1.082053
139	0.986323	1.067254
140	1.029844	1.099104
141	0.986036	1.083756
142	1.000693	1.084507
143	1.003302	1.088087
144	1.011177	1.100248
145	0.998038	1.098090
146	0.997800	1.095674
147	1.003840	1.099882
148	0.990953	1.089930
149	1.011229	1.102169
150	0.986877	1.087705
151	0.998240	1.085791
152	1.010297	1.096971
153	0.990392	1.086431
154	1.002566	1.089219
155	0.988194	1.076359
156	1.006318	1.083160
157	0.985206	1.067135
158	1.004512	1.071951
159	0.989015	1.060175
160	1.023024	1.084584
161	0.997420	1.081786
162	1.020588	1.104057
163	0.991797	1.095001
164	0.994729	1.089229
165	0.987488	1.075600
166	0.982214	1.056470
167	1.001932	1.058510
168	1.004003	1.062748
169	0.967039	1.027718
170	0.972512	0.999469
171	0.956397	0.955889
172	0.971458	0.928606
173	0.845921	0.785528
174	0.968219	0.760563
175	0.970088	0.737813
176	0.918013	0.677322
177	1.020295	0.691068
178	1.047115	0.723627
179	0.980573	0.709570
180	0.992221	0.704050
181	0.963462	0.678325
182	1.053892	0.714881
183	0.983594	0.703153
184	1.021322	0.718146
185	1.055763	0.758191
186	0.990695	0.751136
187	1.008206	0.757300
188	0.997454	0.755372
189	1.051564	0.794321
190	1.017412	0.808152
191	1.010164	0.816366
192	0.978816	0.799072
193	0.992743	0.793273
194	1.000000	0.793273
195	0.972709	0.771623
196	0.983649	0.759007
197	0.989138	0.750763
198	1.028784	0.772372
199	0.959825	0.741343
200	1.011088	0.749563
201	1.015562	0.761228
202	1.010241	0.769023
203	0.975699	0.750335
204	0.979450	0.734916
205	0.919784	0.675964
206	1.048103	0.708480
207	1.007534	0.713817
208	1.040336	0.742610
209	1.029144	0.764253
210	0.992092	0.758209
211	1.005519	0.762394
212	1.023612	0.780395
213	0.996723	0.777837
214	1.026596	0.798525
215	1.010426	0.806850
216	1.002453	0.808830
217	1.009640	0.816627
218	1.014472	0.828445
219	0.999930	0.828387
220	0.999509	0.827980
221	1.021710	0.845956
222	0.987670	0.835525
223	0.977814	0.816988
224	1.010381	0.825469
225	1.013688	0.836768
226	0.996067	0.833477
227	0.959840	0.800005
228	1.011647	0.809322
229	0.999455	0.808882
230	0.998425	0.807607
231	1.002906	0.809954
232	0.989477	0.801431
233	0.988055	0.791858
234	0.964086	0.763419
235	0.990089	0.755853
236	1.018878	0.770122
237	1.000085	0.770188
238	1.015092	0.781811
239	1.007197	0.787438
240	0.986998	0.777200
241	0.997099	0.774946
