Running strategy cwmr_var_o_ on dataset msci.
Start Time: 2018-0726-14-02-58-508.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.013756	1.021852
3	1.009641	1.031703
4	1.017418	1.049673
5	0.982990	1.031818
6	0.999936	1.031752
7	0.996418	1.028056
8	0.999500	1.027542
9	0.996847	1.024302
10	1.000000	1.024302
11	1.017483	1.042210
12	1.013768	1.056558
13	1.013896	1.071240
14	0.994135	1.064957
15	1.016968	1.083027
16	0.995427	1.078074
17	1.003881	1.082258
18	1.014821	1.098298
19	1.005885	1.104762
20	0.996939	1.101380
21	1.005986	1.107973
22	1.005599	1.114177
23	1.001129	1.115435
24	1.009934	1.126515
25	0.978196	1.101952
26	1.002873	1.105118
27	1.010564	1.116793
28	1.001620	1.118602
29	0.992958	1.110725
30	0.973754	1.081573
31	0.996690	1.077993
32	0.999785	1.077761
33	0.997898	1.075496
34	0.992435	1.067360
35	0.990348	1.057058
36	0.973059	1.028579
37	1.036481	1.066103
38	1.009961	1.076722
39	1.003340	1.080319
40	1.013459	1.094859
41	1.006316	1.101774
42	0.995785	1.097130
43	1.004164	1.101699
44	1.002598	1.104562
45	1.014250	1.120301
46	0.996828	1.116747
47	0.986354	1.101508
48	0.996992	1.098194
49	0.949251	1.042462
50	1.023833	1.067307
51	0.991013	1.057714
52	0.954195	1.009266
53	1.003878	1.013180
54	1.019325	1.032760
55	1.008729	1.041775
56	1.000304	1.042091
57	0.999712	1.041791
58	1.002699	1.044603
59	0.988352	1.032436
60	0.996564	1.028888
61	0.997642	1.026462
62	1.008551	1.035239
63	0.996226	1.031333
64	1.009864	1.041506
65	1.018234	1.060497
66	1.008975	1.070015
67	1.004296	1.074612
68	0.987725	1.061422
69	0.996919	1.058151
70	1.011267	1.070074
71	0.995709	1.065482
72	0.999466	1.064912
73	1.001150	1.066137
74	0.969595	1.033722
75	0.994407	1.027941
76	0.977231	1.004535
77	0.999792	1.004326
78	1.003885	1.008228
79	1.032966	1.041466
80	0.992900	1.034072
81	1.000554	1.034644
82	1.031840	1.067587
83	0.999698	1.067265
84	1.020714	1.089372
85	1.001526	1.091034
86	1.007788	1.099531
87	0.989249	1.087710
88	1.020398	1.109897
89	1.007307	1.118007
90	1.017636	1.137724
91	1.001077	1.138950
92	1.014839	1.155850
93	1.008897	1.166134
94	0.995791	1.161226
95	0.999807	1.161001
96	1.008549	1.170927
97	1.011689	1.184614
98	1.009545	1.195921
99	1.003642	1.200277
100	1.003706	1.204725
101	0.992004	1.195092
102	0.999548	1.194552
103	0.999677	1.194166
104	0.995624	1.188940
105	0.997277	1.185703
106	0.993173	1.177608
107	1.012599	1.192445
108	1.014863	1.210168
109	1.011703	1.224331
110	1.003243	1.228301
111	1.004986	1.234425
112	0.997258	1.231041
113	0.981344	1.208075
114	0.980905	1.185006
115	0.989564	1.172640
116	1.000730	1.173496
117	1.004343	1.178592
118	1.003810	1.183083
119	1.004155	1.187998
120	0.996830	1.184233
121	1.010765	1.196980
122	1.002450	1.199913
123	0.994858	1.193743
124	1.005949	1.200845
125	0.994699	1.194479
126	1.004198	1.199493
127	1.033401	1.239558
128	1.016358	1.259835
129	1.001853	1.262169
130	0.990931	1.250722
131	1.004140	1.255900
132	0.995641	1.250425
133	1.002616	1.253696
134	1.018048	1.276323
135	0.993250	1.267708
136	1.004573	1.273505
137	1.012105	1.288921
138	0.999729	1.288572
