Running strategy cwmr_var_o_ on dataset sp500.
Start Time: 2018-0726-00-50-17-805.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.005824	1.005824
2	0.999695	1.005517
3	1.026306	1.031968
4	0.990243	1.021899
5	0.966492	0.987657
6	1.030429	1.017711
7	1.017039	1.035051
8	0.997423	1.032384
9	0.985372	1.017282
10	1.013970	1.031494
11	1.018404	1.050478
12	0.994288	1.044478
13	0.992509	1.036655
14	1.029173	1.066897
15	0.988247	1.054358
16	1.006717	1.061441
17	1.011722	1.073882
18	1.006405	1.080761
19	1.000726	1.081545
20	1.008063	1.090265
21	0.990824	1.080261
22	1.007105	1.087936
23	0.982880	1.069310
24	1.027255	1.098455
25	1.002608	1.101320
26	0.999305	1.100554
27	1.028931	1.132394
28	1.018493	1.153335
29	0.987401	1.138805
30	0.984263	1.120883
31	0.975132	1.093009
32	1.007292	1.100979
33	1.011962	1.114149
34	1.003458	1.118001
35	1.006209	1.124943
36	1.006308	1.132040
37	0.993103	1.124232
38	0.971566	1.092266
39	0.977005	1.067149
40	0.974798	1.040255
41	1.029702	1.071153
42	0.979185	1.048857
43	1.033916	1.084430
44	0.981669	1.064552
45	1.025294	1.091478
46	1.008203	1.100432
47	0.984375	1.083237
48	0.998513	1.081627
49	0.996967	1.078347
50	1.014296	1.093763
51	1.015369	1.110573
52	0.994197	1.104129
53	1.026866	1.133792
54	0.995235	1.128390
55	1.007666	1.137040
56	0.980285	1.114623
57	0.989990	1.103466
58	0.995683	1.098702
59	1.010411	1.110141
60	1.017725	1.129819
61	1.027237	1.160592
62	1.010528	1.172810
63	0.989435	1.160419
64	1.004487	1.165626
65	1.000796	1.166554
66	0.998325	1.164601
67	1.006826	1.172550
68	0.993207	1.164586
69	1.000821	1.165542
70	0.993239	1.157662
71	0.983761	1.138863
72	1.022862	1.164900
73	1.018779	1.186775
74	0.996430	1.182538
75	0.999699	1.182182
76	0.989428	1.169685
77	0.975302	1.140795
78	0.980748	1.118833
79	1.012048	1.132312
80	0.990566	1.121630
81	1.007937	1.130532
82	1.006346	1.137707
83	1.008066	1.146883
84	1.000979	1.148006
85	1.022000	1.173262
86	0.984931	1.155582
87	1.025911	1.185524
88	1.009161	1.196385
89	1.016103	1.215650
90	1.009381	1.227054
91	0.995074	1.221009
92	0.944882	1.153710
93	1.050000	1.211395
94	0.999916	1.211294
95	1.011798	1.225584
96	0.975778	1.195898
97	0.983492	1.176156
98	0.979528	1.152078
