Running strategy cwmr_var_o_ on dataset tse.
Start Time: 2018-0726-09-50-09-537.
-------------------------------------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.022351	1.038612
3	1.022632	1.062118
4	0.990825	1.052373
5	0.964509	1.015023
6	1.022707	1.038071
7	0.961155	0.997747
8	0.976832	0.974631
9	1.071749	1.044559
10	0.967151	1.010247
11	0.979326	0.989361
12	0.980077	0.969650
13	0.976009	0.946388
14	1.016493	0.961997
15	0.994061	0.956284
16	1.004259	0.960357
17	1.046817	1.005318
18	0.987238	0.992488
19	1.007112	0.999547
20	0.992113	0.991663
21	1.027671	1.019103
22	1.009991	1.029285
23	0.948625	0.976405
24	0.862745	0.842389
25	1.204540	1.014691
26	1.025894	1.040966
27	1.003777	1.044898
28	1.005319	1.050456
29	0.994350	1.044520
30	0.997493	1.041902
31	1.018030	1.060688
32	1.010179	1.071484
33	1.000172	1.071669
34	0.991517	1.062578
35	0.994497	1.056731
36	1.027238	1.085515
37	1.008887	1.095161
38	0.993235	1.087752
39	1.025300	1.115272
40	1.029381	1.148040
41	1.011171	1.160865
42	0.997952	1.158488
43	1.012340	1.172784
44	1.048190	1.229300
45	0.992615	1.220222
46	1.000717	1.221096
47	0.974691	1.190192
48	1.035108	1.231978
49	1.010500	1.244913
50	1.039372	1.293928
51	1.019179	1.318744
52	1.013828	1.336979
53	1.010809	1.351431
54	1.007972	1.362204
55	0.986232	1.343450
56	0.999499	1.342777
57	1.002680	1.346376
58	0.980750	1.320459
59	1.023179	1.351066
60	0.982441	1.327343
61	0.979781	1.300506
62	1.009561	1.312940
63	1.067800	1.401957
64	0.973157	1.364324
65	1.044163	1.424577
66	1.003476	1.429529
67	1.090151	1.558403
68	1.016595	1.584264
69	1.041670	1.650280
70	1.036041	1.709758
71	0.959975	1.641325
72	1.031750	1.693437
73	1.017908	1.723763
74	0.964875	1.663215
75	1.023530	1.702351
76	0.954471	1.624845
77	1.122410	1.823742
78	1.002398	1.828115
79	1.049957	1.919441
80	1.008065	1.934922
81	1.015130	1.964197
82	1.004713	1.973453
83	1.003504	1.980369
84	1.003511	1.987322
85	1.005911	1.999068
86	1.002924	2.004913
87	1.002361	2.009646
88	0.993404	1.996391
89	0.982303	1.961062
90	1.003864	1.968639
91	1.012474	1.993197
92	1.034866	2.062691
93	1.026055	2.116435
94	1.000000	2.116435
95	1.003901	2.124691
96	1.030251	2.188964
97	1.004890	2.199668
98	1.059451	2.330439
99	0.980926	2.285989
100	0.984240	2.249962
101	1.048780	2.359715
102	1.012390	2.388952
103	1.001537	2.392623
104	1.031278	2.467458
105	1.021222	2.519822
106	0.919831	2.317810
107	1.018410	2.360481
108	0.977596	2.307597
109	1.008926	2.328194
110	0.999963	2.328107
111	0.996047	2.318902
112	1.040995	2.413966
113	0.999730	2.413315
114	1.008861	2.434699
115	0.845074	2.057501
116	0.968610	1.992916
117	1.013105	2.019034
118	1.019957	2.059328
119	0.970704	1.998997
120	1.025090	2.049151
121	0.937891	1.921881
122	0.989611	1.901915
123	1.053675	2.004000
124	1.008036	2.020105
125	1.019548	2.059594
126	1.004290	2.068430
127	1.031461	2.133505
128	1.010895	2.156749
129	1.000813	2.158504
130	0.998304	2.154843
131	1.002793	2.160861
132	1.011259	2.185190
133	1.015851	2.219827
134	0.992462	2.203094
135	1.000452	2.204089
136	1.032781	2.276342
137	0.968299	2.204180
138	0.945363	2.083749
139	1.007690	2.099773
140	0.991103	2.081091
141	1.011597	2.105224
142	0.991486	2.087300
143	1.004243	2.096155
144	1.020933	2.140035
145	1.007639	2.156383
146	1.024982	2.210254
147	1.021838	2.258521
148	1.010059	2.281239
149	1.010776	2.305822
150	0.954046	2.199860
151	0.911392	2.004935
152	1.125000	2.255552
153	1.012342	2.283390
154	1.003046	2.290346
155	0.998063	2.285908
156	0.990134	2.263355
157	0.966727	2.188045
158	0.944065	2.065656
159	0.978033	2.020280
160	1.095831	2.213885
161	1.062828	2.352978
162	1.012896	2.383321
163	1.036654	2.470679
164	0.981098	2.423979
165	0.979408	2.374065
166	1.042182	2.474208
167	0.978349	2.420638
168	1.022036	2.473979
169	1.051759	2.602030
170	1.021648	2.658360
171	1.000359	2.659314
172	1.002834	2.666849
173	1.027315	2.739694
174	1.022097	2.800233
175	1.010135	2.828615
176	1.007160	2.848868
177	0.991437	2.824473
178	1.088240	3.073705
179	1.003919	3.085750
180	1.006460	3.105684
181	1.005162	3.121716
182	0.995498	3.107662
183	0.998478	3.102932
184	1.000572	3.104706
185	0.995944	3.092113
186	0.975692	3.016949
187	0.984382	2.969829
188	0.988037	2.934301
189	1.055928	3.098410
190	1.006490	3.118518
191	0.937500	2.923611
192	1.066670	3.118528
193	0.977686	3.048942
194	1.010813	3.081909
195	1.004629	3.096174
196	1.020645	3.160096
197	0.976817	3.086836
198	1.005052	3.102430
199	0.985373	3.057051
200	1.009434	3.085891
201	1.046511	3.229419
202	1.004925	3.245324
203	0.968528	3.143188
204	1.008480	3.169842
205	1.000000	3.169842
206	1.000000	3.169842
207	1.003639	3.181378
208	0.993548	3.160851
209	1.006096	3.180119
210	0.960088	3.053194
211	1.031300	3.148759
212	0.989792	3.116616
213	1.004269	3.129920
214	0.987381	3.090423
215	1.000497	3.091959
216	0.986634	3.050631
217	1.046925	3.193782
218	0.991894	3.167892
219	1.004209	3.181227
220	0.999360	3.179190
221	0.999168	3.176545
222	0.997005	3.167032
223	0.990796	3.137884
224	0.971689	3.049048
225	1.001922	3.054907
226	0.968761	2.959475
227	1.038460	3.073297
228	1.016967	3.125441
229	0.968129	3.025829
230	0.936193	2.832759
231	1.039522	2.944715
232	0.948979	2.794473
233	1.089712	3.045170
234	0.968631	2.949648
235	1.010524	2.980691
236	1.028525	3.065716
237	0.990617	3.036951
238	1.036031	3.146376
239	1.023720	3.221007
240	1.027746	3.310377
241	0.916461	3.033831
242	1.066758	3.236364
243	0.997887	3.229525
244	1.005269	3.246543
245	1.008837	3.275232
246	1.005353	3.292763
247	0.996491	3.281207
248	0.998256	3.275486
249	1.001104	3.279103
250	1.014741	3.327441
251	1.013173	3.371273
252	1.008680	3.400535
253	0.972176	3.305917
254	1.034226	3.419067
255	0.997254	3.409679
256	0.988799	3.371487
257	1.010428	3.406644
258	0.994991	3.389579
259	0.996082	3.376299
260	0.992788	3.351949
261	1.045516	3.504518
262	1.019829	3.574009
263	1.005784	3.594679
264	1.000000	3.594679
265	0.991284	3.563347
266	0.999553	3.561754
267	1.018519	3.627714
268	1.039333	3.770401
269	1.013862	3.822667
270	0.989191	3.781348
271	0.991515	3.749264
272	0.970225	3.637631
273	1.066729	3.880367
274	1.018374	3.951664
275	1.006875	3.978833
276	1.031602	4.104571
277	0.989668	4.062163
278	0.987642	4.011964
279	1.024193	4.109024
280	1.006660	4.136392
281	1.049538	4.341301
282	0.990227	4.298873
283	1.043868	4.487455
284	1.013047	4.546004
285	1.014676	4.612720
286	0.999640	4.611059
287	1.003712	4.628176
288	1.034804	4.789254
289	0.947368	4.537186
290	0.994709	4.513180
291	1.000000	4.513180
292	1.044677	4.714814
293	1.013818	4.779962
294	1.006929	4.813083
295	1.026222	4.939291
296	1.008031	4.978958
297	1.075871	5.356716
298	1.026910	5.500867
299	0.999581	5.498560
300	1.000747	5.502670
301	1.000080	5.503109
302	1.044120	5.745906
303	0.957388	5.501063
304	1.055560	5.806702
305	1.005568	5.839034
306	0.996032	5.815863
307	0.998850	5.809177
308	1.021427	5.933652
309	1.009144	5.987907
310	1.030779	6.172210
311	1.042101	6.432065
312	1.031118	6.632221
