Running strategy eg_o on dataset djia.
Start Time: 2018-0308-04-22-47-706.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.973490	0.976036
3	0.994871	0.971030
4	0.998772	0.969838
5	1.005780	0.975444
6	1.001518	0.976925
7	0.993424	0.970500
8	1.012652	0.982779
9	0.995667	0.978521
10	1.006877	0.985250
11	0.989730	0.975132
12	0.999194	0.974345
13	1.007159	0.981321
14	1.001802	0.983089
15	1.004755	0.987764
16	0.992119	0.979979
17	1.007504	0.987333
18	1.017554	1.004664
19	1.000621	1.005288
20	1.009349	1.014687
21	0.988531	1.003049
22	1.008882	1.011958
23	0.999284	1.011233
24	0.996146	1.007336
25	0.993905	1.001197
26	0.989674	0.990859
27	1.015332	1.006050
28	0.995192	1.001213
29	0.990479	0.991681
30	1.011936	1.003517
31	0.989214	0.992693
32	0.990525	0.983288
33	0.979300	0.962933
34	1.001603	0.964477
35	0.993129	0.957850
36	1.022522	0.979422
37	0.999944	0.979368
38	0.986243	0.965895
39	0.993746	0.959854
40	1.002608	0.962357
41	1.010457	0.972420
42	1.005626	0.977891
43	1.015494	0.993043
44	1.010260	1.003231
45	0.978584	0.981746
46	0.957069	0.939598
47	1.013267	0.952064
48	0.967001	0.920647
49	1.006349	0.926492
50	0.980652	0.908566
51	1.014519	0.921758
52	0.974454	0.898211
53	0.977170	0.877705
54	0.990745	0.869581
55	1.013848	0.881624
56	1.019872	0.899143
57	1.028631	0.924886
58	0.981273	0.907566
59	1.002090	0.909462
60	1.007587	0.916362
61	0.989115	0.906387
62	0.968313	0.877667
63	1.001331	0.878834
64	1.045610	0.918918
65	0.982500	0.902837
66	1.005311	0.907632
67	1.029758	0.934641
68	0.994658	0.929648
69	1.011857	0.940671
70	1.000882	0.941501
71	1.004505	0.945742
72	1.043583	0.986961
73	1.007301	0.994166
74	0.989441	0.983669
75	0.991676	0.975481
76	0.990258	0.965978
77	1.016625	0.982038
78	1.007125	0.989035
79	1.011818	1.000723
80	0.992204	0.992922
81	1.016364	1.009170
82	0.999987	1.009157
83	0.990286	0.999355
84	1.013409	1.012755
85	0.998994	1.011737
86	0.993925	1.005590
87	0.997018	1.002592
88	1.005202	1.007807
89	0.992411	1.000159
90	1.003941	1.004100
91	0.999233	1.003330
92	1.032728	1.036167
93	1.006829	1.043243
94	1.004036	1.047454
95	1.005804	1.053533
96	0.993537	1.046724
97	0.985072	1.031098
98	1.002264	1.033432
99	0.989183	1.022254
100	1.003124	1.025447
101	0.983752	1.008785
102	1.004596	1.013421
103	1.007352	1.020873
104	1.004652	1.025622
105	1.009298	1.035159
106	0.989872	1.024675
107	1.002555	1.027293
108	0.989983	1.017002
109	0.994135	1.011038
110	1.000477	1.011520
111	0.991843	1.003270
112	0.980846	0.984053
113	0.995109	0.979240
114	0.999262	0.978517
115	0.995141	0.973763
116	1.007646	0.981208
117	1.009640	0.990666
118	0.989358	0.980124
119	0.991032	0.971334
120	0.996030	0.967478
121	0.996594	0.964183
122	1.014514	0.978177
123	0.995880	0.974147
124	1.009483	0.983384
125	0.997558	0.980983
126	0.991646	0.972788
127	0.978049	0.951434
128	1.008349	0.959378
129	0.990532	0.950294
130	1.006655	0.956618
131	1.024754	0.980298
132	1.006849	0.987012
133	0.991665	0.978785
134	1.012710	0.991225
135	0.997610	0.988856
136	1.004439	0.993246
137	0.997152	0.990417
138	0.984981	0.975542
139	0.982721	0.958685
140	1.016921	0.974907
141	1.004008	0.978814
142	0.996707	0.975591
143	0.998237	0.973871
144	1.011316	0.984891
145	0.999977	0.984869
146	1.003902	0.988712
147	0.995766	0.984526
148	0.989727	0.974411
149	1.005219	0.979497
150	0.984521	0.964336
151	1.000280	0.964605
152	1.010442	0.974677
153	0.999710	0.974394
154	0.999895	0.974292
155	0.993720	0.968174
156	1.004012	0.972058
157	0.985121	0.957595
158	1.009368	0.966566
159	0.986083	0.953115
160	1.009159	0.961845
161	0.996740	0.958709
162	1.019443	0.977349
163	0.995377	0.972830
164	0.984817	0.958059
165	0.988008	0.946570
166	0.983821	0.931256
167	1.004928	0.935845
168	1.000974	0.936757
169	1.002616	0.939207
170	0.978911	0.919400
171	0.976985	0.898241
172	0.997517	0.896010
173	0.924130	0.828030
174	0.995627	0.824408
175	0.981164	0.808880
176	0.951735	0.769839
177	0.988109	0.760684
178	1.048720	0.797745
179	1.007131	0.803434
180	0.988598	0.794273
181	1.013417	0.804930
182	1.020349	0.821310
183	0.997008	0.818852
184	1.013297	0.829741
185	1.022721	0.848593
186	0.992202	0.841976
187	1.005304	0.846442
188	0.994212	0.841543
189	1.000111	0.841636
190	1.022950	0.860952
191	1.021142	0.879154
192	0.992960	0.872965
193	0.996788	0.870160
194	1.005245	0.874724
195	0.981916	0.858905
196	0.991337	0.851464
197	1.004002	0.854872
198	1.017181	0.869560
199	0.995102	0.865301
200	0.997521	0.863156
201	1.012710	0.874126
202	1.008174	0.881272
203	0.970281	0.855082
204	0.980511	0.838417
205	0.995096	0.834305
206	1.021067	0.851881
207	1.006254	0.857209
208	1.013190	0.868515
209	1.018656	0.884718
210	0.995350	0.880604
211	1.003734	0.883892
212	1.002032	0.885689
213	0.993706	0.880114
214	1.022579	0.899986
215	1.011461	0.910301
216	1.008014	0.917596
217	0.999616	0.917244
218	1.011976	0.928229
219	0.991144	0.920009
220	0.992842	0.913424
221	1.013602	0.925849
222	1.002961	0.928590
223	0.988921	0.918302
224	0.984099	0.903700
225	1.011917	0.914470
226	1.003112	0.917315
227	0.990452	0.908557
228	1.013676	0.920982
229	1.023955	0.943043
230	1.000703	0.943706
231	0.993749	0.937806
232	0.986065	0.924738
233	0.996193	0.921217
234	0.998513	0.919847
235	0.985167	0.906203
236	1.004076	0.909897
237	1.008475	0.917608
238	1.009520	0.926344
239	1.005942	0.931849
240	0.993511	0.925802
241	1.005840	0.931208
242	0.999989	0.931198
243	1.004498	0.935386
244	1.004856	0.939929
245	1.002024	0.941832
246	0.989051	0.931520
247	1.007979	0.938953
248	1.012183	0.950392
249	1.009981	0.959878
250	0.995330	0.955395
251	0.995341	0.950944
252	0.993643	0.944899
253	0.998975	0.943930
254	0.991008	0.935442
255	0.989427	0.925552
256	1.004073	0.929321
257	0.975429	0.906487
