Running strategy eg_o on dataset msci.
Start Time: 2018-0306-00-06-18-567.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.005914	1.013947
3	1.005628	1.019654
4	1.002978	1.022691
5	0.990618	1.013096
6	0.999786	1.012879
7	0.994285	1.007090
8	0.994822	1.001876
9	0.999948	1.001823
10	1.000020	1.001843
11	1.012596	1.014463
12	1.003060	1.017567
13	1.012190	1.029971
14	1.000531	1.030518
15	1.007359	1.038101
16	0.998562	1.036608
17	1.001198	1.037851
18	1.006949	1.045063
19	1.001501	1.046631
20	0.999900	1.046526
21	1.003853	1.050558
22	1.007045	1.057959
23	0.996198	1.053937
24	1.006255	1.060529
25	1.008226	1.069253
26	1.002828	1.072277
27	1.002801	1.075280
28	0.996988	1.072042
29	0.996078	1.067837
30	0.987255	1.054227
31	0.978287	1.031337
32	1.000576	1.031930
33	0.979529	1.010806
34	0.989302	0.999992
35	0.994311	0.994303
36	0.977606	0.972036
37	1.021391	0.992829
38	0.985813	0.978744
39	1.006225	0.984837
40	1.014920	0.999531
41	1.006201	1.005729
42	0.990724	0.996400
43	0.998412	0.994817
44	1.001212	0.996022
45	1.012342	1.008315
46	0.995523	1.003800
47	0.972585	0.976281
48	0.997476	0.973817
49	0.968064	0.942717
50	1.013319	0.955273
51	0.987794	0.943612
52	0.972271	0.917447
53	1.005428	0.922427
54	1.022186	0.942892
55	1.001727	0.944520
56	0.998185	0.942806
57	0.999016	0.941878
58	1.005458	0.947019
59	1.000485	0.947478
60	0.997830	0.945422
61	1.002672	0.947948
62	0.999178	0.947169
63	0.991375	0.939000
64	1.016191	0.954203
65	1.031894	0.984637
66	1.006330	0.990870
67	1.003790	0.994625
68	0.983885	0.978596
69	1.008883	0.987289
70	1.003781	0.991022
71	0.997366	0.988411
72	0.994847	0.983318
73	0.996757	0.980129
74	0.986384	0.966783
75	0.984595	0.951889
76	0.985613	0.938195
77	0.995598	0.934065
78	1.018757	0.951585
79	1.011813	0.962826
80	0.994300	0.957338
81	1.005879	0.962966
82	1.006766	0.969481
83	1.001531	0.970965
84	1.016979	0.987451
85	1.005217	0.992603
86	1.000696	0.993294
87	0.994566	0.987896
88	1.013468	1.001201
89	0.995386	0.996582
90	1.012013	1.008554
91	0.990824	0.999300
92	1.001743	1.001041
93	1.006218	1.007265
94	0.987537	0.994712
95	0.999146	0.993863
96	1.004294	0.998130
97	1.009672	1.007783
98	1.011332	1.019203
99	1.003543	1.022814
100	0.997002	1.019748
101	1.003159	1.022969
102	0.997246	1.020152
103	0.996768	1.016855
104	0.997954	1.014775
105	0.997076	1.011807
106	1.003360	1.015207
107	1.001117	1.016342
108	1.009100	1.025590
109	1.000250	1.025846
