Running strategy eg_o on dataset msci.
Start Time: 2018-0306-14-57-50-269.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.005914	1.013947
3	1.005628	1.019654
4	1.002978	1.022691
5	0.990618	1.013096
6	0.999786	1.012879
7	0.994285	1.007090
8	0.994822	1.001876
9	0.999948	1.001823
10	1.000020	1.001843
11	1.012596	1.014463
12	1.003053	1.017560
13	1.012193	1.029967
14	1.000537	1.030520
15	1.007352	1.038097
16	0.998564	1.036606
17	1.001203	1.037853
18	1.006946	1.045061
19	1.001481	1.046609
20	0.999892	1.046496
21	1.003853	1.050528
22	1.007040	1.057924
23	0.996196	1.053900
24	1.006265	1.060503
25	1.008243	1.069244
26	1.002819	1.072258
27	1.002815	1.075277
28	0.996995	1.072045
29	0.996089	1.067852
30	0.987252	1.054239
31	0.978199	1.031255
32	1.000570	1.031843
33	0.979480	1.010670
34	0.989267	0.999822
35	0.994307	0.994130
36	0.977647	0.971908
37	1.021208	0.992521
38	0.985866	0.978492
39	1.006213	0.984571
40	1.014839	0.999181
41	1.006169	1.005346
42	0.990761	0.996058
43	0.998333	0.994397
44	1.001198	0.995588
45	1.012338	1.007872
46	0.995559	1.003396
47	0.972537	0.975839
48	0.997502	0.973401
49	0.968143	0.942392
50	1.013212	0.954843
51	0.987875	0.943265
52	0.972379	0.917211
53	1.005325	0.922096
54	1.021893	0.942283
55	1.001896	0.944069
56	0.998082	0.942259
57	0.998999	0.941316
58	1.005434	0.946431
59	1.000464	0.946870
60	0.997711	0.944702
61	1.002671	0.947225
62	0.999170	0.946439
63	0.991384	0.938284
64	1.016108	0.953398
65	1.031779	0.983697
66	1.006288	0.989882
67	1.003780	0.993624
68	0.983954	0.977680
69	1.008819	0.986302
70	1.003821	0.990071
71	0.997434	0.987531
72	0.994888	0.982483
73	0.996680	0.979221
74	0.986473	0.965975
75	0.984619	0.951118
76	0.985707	0.937523
77	0.995710	0.933501
78	1.018576	0.950842
79	1.011773	0.962036
80	0.994377	0.956626
81	1.005840	0.962213
82	1.006780	0.968736
83	1.001505	0.970195
84	1.016854	0.986546
85	1.005206	0.991682
86	1.000763	0.992439
87	0.994607	0.987086
88	1.013389	1.000303
89	0.995495	0.995796
90	1.011953	1.007699
91	0.990890	0.998519
92	1.001805	1.000321
93	1.006142	1.006465
94	0.987658	0.994043
95	0.999165	0.993212
96	1.004252	0.997435
97	1.009574	1.006985
98	1.011317	1.018381
99	1.003550	1.021997
100	0.997003	1.018934
101	1.003018	1.022009
102	0.997320	1.019270
103	0.996825	1.016034
104	0.997921	1.013921
105	0.997112	1.010993
106	1.003285	1.014315
107	1.001221	1.015553
108	1.009040	1.024734
109	1.000326	1.025069
