Running strategy eg_o on dataset nyse-n.
Start Time: 2018-0307-00-13-42-553.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	0.991464	0.991464
2	0.996033	0.987531
3	0.993680	0.981290
4	1.004161	0.985374
5	1.002445	0.987783
6	1.007815	0.995503
7	1.019223	1.014640
8	0.997820	1.012428
9	1.019667	1.032339
10	0.997150	1.029398
11	0.997722	1.027052
12	0.995022	1.021940
13	0.995923	1.017773
14	1.026945	1.045198
15	0.993647	1.038558
16	1.011024	1.050006
17	0.995742	1.045535
18	1.003641	1.049342
19	1.000446	1.049810
20	1.010183	1.060500
21	1.000711	1.061254
22	0.996887	1.057950
23	0.994729	1.052374
24	1.010956	1.063904
25	1.001467	1.065464
26	1.000442	1.065935
27	1.007884	1.074339
28	1.002405	1.076922
29	0.991776	1.068066
30	0.998504	1.066468
31	1.012603	1.079909
32	0.994609	1.074087
33	0.990721	1.064120
34	1.001219	1.065417
35	1.001189	1.066684
36	0.997169	1.063665
37	0.997242	1.060731
38	1.002719	1.063615
39	1.010131	1.074391
40	0.998379	1.072649
41	1.004533	1.077512
42	1.009137	1.087357
43	0.994270	1.081127
44	1.002259	1.083569
45	0.991291	1.074132
46	0.993330	1.066967
47	0.998788	1.065674
48	0.999022	1.064632
49	1.000363	1.065018
50	0.992709	1.057253
51	0.998057	1.055199
52	0.994677	1.049582
53	0.996349	1.045750
54	1.015300	1.061750
55	0.995504	1.056976
56	1.003224	1.060384
57	0.997485	1.057717
58	0.996287	1.053790
59	1.000895	1.054733
60	1.005666	1.060709
61	0.998440	1.059054
62	1.004324	1.063633
63	1.000537	1.064204
64	0.995943	1.059887
65	0.995010	1.054598
66	1.003679	1.058477
67	0.991856	1.049857
68	1.000293	1.050165
69	1.006384	1.056869
70	1.002854	1.059886
71	1.001112	1.061064
72	1.000957	1.062080
73	1.002790	1.065043
74	1.002690	1.067908
75	0.994694	1.062241
76	1.001695	1.064042
77	1.000241	1.064298
78	1.007681	1.072473
79	1.001008	1.073554
80	0.999974	1.073526
81	0.992896	1.065899
82	0.989318	1.054513
83	0.993897	1.048077
84	0.987458	1.034932
85	1.003200	1.038244
