Running strategy eg_o on dataset nyse-o.
Start Time: 2018-0307-15-11-46-789.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	1.014899	1.014899
2	1.004726	1.019696
3	0.992391	1.011938
4	1.006593	1.018609
5	1.022627	1.041657
6	1.000146	1.041810
7	1.007609	1.049736
8	0.997811	1.047438
9	0.999730	1.047155
10	0.978000	1.024118
11	0.989205	1.013063
12	0.999722	1.012782
13	1.008833	1.021728
14	0.999039	1.020746
15	0.990892	1.011449
16	0.995359	1.006755
17	1.011013	1.017843
18	1.008346	1.026337
19	1.008613	1.035177
20	1.008431	1.043905
21	0.997837	1.041647
22	1.002527	1.044279
23	0.999675	1.043940
24	0.997424	1.041250
25	0.992336	1.033270
26	1.003594	1.036983
27	0.994754	1.031544
28	1.004741	1.036435
29	1.003479	1.040040
30	1.010038	1.050480
31	1.013251	1.064401
32	0.995909	1.060046
33	1.008621	1.069185
34	1.003219	1.072627
35	0.992646	1.064739
36	1.010699	1.076131
37	0.994173	1.069860
38	1.003008	1.073078
39	0.998158	1.071101
40	0.987534	1.057749
41	0.998308	1.055960
42	0.999129	1.055040
43	1.005712	1.061066
44	0.990446	1.050929
45	0.991826	1.042339
46	1.003484	1.045971
47	1.002201	1.048273
48	0.997213	1.045351
49	1.007943	1.053655
50	1.004445	1.058338
51	0.997762	1.055969
52	1.005750	1.062041
53	0.998278	1.060212
54	0.996597	1.056604
55	0.999541	1.056119
56	0.991151	1.046774
57	0.981668	1.027584
58	0.977843	1.004815
59	1.010272	1.015137
60	0.984838	0.999745
61	1.000346	1.000091
62	1.007920	1.008012
63	0.989453	0.997381
64	1.013257	1.010604
65	1.000066	1.010670
66	1.008471	1.019231
67	1.008161	1.027549
68	0.995465	1.022889
69	0.999375	1.022249
70	1.003790	1.026123
71	0.997349	1.023403
72	0.998039	1.021396
73	1.001178	1.022600
74	0.999176	1.021758
75	0.994025	1.015653
76	0.986371	1.001810
77	0.986566	0.988353
78	0.989909	0.978379
79	0.977435	0.956301
80	1.033906	0.988726
81	0.992909	0.981715
82	0.995662	0.977456
83	1.018976	0.996004
84	1.015733	1.011674
85	0.997462	1.009106
86	1.006929	1.016098
87	1.012305	1.028602
88	1.019626	1.048789
89	1.006849	1.055972
90	0.997558	1.053393
91	1.008263	1.062098
92	1.021176	1.084589
93	0.997425	1.081797
94	1.013889	1.096822
95	1.000533	1.097406
96	1.000513	1.097969
97	0.995207	1.092707
98	1.009764	1.103376
99	1.007010	1.111111
100	1.010250	1.122500
101	0.997265	1.119430
102	1.011277	1.132055
103	1.010237	1.143643
104	1.009174	1.154135
105	0.992597	1.145591
106	0.998074	1.143385
107	1.019887	1.166124
108	1.004154	1.170968
109	0.993904	1.163830
110	0.998019	1.161525
111	0.987026	1.146456
112	1.003987	1.151026
113	1.006418	1.158413
114	0.999709	1.158076
115	0.995559	1.152933
116	0.993191	1.145082
117	0.994397	1.138666
118	1.007617	1.147340
119	1.001692	1.149281
120	0.997081	1.145927
121	1.003029	1.149397
122	1.001867	1.151544
123	0.996156	1.147118
124	1.001936	1.149338
125	0.996973	1.145859
126	1.000179	1.146064
127	1.019366	1.168258
128	1.011815	1.182061
129	1.001735	1.184112
130	1.013053	1.199568
131	0.999233	1.198648
132	1.006136	1.206004
133	1.005973	1.213207
134	1.007424	1.222214
135	0.995003	1.216107
136	0.997180	1.212678
137	1.001298	1.214252
138	0.997702	1.211462
139	0.999751	1.211161
140	1.007462	1.220198
141	0.999326	1.219376
142	0.999485	1.218748
143	1.006329	1.226461
144	1.001447	1.228236
145	0.994199	1.221111
146	0.998913	1.219784
147	1.005178	1.226100
148	1.002688	1.229395
149	1.004450	1.234866
150	0.997375	1.231624
151	1.002032	1.234126
152	0.996430	1.229721
153	0.997252	1.226341
154	0.996633	1.222212
155	0.990703	1.210849
156	1.011293	1.224523
157	1.003919	1.229322
158	1.000361	1.229767
159	1.003813	1.234456
160	0.994237	1.227341
161	0.993593	1.219477
162	0.999250	1.218563
163	0.995497	1.213075
164	1.000776	1.214017
165	0.995063	1.208024
166	0.985953	1.191054
167	0.994228	1.184179
168	1.009910	1.195915
169	1.004255	1.201003
170	0.999535	1.200445
171	1.007805	1.209815
172	1.001547	1.211687
173	1.005086	1.217849
174	1.000718	1.218724
175	1.001038	1.219989
176	1.000982	1.221187
177	1.000124	1.221338
178	0.996704	1.217312
179	0.997409	1.214158
180	1.005656	1.221026
181	0.998031	1.218622
182	1.008313	1.228753
183	0.997961	1.226248
184	1.002244	1.229000
185	1.007100	1.237726
186	0.996651	1.233581
187	0.999422	1.232867
188	1.001404	1.234598
189	1.000995	1.235826
190	1.005167	1.242211
191	1.006106	1.249796
192	1.005741	1.256971
193	1.006252	1.264829
194	0.998181	1.262528
195	0.996185	1.257711
196	1.006713	1.266154
197	1.010987	1.280066
198	0.996979	1.276198
199	0.997154	1.272566
200	0.998742	1.270965
201	1.009125	1.282563
202	1.001951	1.285065
203	1.006315	1.293180
204	1.001256	1.294804
205	1.002410	1.297925
206	0.996368	1.293211
207	0.993510	1.284819
208	1.007816	1.294861
209	0.999683	1.294450
210	1.001667	1.296607
211	0.996192	1.291669
212	1.000010	1.291682
213	1.002877	1.295399
214	1.004127	1.300744
215	1.002258	1.303681
216	1.000122	1.303840
217	0.998257	1.301567
218	1.000169	1.301787
219	1.001964	1.304343
220	0.998334	1.302170
221	1.003187	1.306321
222	0.991473	1.295182
223	1.005033	1.301701
224	0.998266	1.299444
225	1.004275	1.304999
226	0.998339	1.302832
227	0.993990	1.295002
228	1.005185	1.301717
229	1.000801	1.302760
230	1.008344	1.313630
231	0.999559	1.313051
232	1.001285	1.314738
233	1.001115	1.316204
234	0.999636	1.315724
235	0.998177	1.313326
236	0.989569	1.299627
237	1.001634	1.301751
238	1.001022	1.303081
239	0.997771	1.300177
240	1.002787	1.303800
241	0.999697	1.303405
242	0.996822	1.299263
243	0.999880	1.299107
244	1.000990	1.300392
245	1.003674	1.305171
246	0.993682	1.296924
247	0.999295	1.296010
248	0.990136	1.283227
249	0.995308	1.277206
250	1.004074	1.282410
251	0.992802	1.273179
252	1.004906	1.279425
253	1.009021	1.290967
254	1.009540	1.303282
255	0.993208	1.294430
256	1.003725	1.299252
257	1.000356	1.299715
258	0.998521	1.297793
259	1.001082	1.299197
260	0.996004	1.294005
261	0.999902	1.293878
262	0.992809	1.284574
263	0.996000	1.279435
264	0.996351	1.274767
265	0.989703	1.261641
266	1.002450	1.264733
267	1.009770	1.277089
268	0.995335	1.271131
269	0.999215	1.270134
270	1.000133	1.270303
271	1.010091	1.283122
272	0.999347	1.282284
273	0.997909	1.279603
274	1.001449	1.281456
275	1.005337	1.288295
276	1.008774	1.299598
277	1.001305	1.301294
278	0.994891	1.294645
279	1.006990	1.303695
280	1.000058	1.303770
281	1.002881	1.307526
282	1.003063	1.311531
283	1.004767	1.317783
284	1.002331	1.320855
285	1.000990	1.322163
286	0.996564	1.317620
287	1.001446	1.319525
288	1.004534	1.325509
289	1.002389	1.328675
290	1.004754	1.334991
291	0.996586	1.330434
292	1.013653	1.348599
293	0.999998	1.348596
294	1.005539	1.356066
295	1.003463	1.360762
296	0.996768	1.356363
297	1.002899	1.360295
298	0.995307	1.353912
299	0.995653	1.348027
300	1.007066	1.357552
301	1.003160	1.361842
302	1.002407	1.365120
303	1.001204	1.366764
304	1.001092	1.368256
305	0.999768	1.367940
306	0.998070	1.365299
307	1.004448	1.371371
308	1.001037	1.372793
309	0.995123	1.366097
310	0.997586	1.362800
311	0.995585	1.356783
312	0.997108	1.352859
313	0.997924	1.350051
314	0.990612	1.337376
315	1.005459	1.344677
316	1.001483	1.346671
317	1.008711	1.358401
318	1.010401	1.372530
319	0.999119	1.371321
320	0.997768	1.368260
321	0.991293	1.356347
322	0.998877	1.354824
323	1.006416	1.363517
324	1.000972	1.364842
325	1.005461	1.372295
326	1.010916	1.387276
327	0.997105	1.383260
328	1.003861	1.388601
329	0.995702	1.382632
330	0.995772	1.376787
331	0.999137	1.375599
332	1.010282	1.389743
333	1.005474	1.397350
334	1.001268	1.399123
335	1.003359	1.403822
336	0.985813	1.383906
337	1.003210	1.388348
338	1.004117	1.394064
339	0.990357	1.380621
340	0.993581	1.371759
341	1.007096	1.381493
342	1.002942	1.385557
343	1.003483	1.390382
344	0.996622	1.385686
345	0.998340	1.383386
346	0.997723	1.380236
347	0.993651	1.371472
348	0.998568	1.369509
349	1.002375	1.372761
350	1.000754	1.373796
351	0.990836	1.361207
352	0.973224	1.324760
353	1.033547	1.369201
354	0.998559	1.367228
355	1.015803	1.388835
356	1.003880	1.394223
357	1.001185	1.395875
358	1.008844	1.408220
359	1.008165	1.419718
360	0.996545	1.414813
361	1.000276	1.415203
362	1.002823	1.419199
363	0.993019	1.409291
364	1.007320	1.419607
365	1.003251	1.424222
366	0.999144	1.423002
367	1.005617	1.430995
368	0.996091	1.425402
369	0.996092	1.419831
370	0.994840	1.412505
371	0.995123	1.405617
372	1.003055	1.409912
373	1.005236	1.417294
374	1.005358	1.424888
375	0.995713	1.418780
376	1.007810	1.429860
377	1.009756	1.443810
378	1.010166	1.458488
379	0.995697	1.452212
380	1.000475	1.452902
381	1.004988	1.460149
382	1.004951	1.467379
383	0.999252	1.466282
384	0.996977	1.461850
385	1.003384	1.466797
386	1.000564	1.467624
387	1.003003	1.472031
388	1.002710	1.476020
389	0.995025	1.468677
390	1.002574	1.472457
391	1.007129	1.482954
392	0.998355	1.480514
393	0.998199	1.477847
394	1.001984	1.480779
395	0.997792	1.477511
396	0.993236	1.467516
397	1.002643	1.471396
398	1.004902	1.478608
399	1.005802	1.487188
400	1.002416	1.490781
401	1.000645	1.491742
402	1.005173	1.499459
403	1.008017	1.511480
404	1.000174	1.511743
405	1.000821	1.512984
406	1.006569	1.522923
407	0.999862	1.522713
408	1.001481	1.524968
409	0.997795	1.521606
410	1.000049	1.521681
411	1.002281	1.525152
412	1.000491	1.525901
413	1.001865	1.528747
414	0.994563	1.520434
415	1.007940	1.532507
416	0.996004	1.526383
417	0.995287	1.519189
418	1.000381	1.519767
419	1.004231	1.526197
420	0.998947	1.524589
421	1.001974	1.527599
422	1.004372	1.534278
423	1.000556	1.535132
424	1.004418	1.541914
425	1.001302	1.543921
426	1.004186	1.550384
427	1.000783	1.551598
428	1.004287	1.558250
429	1.001791	1.561041
430	1.002466	1.564890
431	0.999947	1.564808
432	0.994511	1.556218
433	1.001592	1.558696
434	0.998262	1.555986
435	1.000370	1.556561
436	1.007732	1.568596
437	1.000494	1.569371
438	0.998134	1.566442
439	1.004248	1.573097
440	1.016627	1.599253
441	1.001053	1.600937
442	1.003922	1.607215
443	0.991834	1.594091
444	1.005209	1.602394
445	1.002801	1.606882
446	1.003903	1.613153
447	1.004105	1.619774
448	1.011431	1.638290
449	1.006412	1.648794
450	1.000299	1.649287
451	0.996966	1.644283
452	0.994223	1.634784
453	1.000950	1.636337
454	0.997698	1.632571
455	0.994516	1.623619
456	0.988216	1.604487
457	0.995563	1.597367
458	1.007107	1.608720
459	0.993707	1.598596
460	0.995358	1.591175
461	1.005236	1.599507
462	1.006161	1.609362
463	1.002515	1.613410
464	0.998347	1.610743
465	1.000368	1.611336
466	0.998958	1.609656
467	1.007748	1.622127
468	1.003306	1.627491
469	0.993667	1.617183
470	1.000441	1.617897
471	0.998879	1.616084
472	0.996752	1.610835
473	0.994910	1.602635
474	1.002701	1.606965
475	1.003969	1.613343
476	1.000859	1.614729
477	0.999190	1.613421
478	0.997289	1.609047
479	0.998256	1.606241
480	1.002377	1.610059
481	0.993273	1.599229
482	0.994329	1.590159
483	0.994992	1.582197
484	0.992240	1.569919
485	1.003211	1.574961
486	0.997774	1.571455
487	1.008111	1.584202
488	1.001727	1.586939
489	1.008802	1.600907
490	0.999058	1.599400
491	1.001848	1.602356
492	1.006937	1.613472
493	1.006666	1.624228
494	1.002427	1.628170
495	1.005149	1.636553
496	0.997470	1.632412
497	0.997997	1.629143
498	1.006985	1.640522
499	0.998866	1.638662
500	1.008433	1.652481
501	1.000561	1.653409
502	0.997442	1.649179
503	1.006504	1.659905
504	1.010816	1.677858
505	1.005756	1.687516
506	1.001199	1.689539
507	1.000120	1.689741
508	1.001331	1.691990
509	1.004593	1.699762
510	1.000862	1.701228
511	0.998495	1.698668
512	1.003490	1.704596
513	1.003160	1.709983
514	1.007185	1.722269
515	0.995515	1.714545
516	0.995299	1.706486
517	0.997880	1.702867
518	1.002678	1.707428
519	0.997421	1.703024
520	0.995250	1.694935
521	0.996267	1.688608
522	1.003318	1.694210
523	1.000609	1.695242
524	1.001720	1.698157
525	0.999541	1.697377
526	0.988770	1.678316
527	0.999908	1.678161
528	0.990648	1.662466
529	1.005174	1.671068
530	0.997815	1.667416
531	1.000489	1.668231
532	1.006644	1.679314
533	1.003002	1.684355
534	0.998585	1.681972
535	1.004942	1.690284
536	1.000472	1.691083
537	1.006077	1.701359
538	1.000949	1.702974
539	0.998259	1.700009
540	1.000834	1.701427
541	0.993903	1.691052
542	0.993422	1.679928
543	1.004647	1.687735
544	1.006408	1.698549
545	0.996344	1.692340
546	1.003099	1.697585
547	1.002557	1.701926
548	1.002472	1.706133
549	1.002460	1.710330
550	1.003921	1.717036
551	1.006098	1.727507
552	0.996911	1.722171
553	1.003642	1.728444
554	0.995083	1.719946
555	0.997554	1.715739
556	1.005861	1.725794
557	1.003705	1.732188
558	0.995678	1.724701
559	1.003052	1.729965
560	0.999559	1.729203
561	0.996044	1.722361
562	1.001004	1.724090
563	1.004697	1.732188
564	0.999869	1.731961
565	1.001906	1.735263
566	1.001536	1.737928
567	1.000039	1.737996
568	1.000073	1.738123
569	1.001492	1.740716
570	1.001250	1.742892
571	1.001060	1.744740
572	1.004228	1.752117
573	1.002626	1.756718
574	1.000774	1.758078
575	0.997360	1.753437
576	1.000254	1.753882
577	0.991434	1.738858
578	1.009244	1.754932
579	0.997084	1.749814
580	1.005357	1.759187
581	1.003074	1.764595
582	1.000959	1.766287
583	1.003052	1.771678
584	1.002168	1.775518
585	0.999674	1.774940
586	0.992155	1.761015
587	0.996083	1.754118
588	1.004464	1.761949
589	1.005884	1.772316
590	1.000173	1.772624
591	0.999509	1.771753
592	1.000238	1.772176
593	1.002683	1.776931
594	0.994778	1.767653
595	1.005035	1.776553
596	1.003129	1.782111
597	0.998195	1.778894
598	1.003453	1.785035
599	1.005226	1.794365
