Running strategy eg_o on dataset sp500.
Start Time: 2018-0307-02-03-59-104.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	1.005824	1.005824
2	0.991249	0.997022
3	0.997954	0.994982
4	0.995402	0.990407
5	0.968802	0.959508
6	1.021853	0.980477
7	1.009121	0.989420
8	1.005529	0.994890
9	0.992667	0.987595
10	1.011144	0.998600
11	1.022631	1.021200
12	0.987120	1.008046
13	0.989864	0.997829
14	0.994103	0.991945
15	1.001667	0.993599
16	1.015582	1.009081
17	1.007622	1.016772
18	1.005997	1.022869
19	0.995333	1.018095
20	1.024104	1.042635
21	1.003409	1.046190
22	0.999455	1.045619
23	0.994938	1.040326
24	1.010950	1.051717
25	0.994988	1.046446
26	1.009850	1.056754
27	1.003103	1.060034
28	1.005950	1.066340
29	0.995652	1.061704
30	1.000986	1.062751
31	1.009999	1.073377
32	0.999626	1.072975
33	1.006899	1.080378
34	1.010324	1.091532
35	0.991832	1.082616
36	1.014790	1.098628
37	1.004947	1.104063
38	1.001166	1.105350
39	0.995102	1.099936
40	1.002554	1.102745
41	0.994649	1.096844
42	0.986858	1.082429
43	1.023914	1.108314
44	0.993405	1.101005
45	1.011324	1.113472
46	1.004227	1.118179
47	1.004755	1.123496
48	0.998381	1.121678
49	1.010367	1.133306
50	1.001049	1.134495
51	1.003568	1.138542
52	1.007505	1.147087
53	1.009371	1.157836
54	0.997743	1.155223
55	1.009652	1.166374
56	0.997851	1.163867
57	0.998288	1.161874
58	0.992877	1.153598
59	0.998132	1.151443
60	1.007787	1.160409
61	1.005893	1.167247
62	1.011332	1.180474
63	1.001527	1.182277
64	0.996864	1.178569
65	0.992684	1.169946
66	0.990789	1.159170
67	1.006209	1.166368
68	0.997570	1.163534
69	1.001475	1.165250
70	1.001530	1.167033
71	0.992338	1.158091
72	1.020188	1.181471
73	1.007141	1.189908
74	1.006896	1.198113
75	1.009169	1.209098
76	0.990307	1.197378
77	0.989402	1.184689
78	0.979726	1.160671
79	0.994640	1.154450
80	1.011944	1.168239
81	1.017117	1.188235
82	1.006813	1.196330
83	1.000574	1.197017
84	0.995737	1.191914
85	0.989998	1.179992
86	0.990745	1.169072
