Running strategy eg_o on dataset tse.
Start Time: 2018-0306-22-08-40-981.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.011210	1.027294
3	1.004907	1.032334
4	1.003688	1.036141
5	1.002556	1.038790
6	0.998374	1.037101
7	1.000388	1.037503
8	1.004208	1.041869
9	1.000448	1.042336
10	1.009169	1.051893
11	1.005160	1.057320
12	1.002744	1.060221
13	0.993083	1.052888
14	0.993934	1.046500
15	0.992221	1.038360
16	0.999712	1.038061
17	1.004175	1.042395
18	0.998777	1.041120
19	1.005636	1.046988
20	1.013914	1.061555
21	1.012044	1.074341
22	0.996574	1.070660
23	0.997607	1.068097
24	0.973727	1.040035
25	1.006706	1.047009
26	1.002747	1.049886
27	1.002289	1.052289
28	0.993586	1.045540
29	0.990641	1.035754
30	0.998677	1.034384
31	1.003555	1.038061
32	1.002448	1.040603
33	0.995956	1.036395
34	0.990661	1.026716
35	0.992907	1.019433
36	1.002190	1.021666
37	1.003273	1.025010
38	0.989199	1.013939
39	1.007688	1.021734
40	1.016058	1.038141
41	1.000203	1.038352
42	0.991041	1.029050
43	1.002348	1.031466
44	1.007661	1.039368
45	1.009858	1.049614
46	0.999689	1.049287
47	1.003781	1.053254
48	1.004135	1.057609
49	1.001005	1.058673
50	1.010350	1.069630
51	1.008399	1.078613
52	1.003823	1.082736
53	1.006150	1.089395
54	1.003748	1.093478
55	0.991036	1.083676
56	1.006446	1.090662
57	1.013982	1.105911
58	0.992899	1.098058
59	0.995457	1.093069
60	0.989932	1.082064
61	0.973541	1.053434
62	0.981842	1.034306
63	1.006400	1.040925
64	0.974270	1.014143
65	1.015974	1.030343
66	1.012061	1.042770
67	1.007033	1.050105
68	0.996350	1.046272
69	0.992182	1.038093
70	1.001333	1.039476
71	0.985340	1.024238
72	0.997804	1.021988
73	0.997052	1.018975
74	0.979162	0.997742
75	0.984576	0.982353
76	0.996146	0.978567
77	1.018918	0.997080
78	0.998862	0.995945
79	1.017251	1.013127
80	1.005213	1.018409
81	1.005703	1.024216
82	0.994355	1.018434
83	1.000017	1.018451
84	1.002073	1.020563
85	0.996716	1.017211
86	1.000661	1.017884
87	0.995102	1.012898
88	1.001115	1.014028
89	0.980917	0.994677
90	1.000499	0.995174
91	0.995189	0.990386
92	0.999218	0.989612
93	1.008077	0.997605
94	1.007723	1.005310
95	1.013439	1.018820
96	1.000619	1.019450
97	1.001806	1.021291
98	1.002037	1.023371
99	0.996599	1.019891
100	0.997018	1.016849
101	1.009461	1.026469
102	1.002974	1.029522
103	1.004071	1.033713
104	1.002088	1.035872
105	0.993504	1.029143
106	1.001942	1.031142
107	0.998146	1.029230
108	0.996852	1.025990
109	0.992096	1.017880
110	0.989393	1.007084
111	0.999990	1.007073
112	1.003526	1.010625
113	0.996535	1.007123
114	0.999350	1.006468
115	0.995901	1.002342
116	0.995597	0.997929
117	1.000989	0.998915
118	0.985530	0.984462
119	0.988411	0.973052
120	1.001174	0.974195
121	0.992178	0.966574
122	0.982801	0.949950
123	1.007039	0.956637
124	0.998135	0.954852
125	1.009901	0.964306
126	1.001678	0.965925
127	1.007695	0.973358
128	1.002078	0.975380
129	0.996649	0.972112
130	1.006996	0.978912
131	1.003536	0.982374
132	1.001095	0.983449
133	1.008013	0.991330
134	1.004036	0.995331
135	1.011953	1.007228
136	1.001981	1.009223
137	1.000824	1.010055
138	0.997615	1.007645
139	0.998261	1.005893
140	0.997234	1.003110
141	1.000081	1.003191
142	1.002455	1.005654
143	0.996636	1.002271
144	0.998382	1.000649
145	1.002230	1.002880
146	1.007270	1.010172
147	1.009002	1.019265
148	1.006070	1.025453
149	0.997803	1.023200
150	0.983839	1.006664
151	0.994890	1.001520
152	1.004068	1.005594
153	1.004397	1.010016
154	0.995192	1.005160
155	0.999696	1.004854
156	0.995649	1.000482
157	1.002323	1.002806
158	0.998261	1.001062
159	0.996407	0.997466
160	1.001080	0.998542
161	0.996389	0.994936
162	1.004335	0.999249
163	1.010786	1.010027
164	1.000187	1.010215
165	1.006832	1.017117
166	1.014089	1.031448
167	0.996625	1.027967
168	1.006689	1.034843
169	1.002439	1.037367
170	1.003385	1.040878
171	1.002584	1.043567
172	1.003343	1.047056
173	1.002786	1.049973
174	0.997574	1.047426
175	1.001590	1.049092
176	1.002920	1.052155
177	0.997811	1.049852
178	1.011394	1.061813
179	1.002106	1.064049
180	1.006971	1.071466
181	0.991497	1.062355
