Running strategy eg_o_ on dataset djia.
Start Time: 2018-0725-21-56-29-516.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.973490	0.976036
3	0.994871	0.971030
4	0.998772	0.969838
5	1.005780	0.975444
6	1.001518	0.976925
7	0.993424	0.970500
8	1.012652	0.982779
9	0.995667	0.978521
10	1.006877	0.985250
11	0.989730	0.975132
12	0.999194	0.974345
13	1.007160	0.981322
14	1.001801	0.983090
15	1.004762	0.987771
16	0.992113	0.979980
17	1.007497	0.987327
18	1.017554	1.004659
19	1.000639	1.005300
20	1.009334	1.014683
21	0.988532	1.003047
22	1.008868	1.011942
23	0.999282	1.011215
24	0.996153	1.007324
25	0.993893	1.001173
26	0.989688	0.990849
27	1.015335	1.006044
28	0.995186	1.001201
29	0.990476	0.991665
30	1.011930	1.003496
31	0.989208	0.992666
32	0.990574	0.983310
33	0.979290	0.962945
34	1.001602	0.964488
35	0.993129	0.957860
36	1.022499	0.979412
37	0.999965	0.979378
38	0.986238	0.965899
39	0.993740	0.959853
40	1.002626	0.962373
41	1.010441	0.972421
42	1.005612	0.977879
43	1.015477	0.993014
44	1.010271	1.003213
45	0.978596	0.981739
46	0.957092	0.939614
47	1.013220	0.952036
48	0.967013	0.920632
49	1.006342	0.926470
50	0.980637	0.908531
51	1.014521	0.921723
52	0.974466	0.898188
53	0.977195	0.877705
54	0.990772	0.869606
55	1.013832	0.881634
56	1.019857	0.899141
57	1.028629	0.924882
58	0.981259	0.907549
59	1.002105	0.909459
60	1.007585	0.916357
61	0.989095	0.906364
62	0.968328	0.877658
63	1.001315	0.878812
64	1.045642	0.918922
65	0.982470	0.902814
66	1.005297	0.907596
67	1.029752	0.934598
68	0.994704	0.929649
69	1.011846	0.940661
70	1.000839	0.941450
71	1.004462	0.945651
72	1.043622	0.986902
73	1.007317	0.994123
74	0.989449	0.983634
75	0.991613	0.975385
76	0.990221	0.965846
77	1.016604	0.981883
78	1.007085	0.988839
79	1.011852	1.000559
80	0.992231	0.992785
81	1.016358	1.009025
82	1.000006	1.009031
83	0.990249	0.999192
84	1.013401	1.012582
85	0.998999	1.011568
86	0.993946	1.005445
87	0.996980	1.002408
88	1.005157	1.007577
89	0.992381	0.999900
90	1.003917	1.003817
91	0.999230	1.003044
92	1.032740	1.035884
93	1.006842	1.042972
94	1.004015	1.047159
95	1.005827	1.053261
96	0.993528	1.046444
97	0.985058	1.030808
98	1.002275	1.033153
99	0.989191	1.021986
100	1.003091	1.025145
101	0.983701	1.008436
102	1.004610	1.013085
103	1.007374	1.020555
104	1.004654	1.025305
105	1.009328	1.034869
106	0.989862	1.024377
107	1.002592	1.027033
108	0.989966	1.016728
109	0.994132	1.010761
110	1.000485	1.011252
111	0.991823	1.002983
112	0.980853	0.983779
113	0.995100	0.978959
114	0.999252	0.978226
115	0.995114	0.973447
116	1.007666	0.980910
117	1.009594	0.990320
118	0.989399	0.979822
119	0.991091	0.971092
120	0.996066	0.967272
121	0.996589	0.963973
122	1.014510	0.977961
123	0.995892	0.973943
124	1.009485	0.983181
125	0.997594	0.980815
126	0.991645	0.972621
127	0.978029	0.951251
128	1.008306	0.959153
129	0.990448	0.949991
130	1.006671	0.956328
131	1.024789	0.980034
132	1.006868	0.986765
133	0.991633	0.978509
134	1.012732	0.990968
135	0.997552	0.988542
136	1.004471	0.992961
137	0.997146	0.990127
138	0.984990	0.975266
139	0.982748	0.958441
140	1.016919	0.974657
141	1.004001	0.978556
142	0.996687	0.975315
143	0.998243	0.973601
144	1.011331	0.984633
145	1.000002	0.984635
146	1.003938	0.988512
147	0.995755	0.984316
148	0.989714	0.974191
149	1.005212	0.979268
150	0.984516	0.964105
151	1.000288	0.964383
152	1.010438	0.974450
153	0.999709	0.974166
154	0.999897	0.974066
155	0.993728	0.967956
156	1.004057	0.971883
157	0.985080	0.957383
158	1.009335	0.966320
159	0.986057	0.952847
160	1.009182	0.961595
161	0.996730	0.958450
162	1.019470	0.977112
163	0.995377	0.972594
164	0.984797	0.957808
165	0.987999	0.946313
166	0.983800	0.930983
167	1.004929	0.935572
168	1.000951	0.936462
169	1.002624	0.938919
170	0.978923	0.919129
171	0.976979	0.897970
172	0.997535	0.895757
173	0.924124	0.827790
174	0.995614	0.824160
175	0.981116	0.808596
176	0.951582	0.769446
177	0.988147	0.760326
178	1.048814	0.797440
179	1.007158	0.803148
180	0.988528	0.793934
181	1.013346	0.804531
182	1.020338	0.820893
183	0.996960	0.818397
184	1.013310	0.829290
185	1.022879	0.848263
186	0.992233	0.841675
187	1.005335	0.846165
188	0.994235	0.841287
189	1.000055	0.841333
190	1.022996	0.860681
191	1.021191	0.878920
192	0.992952	0.872725
193	0.996775	0.869911
194	1.005252	0.874480
195	0.981875	0.858630
196	0.991336	0.851190
197	1.004038	0.854627
198	1.017170	0.869301
199	0.995108	0.865049
200	0.997586	0.862960
201	1.012770	0.873981
202	1.008198	0.881146
203	0.970201	0.854888
204	0.980497	0.838215
205	0.995165	0.834162
206	1.021090	0.851755
207	1.006257	0.857085
208	1.013219	0.868414
209	1.018664	0.884622
210	0.995316	0.880478
211	1.003729	0.883761
212	1.002013	0.885539
213	0.993710	0.879969
214	1.022623	0.899876
215	1.011516	0.910239
216	1.007999	0.917520
217	0.999639	0.917189
218	1.011997	0.928192
219	0.991107	0.919938
220	0.992871	0.913380
221	1.013608	0.925809
222	1.002991	0.928578
223	0.988919	0.918288
224	0.984104	0.903691
225	1.011931	0.914473
226	1.003148	0.917352
227	0.990445	0.908587
228	1.013708	0.921042
229	1.024014	0.943159
230	1.000683	0.943803
231	0.993763	0.937917
232	0.986082	0.924863
233	0.996229	0.921376
234	0.998549	0.920039
235	0.985179	0.906403
236	1.004088	0.910108
237	1.008440	0.917789
238	1.009517	0.926524
239	1.005908	0.931998
240	0.993468	0.925910
241	1.005859	0.931334
242	0.999974	0.931310
243	1.004503	0.935503
244	1.004879	0.940068
245	1.002007	0.941954
246	0.989047	0.931637
247	1.007980	0.939071
248	1.012249	0.950573
249	1.010001	0.960080
250	0.995334	0.955600
251	0.995323	0.951131
252	0.993650	0.945091
253	0.998933	0.944082
254	0.990993	0.935579
255	0.989417	0.925679
256	1.004029	0.929408
