Running strategy eg_o_ on dataset msci.
Start Time: 2018-0726-12-49-36-311.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.005914	1.013947
3	1.005628	1.019654
4	1.002978	1.022691
5	0.990618	1.013096
6	0.999786	1.012879
7	0.994285	1.007090
8	0.994822	1.001876
9	0.999948	1.001823
10	1.000020	1.001843
11	1.012596	1.014463
12	1.003060	1.017567
13	1.012189	1.029971
14	1.000531	1.030518
15	1.007358	1.038101
16	0.998562	1.036608
17	1.001197	1.037850
18	1.006950	1.045062
19	1.001501	1.046631
20	0.999900	1.046526
21	1.003853	1.050558
22	1.007045	1.057960
23	0.996201	1.053941
24	1.006254	1.060532
25	1.008224	1.069254
26	1.002828	1.072278
27	1.002800	1.075280
28	0.996989	1.072043
29	0.996080	1.067840
30	0.987256	1.054231
31	0.978281	1.031334
32	1.000573	1.031926
33	0.979543	1.010816
34	0.989291	0.999991
35	0.994310	0.994301
36	0.977606	0.972035
37	1.021387	0.992824
38	0.985822	0.978748
39	1.006217	0.984833
40	1.014921	0.999527
41	1.006208	1.005732
42	0.990731	0.996410
43	0.998399	0.994815
44	1.001206	0.996014
45	1.012349	1.008314
46	0.995525	1.003802
47	0.972600	0.976297
48	0.997468	0.973825
49	0.968077	0.942738
50	1.013312	0.955287
51	0.987813	0.943645
52	0.972281	0.917488
53	1.005431	0.922471
54	1.022181	0.942933
55	1.001767	0.944599
56	0.998173	0.942873
57	0.999010	0.941940
58	1.005454	0.947078
59	1.000481	0.947534
60	0.997840	0.945486
61	1.002676	0.948016
62	0.999197	0.947255
63	0.991360	0.939071
64	1.016169	0.954254
65	1.031848	0.984645
66	1.006340	0.990888
67	1.003808	0.994661
68	0.983902	0.978649
69	1.008863	0.987322
70	1.003801	0.991075
71	0.997374	0.988473
72	0.994887	0.983419
73	0.996728	0.980202
74	0.986399	0.966870
75	0.984637	0.952016
76	0.985661	0.938365
77	0.995641	0.934275
78	1.018734	0.951777
79	1.011788	0.962997
80	0.994298	0.957506
81	1.005849	0.963106
82	1.006829	0.969684
83	1.001537	0.971174
84	1.016947	0.987633
85	1.005200	0.992768
86	1.000743	0.993506
87	0.994578	0.988118
88	1.013487	1.001445
89	0.995416	0.996854
90	1.011980	1.008796
91	0.990859	0.999575
92	1.001789	1.001363
93	1.006216	1.007587
94	0.987558	0.995051
95	0.999155	0.994210
96	1.004296	0.998482
97	1.009692	1.008159
98	1.011338	1.019589
99	1.003537	1.023196
100	0.996998	1.020124
101	1.003158	1.023345
102	0.997271	1.020553
103	0.996805	1.017292
104	0.997956	1.015213
105	0.997086	1.012254
106	1.003356	1.015651
107	1.001115	1.016784
108	1.009097	1.026033
109	1.000251	1.026291
