Running strategy eg_o_ on dataset sp500.
Start Time: 2018-0725-23-15-57-942.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	1.005824	1.005824
2	0.991249	0.997022
3	0.997954	0.994982
4	0.995402	0.990407
5	0.968802	0.959508
6	1.021853	0.980477
7	1.009121	0.989420
8	1.005529	0.994890
9	0.992667	0.987595
10	1.011144	0.998600
11	1.022629	1.021198
12	0.987112	1.008037
13	0.989865	0.997821
14	0.994101	0.991935
15	1.001667	0.993589
16	1.015576	1.009065
17	1.007623	1.016758
18	1.005998	1.022856
19	0.995331	1.018081
20	1.024095	1.042612
21	1.003402	1.046159
22	0.999459	1.045592
23	0.994941	1.040302
24	1.010943	1.051686
25	0.994989	1.046416
26	1.009850	1.056723
27	1.003102	1.060001
28	1.005951	1.066308
29	0.995652	1.061673
30	1.000985	1.062719
31	1.009999	1.073345
32	0.999621	1.072939
33	1.006906	1.080348
34	1.010332	1.091510
35	0.991834	1.082597
36	1.014796	1.098615
37	1.004948	1.104050
38	1.001172	1.105345
39	0.995089	1.099917
40	1.002535	1.102705
41	0.994668	1.096826
42	0.986832	1.082383
43	1.023916	1.108268
44	0.993380	1.100931
45	1.011330	1.113405
46	1.004213	1.118096
47	1.004742	1.123398
48	0.998375	1.121572
49	1.010364	1.133197
50	1.001053	1.134390
51	1.003552	1.138420
52	1.007499	1.146957
53	1.009376	1.157710
54	0.997741	1.155095
55	1.009652	1.166244
56	0.997849	1.163735
57	0.998285	1.161739
58	0.992873	1.153460
59	0.998137	1.151311
60	1.007790	1.160279
61	1.005897	1.167121
62	1.011335	1.180350
63	1.001534	1.182161
64	0.996861	1.178450
65	0.992652	1.169791
66	0.990794	1.159022
67	1.006199	1.166206
68	0.997578	1.163381
69	1.001467	1.165088
70	1.001528	1.166868
71	0.992324	1.157911
72	1.020184	1.181283
73	1.007164	1.189745
74	1.006912	1.197969
75	1.009171	1.208956
76	0.990296	1.197224
77	0.989415	1.184551
78	0.979705	1.160511
79	0.994645	1.154296
80	1.011919	1.168054
81	1.017116	1.188046
82	1.006790	1.196113
83	1.000584	1.196812
84	0.995718	1.191687
85	0.989999	1.179769
86	0.990749	1.168855
