Running strategy eg_o_ on dataset tse.
Start Time: 2018-0726-08-18-51-949.
-------------------------------------
Parameters [eta:0.050000, tc:0.000000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.011210	1.027294
3	1.004907	1.032334
4	1.003688	1.036141
5	1.002556	1.038790
6	0.998374	1.037101
7	1.000388	1.037503
8	1.004208	1.041869
9	1.000448	1.042336
10	1.009169	1.051893
11	1.005202	1.057365
12	1.002765	1.060289
13	0.993104	1.052977
14	0.994028	1.046689
15	0.992189	1.038513
16	0.999695	1.038197
17	1.004219	1.042577
18	0.998674	1.041195
19	1.005752	1.047185
20	1.013950	1.061793
21	1.012101	1.074642
22	0.996756	1.071156
23	0.997667	1.068656
24	0.973945	1.040812
25	1.006253	1.047320
26	1.002485	1.049923
27	1.002455	1.052500
28	0.993960	1.046143
29	0.990446	1.036148
30	0.998481	1.034574
31	1.003661	1.038362
32	1.002419	1.040873
33	0.996199	1.036917
34	0.990995	1.027579
35	0.992832	1.020214
36	1.001890	1.022142
37	1.003407	1.025625
38	0.989269	1.014619
39	1.007656	1.022387
40	1.016278	1.039029
41	0.999868	1.038892
42	0.991290	1.029843
43	1.002322	1.032234
44	1.007791	1.040276
45	1.009646	1.050311
46	0.999688	1.049984
47	1.003690	1.053858
48	1.004973	1.059099
49	1.001013	1.060172
50	1.009610	1.070360
51	1.008652	1.079621
52	1.004116	1.084065
53	1.005944	1.090508
54	1.003916	1.094779
55	0.991120	1.085058
56	1.006535	1.092149
57	1.013918	1.107349
58	0.992973	1.099568
59	0.996020	1.095192
60	0.989481	1.083671
61	0.974387	1.055916
62	0.981790	1.036687
63	1.006298	1.043216
64	0.974544	1.016659
65	1.015843	1.032766
66	1.011489	1.044631
67	1.006418	1.051335
68	0.996789	1.047959
69	0.992141	1.039724
70	1.001196	1.040967
71	0.985726	1.026108
72	0.997624	1.023670
73	0.996972	1.020571
74	0.979364	0.999510
75	0.984729	0.984247
76	0.996033	0.980343
77	1.018563	0.998542
78	0.999306	0.997849
79	1.017187	1.014999
80	1.005517	1.020598
81	1.005866	1.026585
82	0.994515	1.020954
83	1.000090	1.021045
84	1.001696	1.022777
85	0.997092	1.019802
86	1.000437	1.020248
87	0.995436	1.015592
88	1.001670	1.017288
89	0.980943	0.997902
90	1.000583	0.998484
91	0.995238	0.993729
92	0.999410	0.993143
93	1.007075	1.000170
94	1.007872	1.008043
95	1.013156	1.021305
96	1.000985	1.022311
97	1.002067	1.024424
98	1.002384	1.026866
99	0.996608	1.023383
100	0.997470	1.020794
101	1.009251	1.030238
102	1.002915	1.033240
103	1.003420	1.036774
104	1.002655	1.039527
105	0.993036	1.032288
106	1.000537	1.032842
107	0.997856	1.030628
108	0.996471	1.026991
109	0.992951	1.019752
110	0.989115	1.008652
111	1.000001	1.008653
112	1.003873	1.012560
113	0.996459	1.008975
114	0.999232	1.008200
115	0.995003	1.003162
116	0.994857	0.998002
117	1.000721	0.998722
118	0.983684	0.982427
119	0.988032	0.970669
120	1.001729	0.972347
121	0.992904	0.965447
122	0.983429	0.949448
123	1.006991	0.956086
124	0.998180	0.954345
125	1.010504	0.964369
126	1.001209	0.965535
127	1.007827	0.973092
128	1.001467	0.974519
129	0.996509	0.971117
130	1.006819	0.977739
131	1.004450	0.982089
132	1.002071	0.984123
133	1.007985	0.991982
134	1.003976	0.995925
135	1.011110	1.006990
136	1.001977	1.008980
137	1.001622	1.010617
138	0.997436	1.008026
139	0.998182	1.006194
140	0.997075	1.003251
141	1.000504	1.003756
142	1.000592	1.004351
143	0.997222	1.001561
144	0.997021	0.998578
145	1.002820	1.001394
146	1.007320	1.008724
147	1.005159	1.013929
148	1.005552	1.019558
149	0.998249	1.017773
150	0.988160	1.005722
151	0.996783	1.002487
152	1.003075	1.005570
153	1.005070	1.010668
154	0.994817	1.005430
155	0.999981	1.005410
156	0.996276	1.001666
157	1.001955	1.003624
158	0.998954	1.002575
159	0.996694	0.999260
160	1.001120	1.000379
161	0.997365	0.997742
162	1.004123	1.001855
163	1.010712	1.012588
164	1.000828	1.013426
165	1.008272	1.021809
166	1.012591	1.034675
167	0.997710	1.032306
168	1.006398	1.038910
169	1.002735	1.041751
170	1.003536	1.045436
171	1.002928	1.048497
172	1.002171	1.050773
173	1.002967	1.053891
174	0.996931	1.050657
175	1.000185	1.050851
176	1.003003	1.054006
177	0.998666	1.052601
178	1.010564	1.063720
179	1.002903	1.066808
180	1.007385	1.074687
181	0.991164	1.065191
