Running strategy olmar2 on dataset msci.
Start Time: 2018-0306-03-32-05-456.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.013756	1.021852
3	1.004901	1.026861
4	1.017418	1.044746
5	0.979381	1.023205
6	1.001869	1.025117
7	0.996693	1.021727
8	0.997538	1.019212
9	0.998162	1.017339
10	1.000000	1.017339
11	1.015896	1.033511
12	1.012375	1.046301
13	1.006901	1.053522
14	0.975087	1.027275
15	1.016968	1.044705
16	1.002298	1.047105
17	1.003709	1.050989
18	1.013617	1.065300
19	1.005224	1.070865
20	0.997553	1.068245
21	1.001751	1.070116
22	1.007454	1.078092
23	0.997827	1.075749
24	1.010826	1.087395
25	0.978196	1.063685
26	1.002873	1.066741
27	0.994567	1.060946
28	0.995729	1.056414
29	0.992958	1.048975
30	0.996600	1.045408
31	0.996690	1.041948
32	0.996951	1.038771
33	0.997728	1.036411
34	0.991002	1.027085
35	0.991028	1.017870
36	0.961083	0.978257
37	1.035935	1.013411
38	1.006921	1.020424
39	1.004156	1.024665
40	1.000838	1.025523
41	1.031907	1.058245
42	1.007366	1.066039
43	1.008147	1.074725
44	1.002598	1.077517
45	1.014250	1.092871
46	1.005310	1.098674
47	0.969678	1.065360
48	0.996992	1.062155
49	0.962292	1.022103
50	1.027900	1.050619
51	0.993558	1.043851
52	0.954195	0.996038
53	1.003878	0.999901
54	1.062644	1.062538
55	1.007026	1.070003
56	0.997531	1.067361
57	1.005462	1.073192
58	1.002249	1.075605
59	0.959029	1.031536
60	0.996564	1.027992
61	1.009194	1.037444
62	1.012072	1.049968
63	0.996226	1.046005
64	1.004600	1.050817
65	1.022222	1.074168
66	1.019399	1.095005
67	1.002947	1.098233
68	0.989640	1.086855
69	0.996919	1.083506
70	1.006820	1.090896
71	0.995709	1.086214
72	1.000186	1.086416
73	1.001039	1.087545
74	0.961763	1.045961
75	0.994407	1.040111
76	0.977231	1.016429
77	1.009585	1.026171
78	1.003885	1.030158
79	1.000875	1.031059
80	0.992189	1.023006
81	1.013905	1.037230
82	1.031840	1.070256
83	0.999698	1.069932
84	1.020714	1.092095
85	0.993669	1.085181
86	1.009008	1.094956
87	1.000097	1.095062
88	1.020373	1.117372
89	1.007307	1.125537
90	1.018599	1.146470
91	1.001077	1.147706
92	1.014839	1.164736
93	1.009609	1.175928
94	1.004579	1.181313
95	0.994287	1.174564
96	0.986343	1.158523
97	1.014897	1.175781
98	1.007247	1.184302
99	0.987520	1.169522
100	1.003706	1.173856
101	0.987584	1.159282
102	0.997794	1.156725
103	0.999804	1.156499
104	1.000358	1.156913
105	0.996484	1.152846
106	0.993173	1.144975
107	1.001820	1.147058
108	1.014863	1.164107
109	1.000284	1.164438
110	1.003243	1.168213
111	1.004986	1.174038
112	0.985506	1.157021
113	0.981344	1.135436
114	0.982498	1.115564
115	0.989564	1.103923
116	0.957914	1.057463
117	1.004343	1.062056
118	1.002011	1.064192
119	1.012244	1.077222
120	0.996830	1.073807
121	1.010765	1.085366
122	0.993564	1.078380
123	1.008432	1.087473
124	1.002697	1.090406
125	0.994699	1.084626
126	0.960439	1.041716
127	1.033401	1.076511
128	1.024029	1.102378
129	1.002918	1.105595
130	0.990627	1.095232
131	1.004140	1.099766
132	0.995641	1.094972
133	1.002813	1.098053
134	1.019119	1.119046
135	0.992649	1.110820
136	1.009442	1.121309
137	1.004521	1.126378
138	0.999729	1.126073
139	1.010901	1.138349
