Running strategy olmar2 on dataset nyse-n.
Start Time: 2018-0306-20-32-17-160.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	0.991464	0.991464
2	0.977420	0.969077
3	0.996540	0.965724
4	0.992150	0.958143
5	0.976170	0.935310
6	1.021740	0.955644
7	1.016310	0.971230
8	0.993320	0.964743
9	1.030300	0.993974
10	0.997434	0.991423
11	1.000000	0.991423
12	1.006280	0.997650
13	0.993000	0.990666
14	1.034010	1.024359
15	1.000000	1.024359
16	0.964420	0.987912
17	1.022120	1.009765
18	1.026570	1.036594
19	1.000000	1.036594
20	0.970590	1.006108
21	1.000000	1.006108
22	1.000000	1.006108
23	1.000000	1.006108
24	1.010540	1.016712
25	1.006590	1.023412
26	0.975990	0.998840
27	1.002740	1.001577
28	0.997260	0.998833
29	0.997610	0.996445
30	0.994630	0.991095
31	0.992280	0.983443
32	1.003890	0.987269
33	0.992290	0.979657
34	1.010540	0.989983
35	1.041520	1.031087
36	1.003010	1.034190
37	1.011440	1.046021
38	0.999330	1.045321
39	1.028570	1.075185
40	1.000000	1.075185
41	1.010210	1.086163
42	1.024400	1.112665
43	1.002210	1.115124
44	1.010450	1.126777
45	0.972650	1.095960
46	0.984360	1.078819
47	0.993650	1.071969
48	0.989170	1.060359
49	0.992710	1.052629
50	1.028570	1.082703
51	1.001610	1.084446
52	1.000000	1.084446
53	1.009900	1.095182
54	1.014910	1.111511
55	0.979080	1.088258
56	0.989850	1.077213
57	1.008540	1.086412
58	0.986420	1.071659
59	1.007480	1.079675
60	1.003684	1.083652
61	1.011190	1.095778
62	1.000000	1.095778
63	1.010402	1.107176
64	1.006870	1.114783
65	0.990040	1.103679
66	1.011220	1.116063
67	0.995340	1.110862
68	1.006050	1.117582
69	1.007840	1.126344
70	1.000000	1.126344
71	1.020600	1.149547
72	0.992080	1.140443
73	0.992550	1.131946
74	1.003770	1.136214
75	0.993200	1.128488
76	0.998240	1.126501
77	1.003540	1.130489
78	1.015010	1.147458
79	1.007840	1.156454
80	0.985500	1.139685
81	1.011000	1.152222
82	0.974450	1.122783
83	1.013100	1.137491
84	0.978140	1.112625
85	0.997060	1.109354
86	0.985080	1.092803
87	0.993930	1.086169
88	1.030300	1.119080
89	0.994000	1.112366
90	1.024190	1.139274
91	1.002460	1.142077
92	1.001860	1.144201
93	1.010510	1.156226
94	1.000000	1.156226
95	1.000000	1.156226
96	1.038030	1.200198
97	1.039150	1.247186
98	1.000000	1.247186
99	0.970790	1.210755
100	0.962400	1.165231
101	1.031270	1.201668
102	1.003840	1.206282
103	1.003730	1.210781
104	0.996730	1.206822
105	1.000000	1.206822
106	0.986830	1.190928
107	1.003910	1.195585
108	1.000000	1.195585
109	1.003810	1.200140
110	1.011970	1.214506
111	0.978260	1.188102
112	0.992560	1.179263
113	0.992510	1.170430
114	0.982400	1.149831
115	1.021070	1.174058
116	0.983220	1.154357
117	1.007790	1.163349
118	1.006930	1.171411
119	1.015960	1.190107
120	1.000000	1.190107
121	0.988330	1.176219
122	1.001490	1.177971
123	1.003530	1.182129
124	1.023170	1.209519
125	1.005900	1.216655
126	0.995600	1.211302
127	1.000000	1.211302
128	0.980140	1.187246
129	1.000000	1.187246
130	0.987720	1.172666
131	0.994260	1.165935
132	1.019010	1.188100
133	1.003037	1.191707
134	1.002550	1.194746
135	1.007590	1.203814
136	1.018510	1.226097
137	0.997380	1.222885
138	0.997380	1.219681
139	1.015620	1.238732
140	1.002960	1.242399
141	1.014480	1.260389
142	0.993100	1.251692
143	0.994010	1.244194
144	0.995970	1.239180
145	1.000000	1.239180
146	1.008270	1.249428
147	1.008430	1.259961
148	1.000000	1.259961
149	1.000000	1.259961
150	0.996680	1.255778
151	0.968750	1.216535
152	1.000000	1.216535
153	1.000000	1.216535
154	1.006880	1.224905
155	0.989230	1.211712
156	0.993760	1.204151
157	0.996280	1.199672
158	0.986350	1.183296
159	0.997870	1.180776
160	0.992960	1.172463
161	1.020130	1.196065
162	1.000000	1.196065
163	0.985650	1.178901
164	1.007280	1.187484
165	1.000000	1.187484
166	1.033330	1.227063
167	1.004360	1.232413
168	1.002210	1.235136
169	1.000000	1.235136
170	1.000000	1.235136
171	1.000000	1.235136
172	0.965520	1.192549
173	1.035710	1.235135
174	0.982160	1.213100
175	1.000000	1.213100
176	0.979310	1.188001
177	1.000000	1.188001
178	1.037290	1.232301
179	1.011080	1.245955
180	1.011630	1.260446
181	1.000000	1.260446
182	1.007000	1.269269
183	0.994260	1.261983
184	1.007690	1.271688
185	0.977030	1.242477
186	1.003910	1.247335
187	0.964290	1.202793
188	1.000000	1.202793
189	0.962960	1.158242
190	1.000000	1.158242
191	1.000000	1.158242
192	1.025960	1.188309
193	0.974230	1.157687
194	0.982400	1.137311
195	0.959670	1.091444
196	1.000000	1.091444
197	0.983220	1.073129
198	1.000000	1.073129
199	1.000000	1.073129
200	0.964290	1.034808
201	1.037040	1.073137
202	0.996110	1.068963
203	1.037040	1.108557
204	1.012810	1.122758
205	0.986300	1.107376
206	1.000000	1.107376
207	0.988700	1.094862
208	0.984760	1.078177
209	1.011600	1.090684
210	1.038460	1.132631
211	1.065170	1.206445
212	0.990587	1.195088
213	1.041150	1.244266
214	1.004190	1.249480
215	0.991630	1.239022
216	1.010570	1.252118
217	1.014720	1.270549
218	1.007990	1.280701
219	1.014110	1.298772
220	1.001610	1.300863
221	0.990610	1.288648
222	1.007380	1.298158
223	0.990550	1.285890
224	1.034480	1.330228
225	1.006540	1.338927
226	0.996330	1.334014
227	1.007390	1.343872
228	1.034480	1.390209
229	0.986890	1.371983
230	1.026570	1.408437
231	1.000000	1.408437
232	1.033290	1.455324
233	0.979020	1.424791
234	0.985720	1.404445
235	1.021740	1.434977
236	1.020420	1.464280
237	1.014350	1.485292
238	0.984140	1.461735
239	0.992590	1.450904
240	0.985060	1.429227
