Running strategy olmar2 on dataset nyse-o.
Start Time: 2018-0307-11-45-59-628.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.014899	1.014899
2	1.000000	1.014899
3	1.000000	1.014899
4	1.013250	1.028347
5	1.073770	1.104208
6	1.013610	1.119236
7	1.026850	1.149288
8	1.071430	1.231381
9	1.004850	1.237354
10	0.880950	1.090047
11	1.027030	1.119511
12	0.964290	1.079533
13	0.962960	1.039547
14	1.000000	1.039547
15	1.000000	1.039547
16	1.000000	1.039547
17	1.058820	1.100693
18	0.987730	1.087188
19	1.000000	1.087188
20	1.038540	1.129088
21	1.014490	1.145448
22	1.025250	1.174371
23	1.000000	1.174371
24	0.993010	1.166162
25	0.989440	1.153847
26	1.000000	1.153847
27	0.998320	1.151909
28	1.000000	1.151909
29	1.013420	1.167368
30	1.015630	1.185613
31	1.014490	1.202793
32	0.993950	1.195516
33	1.073530	1.283422
34	0.972220	1.247769
35	1.000000	1.247769
36	1.028900	1.283829
37	1.000000	1.283829
38	0.944710	1.212847
39	1.033080	1.252968
40	1.071430	1.342467
41	1.028900	1.381264
42	0.993460	1.372231
43	1.012900	1.389933
44	1.000000	1.389933
45	1.005870	1.398091
46	1.044780	1.460698
47	1.076920	1.573055
48	1.005990	1.582478
49	1.076920	1.704202
50	0.997660	1.700214
51	1.000000	1.700214
52	1.029410	1.750217
53	0.991740	1.735760
54	1.000000	1.735760
55	1.083330	1.880401
56	1.000000	1.880401
57	0.960450	1.806031
58	0.933330	1.685623
59	1.035710	1.745817
60	0.982610	1.715457
61	1.166670	2.001372
62	1.040460	2.082348
63	0.968750	2.017275
64	1.040000	2.097966
65	0.976090	2.047803
66	1.071430	2.194078
67	0.996640	2.186706
68	0.972220	2.125959
69	0.857140	1.822244
70	1.125000	2.050025
71	0.982760	2.014683
72	1.000000	2.014683
73	1.005680	2.026126
74	1.029410	2.085714
75	1.038460	2.165931
76	0.967740	2.096058
77	1.000000	2.096058
78	0.968940	2.030954
79	1.000000	2.030954
80	1.112960	2.260371
81	0.965520	2.182433
82	1.035710	2.260368
83	1.029410	2.326846
84	1.000000	2.326846
85	1.000000	2.326846
86	1.011360	2.353279
87	1.000000	2.353279
88	1.000000	2.353279
89	1.037040	2.440444
90	1.000000	2.440444
91	1.031550	2.517440
92	1.090910	2.746300
93	1.000000	2.746300
94	1.000000	2.746300
95	1.064588	2.923678
96	1.007520	2.945664
97	1.000000	2.945664
98	1.000000	2.945664
99	1.007090	2.966549
100	1.024190	3.038310
101	0.979020	2.974566
102	1.000000	2.974566
103	1.009090	3.001605
104	1.090910	3.274481
105	1.000000	3.274481
106	1.000000	3.274481
107	1.020830	3.342688
108	0.995830	3.328749
109	0.994190	3.309409
110	1.000000	3.309409
111	1.011616	3.347853
112	1.015960	3.401284
113	0.983870	3.346422
114	1.000000	3.346422
115	0.983610	3.291574
116	1.000000	3.291574
117	1.000000	3.291574
118	0.982460	3.233840
119	0.942860	3.049058
120	1.030300	3.141445
121	1.000000	3.141445
122	1.000000	3.141445
123	0.957550	3.008090
124	1.004930	3.022920
125	1.000000	3.022920
126	1.000000	3.022920
127	1.021280	3.087248
128	1.012660	3.126332
129	1.008700	3.153531
130	1.000000	3.153531
131	1.000000	3.153531
132	1.013250	3.195316
133	1.000527	3.197000
134	1.000000	3.197000
135	1.052630	3.365258
136	1.009900	3.398574
137	1.016810	3.455704
138	1.000000	3.455704
139	0.983466	3.398568
140	1.078950	3.666885
141	1.001433	3.672141
142	0.923080	3.389680
143	1.083330	3.672142
144	1.010370	3.710222
145	0.916670	3.401049
146	1.090910	3.710238
147	1.023810	3.798579
148	0.984620	3.740157
149	1.005210	3.759643
150	0.992650	3.732010
151	1.043480	3.894278
152	1.000000	3.894278
153	1.000000	3.894278
154	1.000000	3.894278
155	1.000000	3.894278
156	1.100000	4.283705
157	1.011050	4.331040
158	1.004730	4.351526
