Running strategy olmar2 on dataset sp500.
Start Time: 2018-0307-00-53-32-059.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.005824	1.005824
2	1.024096	1.030061
3	1.031780	1.062796
4	1.011262	1.074765
5	0.949004	1.019956
6	0.990828	1.010601
7	1.050263	1.061397
8	0.996288	1.057457
9	0.980000	1.036308
10	1.000000	1.036308
11	1.019135	1.056138
12	0.992487	1.048203
13	0.992509	1.040351
14	1.029173	1.070701
15	1.021115	1.093309
16	1.049138	1.147032
17	1.005181	1.152975
18	1.026397	1.183411
19	1.004808	1.189100
20	0.998505	1.187323
21	0.985008	1.169522
22	1.007105	1.177831
23	0.982880	1.157667
24	1.052441	1.218376
25	0.973783	1.186434
26	0.976923	1.159054
27	1.041339	1.206968
28	0.999266	1.206083
29	0.984541	1.187438
30	0.969578	1.151314
31	0.971660	1.118685
32	1.007292	1.126842
33	1.018139	1.147282
34	1.003458	1.151249
35	1.019301	1.173470
36	1.005894	1.180387
37	1.004689	1.185922
38	1.012402	1.200629
39	0.977005	1.173020
40	0.973606	1.142059
41	1.013189	1.157122
42	0.999370	1.156393
43	1.033916	1.195613
44	0.960796	1.148741
45	1.032672	1.186272
46	1.004970	1.192167
47	0.984375	1.173540
48	1.001987	1.175872
49	0.996967	1.172306
50	1.015970	1.191027
51	1.016384	1.210541
52	0.983847	1.190987
53	1.026866	1.222984
54	0.996995	1.219309
55	0.984252	1.200108
56	0.980000	1.176105
57	0.989796	1.164104
58	0.995683	1.159079
59	0.992390	1.150258
60	1.023605	1.177410
61	1.027237	1.209480
62	1.027256	1.242446
63	0.985198	1.224055
64	0.986321	1.207311
65	0.983080	1.186883
66	1.060394	1.258564
67	1.009109	1.270027
68	0.992531	1.260542
69	1.000000	1.260542
70	0.995327	1.254652
71	0.996740	1.250561
72	1.007848	1.260376
73	1.015576	1.280008
74	0.986130	1.262254
75	0.998487	1.260345
76	0.968182	1.220243
77	0.979656	1.195418
78	0.982413	1.174394
79	1.012048	1.188543
80	0.990566	1.177331
81	1.007937	1.186674
82	0.992126	1.177331
83	1.010368	1.189537
84	0.996453	1.185317
85	1.013363	1.201156
86	0.989594	1.188657
87	1.028483	1.222514
88	0.986112	1.205536
89	1.016103	1.224949
90	0.965135	1.182241
91	0.995074	1.176417
92	0.986799	1.160887
93	1.050000	1.218931
94	1.002358	1.221806
95	1.012975	1.237659
96	0.962665	1.191450
97	0.983492	1.171782
98	0.980291	1.148688
99	0.992782	1.140396
100	1.013825	1.156162
101	0.966535	1.117472
102	1.001018	1.118610
103	1.052023	1.176802
104	1.008247	1.186508
105	1.034123	1.226995
106	1.029443	1.263122
107	0.993479	1.254885
108	0.976231	1.225058
109	1.008696	1.235710
110	0.989101	1.222242
111	1.004234	1.227418
112	0.976827	1.198975
113	1.002088	1.201478
114	1.009091	1.212400
115	0.980294	1.188508
116	0.975301	1.159153
117	1.018846	1.180998
118	1.042618	1.231330
119	0.999433	1.230632
120	0.991892	1.220654
121	0.993188	1.212339
122	1.002059	1.214835
123	1.015152	1.233241
124	0.989865	1.220742
125	1.004840	1.226651
126	1.003200	1.230576
127	1.030226	1.267771
128	1.008333	1.278336
129	0.983631	1.257411
130	1.010802	1.270994
131	0.997143	1.267363
132	1.022165	1.295453
133	0.971338	1.258322
134	0.995082	1.252134
135	1.041186	1.303705
136	0.994475	1.296502
137	0.996305	1.291711
138	0.973261	1.257172
139	0.986514	1.240218
140	1.004923	1.246323
141	1.051249	1.310197
142	0.993152	1.301225
143	0.993740	1.293080
144	1.045175	1.351494
145	0.949178	1.282808
146	0.960630	1.232304
147	1.019672	1.256546
148	1.006077	1.264182
149	1.021912	1.291883
150	1.030799	1.331671
151	0.977745	1.302035
152	0.966841	1.258861
153	1.019852	1.283852
154	1.005495	1.290906
155	0.986784	1.273846
156	1.039063	1.323607
157	1.016605	1.345585
158	1.002329	1.348719
159	0.985240	1.328812
160	1.001427	1.330708
161	0.986270	1.312438
162	1.023201	1.342889
163	0.972854	1.306434
164	0.969868	1.267069
165	0.956686	1.212187
166	0.918499	1.113393
167	1.083752	1.206642
168	1.025941	1.237943
169	0.964008	1.193387
170	0.949847	1.133535
171	1.080003	1.224221
172	0.986220	1.207352
173	0.960000	1.159058
174	1.081886	1.253968
175	1.025974	1.286539
176	1.008137	1.297008
177	1.020429	1.323505
178	0.973520	1.288459
179	0.987712	1.272625
180	0.975352	1.241258
181	1.039711	1.290550
182	1.028825	1.327750
183	0.990777	1.315504
184	1.031034	1.356330
185	0.979087	1.327966
186	1.024758	1.360844
187	1.022026	1.390818
188	0.972540	1.352627
189	0.973799	1.317187
190	0.866590	1.141461
191	0.956020	1.091259
192	0.949935	1.036625
193	0.957973	0.993058
194	1.090322	1.082754
195	0.936620	1.014129
196	1.031579	1.046154
197	1.097142	1.147779
198	1.019506	1.170167
199	1.012755	1.185093
200	0.983965	1.166090
201	1.016296	1.185093
202	1.067995	1.265673
203	1.020530	1.291658
204	0.993098	1.282743
205	0.993822	1.274819
206	0.997719	1.271911
207	1.017216	1.293808
208	1.029896	1.332488
209	1.018064	1.356558
210	1.061111	1.439459
211	0.994095	1.430959
212	1.000000	1.430959
213	1.012974	1.449524
214	0.994922	1.442164
215	0.990818	1.428922
216	0.986486	1.409612
217	0.974139	1.373157
218	0.978070	1.343044
219	1.048206	1.407787
220	0.988270	1.391274
221	1.017804	1.416044
222	1.005076	1.423232
223	1.003676	1.428465
224	1.002434	1.431942
225	1.022654	1.464381
226	0.972930	1.424740
227	0.998363	1.422408
228	0.993206	1.412745
229	0.968174	1.367783
230	1.065776	1.457750
231	0.994764	1.450118
232	0.985083	1.428487
233	1.028358	1.468996
234	1.017885	1.495269
235	0.965517	1.443708
236	0.983957	1.420547
237	0.995542	1.414215
238	0.995300	1.407568
239	1.008946	1.420160
240	1.013304	1.439054
241	1.013554	1.458559
242	1.078300	1.572764
243	1.004539	1.579902
244	0.989153	1.562765
245	1.010409	1.579031
246	1.005871	1.588301
247	1.010033	1.604237
248	0.998325	1.601550
249	1.017722	1.629932
250	0.984514	1.604691
251	0.981529	1.575051
252	0.961806	1.514893
253	1.058965	1.604218
254	1.029366	1.651328
255	0.967695	1.597981
256	0.957511	1.530085
257	0.965927	1.477951
258	1.004102	1.484013
259	0.977070	1.449985
260	0.974849	1.413516
261	1.012285	1.430881
262	1.060114	1.516897
263	1.025000	1.554819
264	1.020649	1.586925
265	1.029671	1.634011
266	1.012517	1.654464
267	1.020666	1.688655
268	0.997685	1.684747
269	1.044266	1.759323
270	0.983498	1.730291
271	0.989094	1.711420
272	1.005515	1.720858
273	1.024736	1.763426
274	1.014925	1.789746
