Running strategy olmar2 on dataset tse.
Start Time: 2018-0308-03-41-13-883.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.060610	1.077479
3	1.029410	1.109168
4	1.037040	1.150252
5	1.000000	1.150252
6	1.029410	1.184081
7	0.962963	1.140226
8	0.935897	1.067134
9	1.075340	1.147532
10	0.967857	1.110647
11	0.966790	1.073762
12	1.038170	1.114748
13	0.967742	1.078788
14	1.029170	1.110256
15	0.984498	1.093046
16	0.975610	1.066386
17	1.048390	1.117989
18	0.983193	1.099199
19	1.002155	1.101568
20	0.977528	1.076813
21	1.057470	1.138698
22	1.021430	1.163100
23	0.964436	1.121736
24	0.862745	0.967772
25	1.204540	1.165720
26	0.992278	1.156718
27	1.003140	1.160351
28	1.029410	1.194476
29	1.040000	1.242256
30	1.000000	1.242256
31	1.026820	1.275573
32	1.041100	1.327999
33	1.000000	1.327999
34	0.993631	1.319541
35	0.992620	1.309803
36	1.044300	1.367827
37	1.022220	1.398220
38	1.040720	1.455155
39	1.029919	1.498693
40	1.019610	1.528082
41	1.022730	1.562815
42	0.984615	1.538771
43	1.066670	1.641361
44	1.023650	1.680180
45	0.988235	1.660412
46	1.000000	1.660412
47	0.976363	1.621166
48	1.051280	1.704299
49	1.056700	1.800933
50	0.983051	1.770409
51	1.017240	1.800931
52	1.003440	1.807126
53	1.021740	1.846413
54	1.003520	1.852912
55	0.967949	1.793525
56	0.997530	1.789094
57	0.996139	1.782187
58	0.984496	1.754556
59	1.033900	1.814035
60	1.000000	1.814035
61	0.992965	1.801274
62	1.000000	1.801274
63	1.000000	1.801274
64	0.974684	1.755673
65	1.044440	1.833695
66	1.006347	1.845333
67	1.186440	2.189377
68	1.019610	2.232311
69	1.041670	2.325331
70	1.026397	2.386713
71	0.978261	2.334828
72	1.031750	2.408959
73	1.028170	2.476819
74	0.984375	2.438119
75	1.023530	2.495488
76	0.965517	2.409436
77	0.976191	2.352070
78	0.951220	2.237336
79	1.057268	2.365463
80	1.019610	2.411850
81	1.036360	2.499545
82	0.979508	2.448324
83	1.000000	2.448324
84	1.019230	2.495405
85	1.004590	2.506859
86	1.027400	2.575547
87	1.068970	2.753183
88	0.990000	2.725651
89	0.979798	2.670587
90	0.995569	2.658753
91	1.033710	2.748379
92	1.043960	2.869198
93	1.022990	2.935161
94	1.000000	2.935161
95	0.977778	2.869936
96	1.059920	3.041902
97	0.970588	2.952434
98	1.121950	3.312483
99	0.937500	3.105453
100	0.960000	2.981235
101	1.027780	3.064054
102	1.018520	3.120800
103	1.000000	3.120800
104	1.005630	3.138371
105	1.000000	3.138371
106	0.919831	2.886771
107	1.018350	2.939743
108	0.988095	2.904746
109	1.033170	3.001096
110	1.028570	3.086838
111	0.934272	2.883946
112	1.045230	3.014387
113	1.000000	3.014387
114	1.017700	3.067741
115	0.805000	2.469532
116	0.968944	2.392838
117	1.012820	2.423514
118	1.050630	2.546217
119	0.968750	2.466647
120	1.040540	2.566645
