Running strategy olmar2_o on dataset djia.
Start Time: 2018-0305-20-33-56-103.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.980118	0.982681
3	1.024486	1.006743
4	0.959134	0.965601
5	0.994674	0.960458
6	1.025487	0.984938
7	1.022934	1.007526
8	1.036119	1.043917
9	0.971957	1.014642
10	0.954075	0.968045
11	0.926554	0.896946
12	1.067073	0.957107
13	1.033333	0.989010
14	1.016667	1.005494
15	0.959429	0.964699
16	0.981055	0.946424
17	1.017931	0.963394
18	1.063575	1.024642
19	1.041852	1.067525
20	1.021618	1.090603
21	1.005839	1.096971
22	0.971981	1.066235
23	1.021620	1.089287
24	1.000956	1.090329
25	1.013684	1.105248
26	1.010002	1.116303
27	0.993573	1.109129
28	1.019349	1.130590
29	1.052096	1.189489
30	1.017501	1.210306
31	0.989629	1.197754
32	0.920616	1.102671
33	0.983607	1.084595
34	1.006211	1.091331
35	0.981317	1.070942
36	1.009038	1.080622
37	0.994234	1.074391
38	1.008754	1.083796
39	0.953878	1.033809
40	1.023516	1.058121
41	1.018143	1.077319
42	0.992032	1.068735
43	1.012651	1.082255
44	1.005242	1.087928
45	1.012034	1.101020
46	0.942595	1.037816
47	1.068939	1.109362
48	0.998236	1.107405
49	1.034304	1.145393
50	0.958111	1.097413
