Running strategy olmar2_o on dataset msci.
Start Time: 2018-0306-03-32-05-628.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.013756	1.021852
3	1.004901	1.026861
4	1.017418	1.044746
5	0.979381	1.023205
6	1.001869	1.025117
7	0.996693	1.021727
8	0.997538	1.019212
9	0.998162	1.017339
10	1.000000	1.017339
11	1.015896	1.033511
12	1.012375	1.046301
13	1.006901	1.053522
14	0.975087	1.027275
15	1.016968	1.044705
16	1.002298	1.047105
17	1.003709	1.050989
18	1.013617	1.065300
19	1.005224	1.070865
20	0.997553	1.068245
21	1.001751	1.070116
22	1.007454	1.078092
23	0.997827	1.075749
24	1.010826	1.087395
25	0.978196	1.063685
26	1.002873	1.066741
27	0.994567	1.060946
28	0.995729	1.056414
29	0.992958	1.048975
30	0.996600	1.045408
31	0.996690	1.041948
32	0.996951	1.038771
33	0.997728	1.036411
34	0.991002	1.027085
35	0.991028	1.017870
36	0.961083	0.978257
37	1.035935	1.013411
38	1.006921	1.020424
39	1.004156	1.024665
40	1.000838	1.025523
41	1.031907	1.058245
42	1.007366	1.066039
43	1.008147	1.074725
44	1.002598	1.077517
45	1.014250	1.092871
46	1.005310	1.098674
47	0.969678	1.065360
48	0.996992	1.062155
49	0.962292	1.022103
50	1.027900	1.050619
51	0.993558	1.043851
52	0.954195	0.996038
53	1.003878	0.999901
54	1.062644	1.062538
55	1.007026	1.070003
56	0.997531	1.067361
57	1.005462	1.073192
58	1.002249	1.075605
59	1.006586	1.082689
60	0.996564	1.078969
61	1.009194	1.088889
62	1.012072	1.102034
63	0.996226	1.097876
64	1.004600	1.102925
65	1.022222	1.127435
66	1.008083	1.136548
67	1.017402	1.156327
68	0.989640	1.144347
69	0.996919	1.140822
70	1.011267	1.153675
71	0.995709	1.148724
72	1.000186	1.148938
73	0.998492	1.147206
74	0.961763	1.103340
75	0.994407	1.097170
76	0.977231	1.072188
77	1.009585	1.082465
78	1.003885	1.086671
79	1.000875	1.087621
80	0.992189	1.079126
81	1.013905	1.094131
82	1.031840	1.128968
83	0.999698	1.128627
84	1.020714	1.152005
85	0.993669	1.144712
86	1.009008	1.155023
87	0.992795	1.146701
88	1.020373	1.170063
89	1.007307	1.178613
90	1.018599	1.200533
91	1.001077	1.201827
92	1.014839	1.219660
93	1.008897	1.230512
94	1.000095	1.230630
95	0.994287	1.223599
96	1.005973	1.230908
97	1.014897	1.249245
98	1.007247	1.258298
99	1.018433	1.281492
100	1.003706	1.286241
101	0.987584	1.270272
102	0.997794	1.267470
103	0.999804	1.267222
104	0.999222	1.266237
105	0.996484	1.261785
106	0.993173	1.253170
107	1.012550	1.268897
108	1.014863	1.287757
109	1.011703	1.302827
110	1.003243	1.307052
111	1.004986	1.313569
112	0.995909	1.308195
113	0.981344	1.283790
114	0.977813	1.255307
115	0.989564	1.242207
116	1.002685	1.245542
117	1.004343	1.250951
118	1.001136	1.252372
119	1.011657	1.266971
120	0.996830	1.262955
121	1.010765	1.276550
122	0.993564	1.268333
123	1.014392	1.286588
124	1.007150	1.295786
125	0.994699	1.288917
126	1.008560	1.299951
127	1.033401	1.343370
128	1.024029	1.375651
129	1.002918	1.379664
130	0.990627	1.366732
131	1.004140	1.372390
132	0.995641	1.366408
133	1.002813	1.370252
134	1.022885	1.401611
135	0.992649	1.391308
136	1.009442	1.404445
137	1.012105	1.421446
138	0.999729	1.421061
139	1.010901	1.436552
