Running strategy olmar2_o on dataset msci.
Start Time: 2018-0308-10-56-46-351.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.013756	1.021852
3	1.004901	1.026861
4	1.017418	1.044746
5	0.979381	1.023205
6	1.001869	1.025117
7	0.996693	1.021727
8	0.997538	1.019212
9	0.998162	1.017339
10	1.000000	1.017339
11	1.015896	1.033511
12	1.012375	1.046301
13	1.006901	1.053522
14	0.975087	1.027275
15	1.016968	1.044705
16	1.002298	1.047105
17	1.003709	1.050989
18	1.001776	1.052855
19	1.005224	1.058356
20	0.997553	1.055766
21	1.002453	1.058356
22	1.018817	1.078271
23	0.997827	1.075927
24	1.010826	1.087575
25	0.978196	1.063862
26	1.002873	1.066918
27	0.994567	1.061121
28	0.995729	1.056589
29	0.992958	1.049148
30	0.973754	1.021613
31	0.996690	1.018231
32	0.996951	1.015127
33	0.997728	1.012821
34	0.991002	1.003707
35	0.991028	0.994702
36	0.961083	0.955991
37	1.072927	1.025708
38	1.006921	1.032807
39	1.040158	1.074282
40	1.013287	1.088557
41	1.031907	1.123289
42	1.007366	1.131563
43	1.005046	1.137272
44	1.002598	1.140227
45	1.009118	1.150624
46	1.005310	1.156733
47	0.969678	1.121658
48	0.996992	1.118285
49	0.973150	1.088258
50	1.027900	1.118620
51	0.993558	1.111414
52	0.954195	1.060506
53	1.003878	1.064619
54	1.062644	1.131310
55	1.007026	1.139258
56	0.997531	1.136446
57	1.005462	1.142653
58	0.989996	1.131222
59	0.959029	1.084875
60	0.996564	1.081147
61	0.997591	1.078543
62	1.012072	1.091563
63	0.996226	1.087444
64	1.004600	1.092446
65	1.022222	1.116722
66	1.019399	1.138385
67	1.002947	1.141740
68	0.989640	1.129911
69	0.996919	1.126430
70	1.006820	1.134113
71	0.995709	1.129246
72	0.987891	1.115572
73	1.001039	1.116731
74	0.961763	1.074031
75	0.994407	1.068024
76	0.977231	1.043706
77	1.009585	1.053710
78	1.003885	1.057804
79	1.000875	1.058730
80	1.003933	1.062894
81	0.995149	1.057737
82	1.031840	1.091416
83	0.999698	1.091086
84	1.020714	1.113687
85	0.993669	1.106636
86	1.009008	1.116605
87	0.992795	1.108559
88	1.020373	1.131144
89	1.007307	1.139409
90	1.018599	1.160601
91	1.001077	1.161851
92	1.014839	1.179092
93	1.008897	1.189583
94	1.004579	1.195030
95	0.994287	1.188203
96	0.986343	1.171975
97	1.014897	1.189434
98	1.007247	1.198054
99	1.018433	1.220138
100	1.003706	1.224660
101	0.987584	1.209455
102	0.997794	1.206787
103	0.999804	1.206551
104	0.999222	1.205613
105	0.996484	1.201374
106	0.993173	1.193172
107	1.001820	1.195343
108	1.014863	1.213109
109	1.013469	1.229448
110	1.003243	1.233435
111	1.004986	1.239585
112	0.985506	1.221618
113	0.981344	1.198828
114	0.982498	1.177847
115	0.997031	1.174350
116	0.957914	1.124926
117	1.004343	1.129812
118	1.002011	1.132084
119	1.012244	1.145945
120	0.996830	1.142313
121	0.997046	1.138938
122	0.993564	1.131608
123	0.989713	1.119967
124	1.007150	1.127974
125	0.994699	1.121995
126	1.008560	1.131599
127	1.033401	1.169396
128	1.024029	1.197496
129	1.002918	1.200989
130	0.998219	1.198851
131	1.004140	1.203813
132	0.995641	1.198566
133	1.002813	1.201938
134	1.022885	1.229445
135	0.992649	1.220407
136	1.009442	1.231931
137	1.004521	1.237500
138	0.999729	1.237165
139	1.010901	1.250652
