Running strategy olmar2_o on dataset nyse-n.
Start Time: 2018-0306-20-32-18-142.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	0.991464	0.991464
2	0.977420	0.969077
3	0.996540	0.965724
4	0.992150	0.958143
5	0.976170	0.935310
6	1.021740	0.955644
7	1.016310	0.971230
8	0.993320	0.964743
9	1.030300	0.993974
10	0.997434	0.991423
11	1.000000	0.991423
12	1.006280	0.997650
13	0.981590	0.979283
14	1.034010	1.012588
15	1.000000	1.012588
16	0.964420	0.976560
17	1.022120	0.998162
18	1.026570	1.024683
19	1.000000	1.024683
20	0.970590	0.994547
21	1.000000	0.994547
22	1.000000	0.994547
23	1.030300	1.024682
24	1.010540	1.035482
25	1.006590	1.042306
26	0.975990	1.017280
27	1.002740	1.020068
28	0.997260	1.017273
29	0.991770	1.008900
30	0.994630	1.003483
31	0.992280	0.995736
32	1.003890	0.999609
33	0.990500	0.990113
34	1.010540	1.000549
35	1.041520	1.042091
36	1.003010	1.045228
37	0.996650	1.041727
38	1.037190	1.080468
39	1.028570	1.111337
40	0.970210	1.078231
41	1.010210	1.089239
42	1.024400	1.115817
43	0.997430	1.112949
44	1.010450	1.124579
45	0.972650	1.093822
46	0.984360	1.076715
47	0.993650	1.069878
48	0.996810	1.066465
49	0.992710	1.058690
50	1.028570	1.088937
51	1.001610	1.090690
52	1.028570	1.121851
53	1.009900	1.132958
54	1.014910	1.149850
55	0.979080	1.125795
56	0.989850	1.114368
57	1.008540	1.123885
58	0.986420	1.108623
59	1.007480	1.116915
60	1.000000	1.116915
61	1.006830	1.124544
62	1.009080	1.134755
63	1.010270	1.146408
64	1.006870	1.154284
65	0.990040	1.142788
66	1.011220	1.155610
67	0.995340	1.150225
68	1.006050	1.157183
69	1.007840	1.166256
70	1.000000	1.166256
71	1.020600	1.190281
72	0.992080	1.180854
73	0.992550	1.172056
74	1.003770	1.176475
75	0.993200	1.168475
76	0.998240	1.166418
77	1.003540	1.170547
78	1.015010	1.188117
79	0.985710	1.171139
80	0.985500	1.154158
81	1.000000	1.154158
82	0.974450	1.124669
83	1.013100	1.139402
84	0.978140	1.114495
85	0.994160	1.107986
86	1.001960	1.110158
87	0.993930	1.103419
88	1.030300	1.136853
89	0.994000	1.130032
90	0.990270	1.119036
91	1.002460	1.121789
92	1.001860	1.123876
93	1.010510	1.135688
94	1.000000	1.135688
95	1.000000	1.135688
96	1.038030	1.178878
97	1.039150	1.225031
98	1.000000	1.225031
99	0.970790	1.189248
100	0.962400	1.144532
101	1.031270	1.180322
102	1.000000	1.180322
103	1.003725	1.184718
104	0.996730	1.180844
105	1.000000	1.180844
106	0.986830	1.165293
107	1.013042	1.180490
108	1.000000	1.180490
109	1.003810	1.184988
110	1.011970	1.199172
111	0.978260	1.173102
112	0.992560	1.164375
113	0.992510	1.155653
114	0.982400	1.135314
115	1.021070	1.159235
116	0.983220	1.139783
117	1.007790	1.148662
118	0.995284	1.143245
119	1.015960	1.161491
120	1.008030	1.170817
121	0.990165	1.159302
122	1.001490	1.161030
123	1.003530	1.165128
124	1.023170	1.192124
125	1.005900	1.199158
126	0.995600	1.193881
127	1.000000	1.193881
128	0.980140	1.170171
129	1.000000	1.170171
130	0.987720	1.155801
131	0.994260	1.149167
132	1.019010	1.171012
133	1.006550	1.178683
134	1.002550	1.181688
135	1.007590	1.190657
136	1.018510	1.212696
137	1.006760	1.220894
138	1.010726	1.233989
139	1.015620	1.253264
140	1.002960	1.256974
141	0.982950	1.235542
142	0.993100	1.227017
143	0.994010	1.219667
144	0.995970	1.214752
145	1.000000	1.214752
146	1.008270	1.224798
147	1.008430	1.235123
148	1.000000	1.235123
149	0.993170	1.226687
150	0.996680	1.222614
151	0.968750	1.184408
152	1.000000	1.184408
153	1.000000	1.184408
154	1.000000	1.184408
155	0.996872	1.180703
156	0.993760	1.173335
157	0.997910	1.170883
158	1.002100	1.173342
159	1.000000	1.173342
160	0.992960	1.165081
161	1.020130	1.188534
162	1.000000	1.188534
163	0.985650	1.171479
164	1.007280	1.180007
165	1.000000	1.180007
166	1.033330	1.219337
167	1.004290	1.224568
168	1.002210	1.227274
169	1.000000	1.227274
170	1.000000	1.227274
171	1.000000	1.227274
172	0.965520	1.184958
173	1.035710	1.227272
174	0.982160	1.205378
175	1.000000	1.205378
176	0.979310	1.180439
177	1.000000	1.180439
178	1.037290	1.224457
179	1.011080	1.238024
180	1.011630	1.252422
181	1.000000	1.252422
182	1.007000	1.261189
183	0.994260	1.253950
184	1.007690	1.263593
185	0.977030	1.234568
186	1.003910	1.239395
187	0.964290	1.195137
188	1.000000	1.195137
189	0.962960	1.150869
190	1.000000	1.150869
191	1.000000	1.150869
192	1.025960	1.180745
193	0.978440	1.155288
194	0.982400	1.134955
195	0.959670	1.089183
196	1.000000	1.089183
197	0.983220	1.070906
198	1.005713	1.077024
199	1.000000	1.077024
200	0.964290	1.038564
201	1.037040	1.077032
202	0.996110	1.072843
203	1.037040	1.112581
204	1.012810	1.126833
205	1.000000	1.126833
206	1.000000	1.126833
207	0.988700	1.114100
208	0.984760	1.097121
209	1.015253	1.113855
210	1.038460	1.156694
211	1.065170	1.232075
212	1.000000	1.232075
213	1.041150	1.282775
214	1.004190	1.288150
215	0.993218	1.279414
216	1.010570	1.292937
217	1.006280	1.301057
218	1.007990	1.311452
219	1.012500	1.327845
220	1.026130	1.362542
221	0.990610	1.349748
222	1.012480	1.366592
223	0.990550	1.353678
224	0.992348	1.343319
225	0.992670	1.333473
226	0.996330	1.328579
227	1.007390	1.338397
228	1.034480	1.384545
229	0.986890	1.366394
230	1.026570	1.402699
231	0.997126	1.398667
232	1.033290	1.445229
233	0.979020	1.414908
234	0.985720	1.394703
235	1.021740	1.425024
236	0.989350	1.409847
237	1.014350	1.430079
238	0.954070	1.364395
239	0.992590	1.354285
240	0.985060	1.334052
