Running strategy olmar2_o on dataset nyse-o.
Start Time: 2018-0307-11-46-00-647.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.014899	1.014899
2	1.000000	1.014899
3	1.000000	1.014899
4	1.013250	1.028347
5	1.073770	1.104208
6	1.013610	1.119236
7	1.026850	1.149288
8	1.071430	1.231381
9	1.004850	1.237354
10	0.880950	1.090047
11	1.027030	1.119511
12	1.000000	1.119511
13	0.962960	1.078044
14	1.000000	1.078044
15	1.000000	1.078044
16	1.000000	1.078044
17	1.058820	1.141454
18	0.987730	1.127449
19	1.006210	1.134450
20	1.038540	1.178172
21	1.000000	1.178172
22	1.025250	1.207921
23	1.000000	1.207921
24	0.993010	1.199477
25	1.006580	1.207370
26	1.000000	1.207370
27	0.985660	1.190056
28	1.000000	1.190056
29	1.013420	1.206027
30	1.015630	1.224877
31	1.014490	1.242626
32	1.000000	1.242626
33	1.066085	1.324745
34	0.972220	1.287944
35	1.000000	1.287944
36	1.026740	1.322383
37	0.957140	1.265706
38	0.944710	1.195725
39	1.033080	1.235280
40	1.071430	1.323516
41	1.028900	1.361765
42	1.012200	1.378379
43	1.012900	1.396160
44	1.000000	1.396160
45	1.035710	1.446017
46	1.035290	1.497047
47	1.076920	1.612199
48	1.000000	1.612199
49	1.076920	1.736210
50	1.000000	1.736210
51	1.000000	1.736210
52	1.029410	1.787272
53	0.991740	1.772509
54	1.000000	1.772509
55	1.083330	1.920212
56	1.000000	1.920212
57	0.993270	1.907289
58	0.933330	1.780130
59	1.035710	1.843698
60	0.991380	1.827806
61	1.166670	2.132446
62	1.005843	2.144907
63	0.980820	2.103767
64	1.040000	2.187918
65	0.976090	2.135605
66	1.071430	2.288151
67	1.000000	2.288151
68	0.972220	2.224586
69	0.857140	1.906782
70	1.125000	2.145130
71	0.982760	2.108148
72	1.017540	2.145124
73	0.957750	2.054493
74	1.029410	2.114916
75	1.038460	2.196255
76	0.967740	2.125404
77	1.000000	2.125404
78	0.968940	2.059389
79	1.000000	2.059389
80	1.000000	2.059389
81	0.965520	1.988381
82	1.035710	2.059386
83	1.029410	2.119953
84	1.000000	2.119953
85	1.000000	2.119953
86	1.011360	2.144036
87	1.000000	2.144036
88	1.000000	2.144036
89	1.060610	2.273986
90	1.000000	2.273986
91	1.031550	2.345730
92	1.010420	2.370172
93	1.000000	2.370172
94	1.000000	2.370172
95	1.090910	2.585645
96	1.007520	2.605089
97	1.000000	2.605089
98	1.000000	2.605089
99	1.022730	2.664302
100	1.000000	2.664302
101	0.995370	2.651967
102	1.000000	2.651967
103	1.014737	2.691049
104	1.064520	2.864676
105	1.000000	2.864676
106	1.000000	2.864676
107	1.020830	2.924347
108	0.995830	2.912152
109	0.993029	2.891852
110	1.000000	2.891852
111	1.090910	3.154750
112	1.015960	3.205100
113	0.983870	3.153402
114	1.000000	3.153402
115	1.030164	3.248520
116	1.000000	3.248520
117	1.000000	3.248520
118	1.000000	3.248520
119	0.982140	3.190501
120	1.030300	3.287173
121	1.000000	3.287173
122	1.000000	3.287173
123	1.030300	3.386775
124	1.004930	3.403472
125	1.012973	3.447626
126	1.000000	3.447626
127	1.021280	3.520991
128	1.012660	3.565567
129	1.008700	3.596587
130	1.000000	3.596587
131	1.000000	3.596587
132	1.000000	3.596587
133	1.013800	3.646220
134	1.000000	3.646220
135	1.016130	3.705034
136	0.995856	3.689679
137	1.016810	3.751703
138	1.000000	3.751703
139	0.997200	3.741198
140	1.078950	4.036565
141	1.004550	4.054932
142	0.923080	3.743026
143	1.083330	4.054933
144	1.010370	4.096982
145	0.916670	3.755581
146	1.090910	4.097001
147	1.017360	4.168125
148	0.984620	4.104019
149	0.985510	4.044552
150	0.992650	4.014824
151	1.043480	4.189389
152	1.000000	4.189389
153	0.972970	4.076150
154	1.000000	4.076150
155	0.944440	3.849679
156	1.100000	4.234647
157	1.000000	4.234647
158	1.090910	4.619618
