Running strategy olmar2_o on dataset sp500.
Start Time: 2018-0307-00-53-32-244.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.005824	1.005824
2	1.024096	1.030061
3	1.031780	1.062796
4	1.011262	1.074765
5	0.949004	1.019956
6	0.990828	1.010601
7	1.050263	1.061397
8	0.996288	1.057457
9	0.980000	1.036308
10	1.000000	1.036308
11	1.019135	1.056138
12	1.003082	1.059392
13	0.992509	1.051457
14	1.029173	1.082131
15	0.980467	1.060994
16	1.049138	1.113129
17	1.005181	1.118897
18	1.012243	1.132596
19	1.004808	1.138041
20	0.998505	1.136340
21	0.985008	1.119303
22	1.007105	1.127256
23	0.982880	1.107957
24	1.022541	1.132932
25	1.000000	1.132932
26	0.976923	1.106787
27	1.041339	1.152540
28	1.030451	1.187636
29	0.986028	1.171043
30	1.009698	1.182400
31	0.971660	1.148890
32	1.007292	1.157268
33	1.019648	1.180006
34	1.009899	1.191687
35	1.007222	1.200292
36	1.010484	1.212876
37	1.010958	1.226166
38	1.009740	1.238109
39	0.993038	1.229489
40	1.019677	1.253682
41	1.013189	1.270217
42	0.999370	1.269416
43	1.033916	1.312470
44	0.960796	1.261017
45	1.005830	1.268368
46	1.004970	1.274671
47	1.006590	1.283071
48	1.001987	1.285621
49	0.996967	1.281722
50	1.015970	1.302191
51	1.015047	1.321784
52	1.009533	1.334385
53	0.993799	1.326110
54	0.996995	1.322125
55	0.984252	1.301304
56	0.980000	1.275278
57	0.989796	1.262265
58	0.992784	1.253156
59	0.967809	1.212816
60	1.023605	1.241444
61	1.027237	1.275258
62	1.021374	1.302515
63	0.985198	1.283235
64	0.986321	1.265682
65	0.983080	1.244266
66	1.060394	1.319412
67	1.009109	1.331430
68	0.992531	1.321486
69	1.000000	1.321486
70	0.986219	1.303275
71	0.977798	1.274340
72	1.007848	1.284341
73	1.013499	1.301679
74	1.001198	1.303239
75	0.998487	1.301267
76	0.991196	1.289811
77	0.979656	1.263570
78	0.982413	1.241348
79	1.012048	1.256304
80	0.990566	1.244452
81	1.007937	1.254328
82	1.000000	1.254328
83	1.010368	1.267333
84	1.001587	1.269344
85	1.013363	1.286307
86	0.992392	1.276521
87	1.028483	1.312880
88	1.008753	1.324371
89	1.016103	1.345698
90	0.965135	1.298780
91	0.995074	1.292382
92	0.968750	1.251995
93	1.050000	1.314595
94	1.002358	1.317695
95	0.967794	1.275257
96	0.962665	1.227645
97	0.983492	1.207380
98	0.980291	1.183583
99	1.026062	1.214430
100	1.013825	1.231219
101	0.966535	1.190017
102	1.001018	1.191229
103	1.040328	1.239268
104	0.952168	1.179991
105	1.034123	1.220256
106	1.023828	1.249333
107	0.992838	1.240385
108	0.976231	1.210902
109	1.008696	1.221432
110	0.979310	1.196161
111	0.987676	1.181419
112	0.976827	1.154043
113	1.003650	1.158254
114	1.009091	1.168784
115	0.980294	1.145752
116	0.975301	1.117452
117	1.004158	1.122099
118	1.042618	1.169920
119	0.999433	1.169257
120	0.991892	1.159777
121	0.993188	1.151876
122	1.002059	1.154248
123	0.999314	1.153456
124	0.989865	1.141766
125	1.005974	1.148587
126	0.982187	1.128127
127	1.030226	1.162226
128	1.008333	1.171911
129	0.991446	1.161886
130	1.010569	1.174166
131	0.999132	1.173147
132	1.022165	1.199149
133	0.971338	1.164778
134	0.995082	1.159050
135	1.041186	1.206787
136	1.008322	1.216829
137	0.996305	1.212333
138	0.973261	1.179916
139	0.986514	1.164004
140	1.018733	1.185810
141	1.015037	1.203641
142	0.995501	1.198227
143	0.993740	1.190726
144	1.045175	1.244517
145	0.949178	1.181268
146	0.960630	1.134761
147	1.019672	1.157084
148	1.015168	1.174635
149	1.021912	1.200374
150	1.030799	1.237344
151	1.006129	1.244927
152	0.966841	1.203647
153	1.019852	1.227542
154	1.005495	1.234286
155	0.986784	1.217975
156	1.039063	1.265553
157	1.016605	1.286568
158	0.992022	1.276303
159	0.985240	1.257464
160	1.001427	1.259259
161	0.986270	1.241970
162	1.023201	1.270785
163	0.972854	1.236288
164	0.969868	1.199036
165	0.956686	1.147101
166	0.918499	1.053612
167	1.083752	1.141854
168	1.025941	1.171475
169	0.964008	1.129311
170	0.949847	1.072672
171	1.080003	1.158489
172	0.986220	1.142526
173	0.960000	1.096825
174	1.081886	1.186639
175	1.025974	1.217461
176	0.995657	1.212174
177	1.033333	1.252580
178	0.982095	1.230152
179	0.987712	1.215036
180	0.975352	1.185088
181	0.952482	1.128774
182	1.028825	1.161311
183	0.977371	1.135031
184	0.991180	1.125020
185	1.018910	1.146294
186	1.024758	1.174674
187	1.022026	1.200548
188	0.972540	1.167581
189	0.973799	1.136989
190	0.866590	0.985304
191	0.956020	0.941969
192	0.949935	0.894809
193	0.957973	0.857203
194	1.087886	0.932539
195	0.936620	0.873435
196	1.031579	0.901017
197	1.097142	0.988543
198	1.019506	1.007825
199	1.012755	1.020680
200	0.983965	1.004314
201	1.019704	1.024103
202	1.067995	1.093737
203	1.020530	1.116192
204	0.993098	1.108488
205	0.993822	1.101641
206	0.997719	1.099127
207	1.017216	1.118050
208	1.015172	1.135013
209	1.018064	1.155516
210	1.061111	1.226131
211	1.060543	1.300364
212	1.000000	1.300364
213	1.019829	1.326149
214	1.000380	1.326653
215	0.990818	1.314472
216	1.016484	1.336139
217	0.974139	1.301584
218	0.978070	1.273041
219	0.924119	1.176442
220	0.988270	1.162642
221	0.972039	1.130134
222	1.005076	1.135870
223	1.003971	1.140381
224	1.020811	1.164114
225	0.984326	1.145868
226	0.972930	1.114849
227	1.005762	1.121273
228	0.993206	1.113655
229	0.969200	1.079355
230	1.065776	1.150350
231	0.994764	1.144327
232	0.984099	1.126131
233	1.028358	1.158066
234	1.000000	1.158066
235	0.965517	1.118133
236	0.969741	1.084299
237	0.962566	1.043710
238	0.995300	1.038804
239	1.008946	1.048097
240	1.013304	1.062041
241	1.013554	1.076436
242	1.078300	1.160721
243	1.004539	1.165989
244	0.996973	1.162459
245	1.010409	1.174559
246	1.000627	1.175295
247	1.010033	1.187088
248	0.998325	1.185099
249	1.017722	1.206101
250	0.984514	1.187423
251	0.939130	1.115145
252	0.961806	1.072553
253	1.058965	1.135796
254	0.991988	1.126696
255	0.967695	1.090298
256	0.957511	1.043973
257	0.965927	1.008401
258	1.010009	1.018495
259	0.977070	0.995141
260	0.974849	0.970112
261	1.012285	0.982029
262	1.089412	1.069834
263	1.025000	1.096580
264	1.020649	1.119224
265	0.988832	1.106725
266	1.012517	1.120578
267	1.037186	1.162248
268	0.977312	1.135879
269	1.044266	1.186160
270	0.983498	1.166586
271	0.984531	1.148541
272	1.021311	1.173018
273	0.995151	1.167330
274	0.953541	1.113096
