Running strategy olmar2_o on dataset tse.
Start Time: 2018-0309-11-21-21-551.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.060610	1.077479
3	1.029410	1.109168
4	1.037040	1.150252
5	0.996324	1.146023
6	1.029410	1.179728
7	0.949592	1.120261
8	1.060610	1.188160
9	1.075340	1.277676
10	0.967857	1.236607
11	1.037785	1.283332
12	1.038170	1.332317
13	0.967742	1.289339
14	1.025692	1.322465
15	0.984496	1.301961
16	0.975610	1.270207
17	1.048390	1.331672
18	0.983193	1.309291
19	1.006402	1.317673
20	0.977528	1.288062
21	1.057470	1.362087
22	1.027400	1.399408
23	0.995951	1.393742
24	0.963636	1.343060
25	1.204540	1.617770
26	0.992278	1.605277
27	1.003140	1.610318
28	1.029410	1.657677
29	1.040000	1.723984
30	1.000000	1.723984
31	1.026820	1.770222
32	1.041100	1.842978
33	1.000000	1.842978
34	0.993631	1.831240
35	0.992620	1.817725
36	1.044300	1.898251
37	1.022220	1.940430
38	1.023661	1.986342
39	1.009218	2.004652
40	1.019610	2.043964
41	1.022730	2.090423
42	0.984615	2.058262
43	1.066670	2.195486
44	1.048190	2.301287
45	0.988235	2.274212
46	1.000000	2.274212
47	1.018180	2.315557
48	1.016670	2.354158
49	1.056700	2.487638
50	0.983051	2.445475
51	1.017240	2.487635
52	1.003440	2.496193
53	1.021740	2.550460
54	1.003520	2.559438
55	0.967949	2.477405
56	1.040000	2.576501
57	0.996139	2.566553
58	0.984496	2.526762
59	1.033900	2.612419
60	1.000000	2.612419
61	0.961538	2.511940
62	1.000000	2.511940
63	1.067800	2.682249
64	0.972911	2.609589
65	1.044440	2.725560
66	1.005160	2.739623
67	1.186440	3.250399
68	1.012350	3.290541
69	1.041670	3.427658
70	1.068970	3.664064
71	0.984615	3.607692
72	1.031750	3.722236
73	1.010106	3.759854
74	0.984375	3.701106
75	1.023530	3.788193
76	0.965517	3.657565
77	0.976191	3.570482
78	0.951220	3.396314
79	1.064100	3.614017
80	0.975904	3.526934
81	1.000000	3.526934
82	1.024690	3.614014
83	0.945454	3.416884
84	1.019230	3.482591
85	1.004590	3.498576
86	1.027400	3.594437
87	1.068970	3.842345
88	0.990000	3.803922
89	0.976493	3.714502
90	1.031650	3.832066
91	1.033710	3.961245
92	1.043960	4.135382
93	1.022990	4.230454
94	1.000000	4.230454
95	0.977778	4.136445
96	1.048240	4.335987
97	0.970588	4.208457
98	1.121950	4.721679
99	0.940546	4.440955
100	0.960000	4.263317
101	1.027780	4.381752
102	1.189190	5.210735
103	1.000000	5.210735
104	1.052477	5.484178
105	1.023530	5.613221
106	0.919831	5.163214
107	1.018350	5.257959
108	0.988095	5.195363
109	1.033170	5.367693
110	1.028570	5.521048
111	0.934272	5.158161
112	1.045230	5.391465
113	1.000000	5.391465
114	1.017700	5.486893
115	0.971831	5.332333
116	0.968944	5.166732
117	1.032260	5.333411
118	0.937625	5.000738
119	0.968750	4.844465
120	1.040540	5.040859
