Running strategy olmar2_o_ on dataset djia.
Start Time: 2018-0725-22-43-05-951.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.980118	0.982681
3	1.024486	1.006743
4	0.959134	0.965601
5	0.994674	0.960458
6	0.992986	0.953721
7	1.009546	0.962825
8	1.054274	1.015081
9	0.984395	0.999241
10	1.020408	1.019633
11	0.990000	1.009437
12	1.006674	1.016174
13	0.975452	0.991229
14	0.981631	0.973021
15	1.019835	0.992322
16	0.986239	0.978666
17	1.009302	0.987770
18	1.024885	1.012350
19	0.965827	0.977755
20	1.012104	0.989590
21	1.030359	1.019633
22	1.022500	1.042575
23	1.015019	1.058234
24	0.966105	1.022364
25	0.985396	1.007434
26	0.984095	0.991411
27	1.012856	1.004157
28	1.007797	1.011986
29	0.979849	0.991593
30	1.014322	1.005795
31	0.979725	0.985403
32	0.989468	0.975024
33	0.978053	0.953626
34	0.976801	0.931503
35	0.981317	0.914100
36	1.012500	0.925526
37	0.994234	0.920190
38	0.997171	0.917586
39	1.061562	0.974075
40	1.014567	0.988264
41	1.007322	0.995500
42	0.984179	0.979750
43	0.992324	0.972230
44	1.005242	0.977326
45	1.012034	0.989087
46	0.961728	0.951233
47	1.064726	1.012803
48	0.962586	0.974909
49	0.996556	0.971552
50	0.975068	0.947329
51	1.026797	0.972715
52	0.967042	0.940655
53	1.037759	0.976174
54	0.991712	0.968083
55	1.056539	1.022817
56	1.035573	1.059202
57	1.045749	1.107659
58	1.036272	1.147836
59	0.986789	1.132672
60	1.022041	1.157637
61	0.982267	1.137110
62	0.968992	1.101850
63	0.905200	0.997395
64	1.132567	1.129617
65	0.921966	1.041469
66	0.981803	1.022517
67	1.067672	1.091713
68	1.004770	1.096921
69	0.999515	1.096388
70	1.019670	1.117954
71	0.990114	1.106902
72	1.000523	1.107481
73	0.990656	1.097133
74	0.940463	1.031812
75	1.008694	1.040783
76	0.961082	1.000278
77	1.078027	1.078326
78	0.957177	1.032149
79	1.015748	1.048403
80	1.009386	1.058244
81	1.015632	1.074786
82	1.023432	1.099970
83	0.995376	1.094884
84	1.015789	1.112171
85	0.998136	1.110098
86	0.998655	1.108605
87	1.007264	1.116658
88	0.969262	1.082333
89	0.963116	1.042413
90	0.981031	1.022639
91	0.992339	1.014804
92	1.042647	1.058083
93	1.002130	1.060336
94	1.018764	1.080233
95	1.010281	1.091338
96	0.983473	1.073301
97	0.999541	1.072809
98	0.997023	1.069615
99	0.996723	1.066109
100	1.003158	1.069476
101	0.996699	1.065946
102	1.015414	1.082376
103	0.999391	1.081717
104	1.015022	1.097967
105	1.006158	1.104728
106	1.009275	1.114975
107	0.974167	1.086172
108	0.995054	1.080799
109	0.972909	1.051519
110	0.960663	1.010156
111	0.972165	0.982038
112	0.877899	0.862130
113	1.043127	0.899310
114	1.033592	0.929520
115	0.995536	0.925370
116	0.988835	0.915038
117	0.992171	0.907874
118	0.987013	0.896084
119	0.995575	0.892119
120	1.010446	0.901438
121	0.993637	0.895702
122	1.026490	0.919430
123	0.987959	0.908359
124	0.977364	0.887797
125	0.998159	0.886162
126	0.985198	0.873045
127	0.960310	0.838394
128	1.011751	0.848246
129	0.973644	0.825890
130	1.012186	0.835954
131	1.023109	0.855272
132	1.008197	0.862282
133	0.975772	0.841391
134	1.021640	0.859599
135	0.984998	0.846703
136	1.005183	0.851092
137	1.016346	0.865004
138	0.995556	0.861160
139	0.988523	0.851276
140	1.017491	0.866166
141	1.004903	0.870412
142	1.012917	0.881655
143	1.002265	0.883652
144	1.014229	0.896225
145	1.004230	0.900016
146	1.010272	0.909261
147	1.013033	0.921111
148	0.968187	0.891808
149	1.033341	0.921542
150	0.973813	0.897410
151	1.006002	0.902797
152	1.015990	0.917233
153	1.002356	0.919394
154	0.989046	0.909323
155	0.988040	0.898447
156	1.022468	0.918634
157	0.960461	0.882313
158	1.013251	0.894004
159	0.994643	0.889215
160	1.026930	0.913162
161	0.974613	0.889979
162	1.049560	0.934086
163	0.994736	0.929169
164	0.995237	0.924744
165	0.991933	0.917284
166	0.945182	0.867000
167	1.001932	0.868675
168	0.983348	0.854210
169	0.967039	0.826054
170	0.972512	0.803348
171	1.020916	0.820150
172	0.990033	0.811976
173	0.894855	0.726600
174	1.033053	0.750617
175	0.976588	0.733043
176	0.990786	0.726289
177	1.027931	0.746575
178	1.017966	0.759988
179	1.037504	0.788490
180	1.002001	0.790068
181	0.963462	0.761200
182	1.053892	0.802222
183	0.978271	0.784791
184	1.057099	0.829602
185	1.086489	0.901353
186	0.997069	0.898712
187	1.027906	0.923791
188	0.987406	0.912156
189	1.051564	0.959190
190	1.017412	0.975892
191	1.011745	0.987354
192	0.969265	0.957007
193	0.993658	0.950938
194	1.000000	0.950938
195	0.995160	0.946335
196	0.975074	0.922747
197	0.991620	0.915014
198	1.030986	0.943367
199	0.936715	0.883666
200	1.011088	0.893464
201	1.018886	0.910339
202	1.000625	0.910908
203	0.985009	0.897252
204	0.978667	0.878111
205	0.919784	0.807673
206	1.048103	0.846524
207	1.041888	0.881984
208	1.055984	0.931361
209	1.002031	0.933252
210	0.984533	0.918818
211	1.020585	0.937732
212	1.011010	0.948057
213	0.994585	0.942923
214	1.038663	0.979379
215	1.001070	0.980426
216	0.960982	0.942172
217	1.009411	0.951039
218	1.032297	0.981755
219	1.025669	1.006955
220	1.028715	1.035869
221	1.021463	1.058103
222	0.984648	1.041859
223	0.998427	1.040220
224	1.010381	1.051018
225	1.005023	1.056297
226	0.996067	1.052143
227	0.958961	1.008964
228	1.011647	1.020715
229	1.005355	1.026181
230	0.983569	1.009320
231	1.017604	1.027087
232	0.985851	1.012555
233	0.985207	0.997577
234	0.964086	0.961749
235	0.990089	0.952217
236	1.020678	0.971908
237	1.016720	0.988158
238	1.015906	1.003875
239	1.009268	1.013180
240	0.986998	1.000006
241	0.979668	0.979674
242	1.006723	0.986261
243	1.001310	0.987552
244	1.009864	0.997294
245	1.011686	1.008949
246	0.999576	1.008521
247	0.995923	1.004409
248	1.017060	1.021544
249	0.991035	1.012386
250	0.967117	0.979096
251	0.989583	0.968897
252	1.005859	0.974573
253	1.022477	0.996479
254	0.993036	0.989539
255	0.988628	0.978286
256	0.970032	0.948968
257	0.944715	0.896505
258	1.002065	0.898356
259	1.008245	0.905763
260	0.995823	0.901980
261	1.023659	0.923320
262	1.007600	0.930337
263	1.005151	0.935129
264	0.991346	0.927036
265	0.945149	0.876187
266	1.031513	0.903798
267	1.029946	0.930863
268	0.970982	0.903851
269	0.950249	0.858883
270	0.949607	0.815602
271	1.014473	0.827406
272	1.019231	0.843318
273	0.993797	0.838086
274	1.024534	0.858648
275	0.993774	0.853302
276	1.011576	0.863179
277	0.998678	0.862038
278	0.945687	0.815218
279	0.958108	0.781067
280	1.044429	0.815769
281	0.970496	0.791701
282	1.001696	0.793043
283	1.050457	0.833058
284	0.988301	0.823312
285	0.995670	0.819747
286	0.955169	0.782997
287	1.085114	0.849641
288	1.025984	0.871718
289	0.951904	0.829791
290	1.025263	0.850755
291	0.993840	0.845514
292	1.011157	0.854947
293	1.001626	0.856337
294	1.000414	0.856692
295	1.003102	0.859350
296	0.988194	0.849204
297	0.983488	0.835182
298	1.009969	0.843508
299	0.993706	0.838199
300	0.994180	0.833321
301	1.017042	0.847522
302	1.011215	0.857027
303	1.000000	0.857027
304	1.007289	0.863275
305	0.982835	0.848456
306	1.010704	0.857539
307	0.996656	0.854670
308	0.989422	0.845630
309	0.983072	0.831315
310	1.002130	0.833086
311	0.989725	0.824526
312	0.898817	0.741099
313	1.003775	0.743897
314	1.014475	0.754664
315	0.945849	0.713798
316	1.016748	0.725753
317	0.997079	0.723633
318	1.039246	0.752033
319	0.983875	0.739906
320	0.963192	0.712672
321	0.978261	0.697179
322	1.009123	0.703539
323	1.007273	0.708656
324	0.995986	0.705811
325	1.011053	0.713612
326	0.998858	0.712797
327	1.014369	0.723039
328	1.006950	0.728065
329	1.003666	0.730734
330	1.010664	0.738526
331	0.967780	0.714731
332	0.970633	0.693741
333	1.006579	0.698305
334	1.007944	0.703853
335	1.007718	0.709285
336	0.989837	0.702076
337	1.052747	0.739109
338	0.988978	0.730963
339	1.017771	0.743953
340	1.013616	0.754082
341	0.998448	0.752912
342	1.034188	0.778653
343	0.966303	0.752414
344	0.985523	0.741522
345	0.969492	0.718899
346	1.012121	0.727613
347	1.000000	0.727613
348	0.985797	0.717279
349	0.996669	0.714890
350	1.038356	0.742310
351	0.963330	0.715090
352	0.984087	0.703711
353	1.008561	0.709735
354	1.008584	0.715827
355	0.990654	0.709137
356	0.957727	0.679160
357	0.959658	0.651762
358	1.067260	0.695599
359	0.978221	0.680450
360	1.008053	0.685929
361	1.060150	0.727188
362	0.976064	0.709782
363	0.912352	0.647571
364	0.957690	0.620173
365	0.973493	0.603734
366	1.011407	0.610620
367	0.953893	0.582467
368	0.966702	0.563072
369	1.058378	0.595943
370	1.018894	0.607203
371	1.029304	0.624997
372	0.995855	0.622406
373	1.023404	0.636973
374	1.057090	0.673338
375	1.014344	0.682996
376	0.980045	0.669367
377	0.952350	0.637472
378	0.944361	0.602003
379	0.926433	0.557716
380	1.031282	0.575162
381	1.007134	0.579266
382	0.967322	0.560336
383	0.982591	0.550581
384	0.988095	0.544027
385	1.016249	0.552866
386	0.972454	0.537637
387	1.160359	0.623852
388	1.002028	0.625117
389	1.018433	0.636639
390	1.128090	0.718186
391	0.991633	0.712178
392	1.002812	0.714181
393	1.002404	0.715897
394	0.953195	0.682390
395	0.953697	0.650793
396	1.071346	0.697225
397	0.966620	0.673952
398	1.043165	0.703043
399	1.010345	0.710316
400	0.971331	0.689952
401	0.992135	0.684526
402	1.067573	0.730781
403	1.022984	0.747577
404	0.971310	0.726129
405	1.028731	0.746992
406	0.980088	0.732118
407	0.998681	0.731152
408	1.019551	0.745447
409	0.982379	0.732311
410	1.009465	0.739243
411	0.947601	0.700507
412	0.980210	0.686643
413	0.984444	0.675962
414	1.016613	0.687191
415	0.937425	0.644190
416	1.030963	0.664136
417	0.957217	0.635723
418	1.019865	0.648351
419	1.031430	0.668729
420	1.019742	0.681931
421	1.004630	0.685088
422	0.953917	0.653517
423	1.021019	0.667253
424	1.046265	0.698124
425	0.995538	0.695008
426	0.977995	0.679715
427	0.972114	0.660760
428	1.015601	0.671069
429	0.953915	0.640142
430	1.014862	0.649656
431	1.036950	0.673661
432	1.024275	0.690014
433	0.946586	0.653158
434	0.975336	0.637049
435	1.056156	0.672823
436	0.954341	0.642102
437	0.982808	0.631063
438	1.014035	0.639920
439	1.013906	0.648819
440	1.067669	0.692724
441	0.922917	0.639327
442	1.068043	0.682828
443	1.023224	0.698686
444	1.021380	0.713624
445	1.035093	0.738667
446	1.000885	0.739321
447	1.050960	0.776997
448	1.010675	0.785291
449	1.046897	0.822119
450	0.990620	0.814407
451	1.008321	0.821184
452	0.995858	0.817783
453	1.017506	0.832099
454	1.034041	0.860424
455	1.024845	0.881801
456	1.025579	0.904357
457	1.021505	0.923806
458	1.044878	0.965264
459	0.958099	0.924818
460	1.039324	0.961185
461	1.006284	0.967226
462	0.987225	0.954869
463	0.980583	0.936328
464	0.960652	0.899485
465	1.041667	0.936964
466	1.032946	0.967833
467	1.021591	0.988730
468	1.009499	0.998122
469	0.989103	0.987245
470	1.012712	0.999795
471	1.016912	1.016703
472	1.012292	1.029201
473	0.998270	1.027421
474	1.018278	1.046200
475	0.999451	1.045626
476	1.023577	1.070279
477	0.994120	1.063986
478	1.011526	1.076249
479	1.002334	1.078761
480	0.953614	1.028721
481	0.997738	1.026394
482	0.986814	1.012860
483	0.968280	0.980733
484	1.025452	1.005695
485	1.032658	1.038538
486	1.024680	1.064170
487	0.984753	1.047944
488	1.025416	1.074579
489	0.995254	1.069479
490	0.998124	1.067472
491	0.979950	1.046069
492	1.009287	1.055784
493	0.987302	1.042377
494	0.991667	1.033690
495	1.002654	1.036434
496	0.976402	1.011976
497	1.001874	1.013872
498	0.987944	1.001649
499	1.071933	1.073701
500	0.986369	1.059065
501	1.020580	1.080861
502	0.983501	1.063028
503	0.986021	1.048168
504	1.029748	1.079349
505	1.013333	1.093740
506	1.014425	1.109517
507	1.029555	1.142309
OLMAR-2(epsilon:10.00, alpha:0.30, tc:0.0000), Final return: 1.14
-------------------------------------
Stop Time: 2018-0725-22-56-57-102.
Elapse time(s): 831.180867.
Result Analysis.
-------------------------------------
Statistical t-Test
Size: 507
MER(Strategy): 0.0007
MER(Market):-0.0004
WinRatio:0.5286
Alpha:0.0013
Beta:1.2434
t-statistics:1.1861
p-Value:0.1181
-------------------------------------
