Running strategy olmar2_o_ on dataset msci.
Start Time: 2018-0726-14-22-59-671.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.013756	1.021852
3	1.004901	1.026861
4	1.017418	1.044746
5	1.001861	1.046690
6	1.006966	1.053981
7	0.996693	1.050495
8	0.998391	1.048805
9	0.996847	1.045498
10	1.000000	1.045498
11	1.016450	1.062696
12	1.016184	1.079894
13	1.018813	1.100211
14	1.021558	1.123929
15	0.996721	1.120244
16	0.995427	1.115121
17	1.001470	1.116760
18	1.007065	1.124650
19	0.999180	1.123728
20	0.994438	1.117477
21	1.011567	1.130403
22	1.007454	1.138829
23	0.986602	1.123571
24	1.010826	1.135735
25	0.978196	1.110971
26	1.002873	1.114163
27	0.994567	1.108109
28	0.995729	1.103377
29	0.992958	1.095606
30	0.996600	1.091881
31	0.996690	1.088267
32	1.003131	1.091674
33	0.967177	1.055843
34	0.991002	1.046342
35	0.994911	1.041017
36	0.961083	1.000504
37	1.035935	1.036456
38	0.963157	0.998270
39	1.004156	1.002418
40	1.027801	1.030287
41	1.010634	1.041243
42	0.982225	1.022735
43	1.005046	1.027895
44	1.013387	1.041655
45	1.014250	1.056499
46	0.978145	1.033409
47	0.969678	1.002074
48	0.996992	0.999060
49	0.962292	0.961387
50	1.027900	0.988209
51	0.993558	0.981843
52	0.954195	0.936870
53	1.003878	0.940503
54	1.062644	0.999420
55	1.007026	1.006441
56	0.997531	1.003957
57	1.005462	1.009440
58	1.002249	1.011710
59	0.959029	0.970260
60	0.996564	0.966926
61	1.009194	0.975816
62	0.994534	0.970482
63	0.990152	0.960925
64	1.004600	0.965345
65	1.022222	0.986797
66	1.019399	1.005939
67	1.002947	1.008904
68	0.990205	0.999021
69	0.996919	0.995944
70	1.006820	1.002736
71	1.001015	1.003754
72	0.987891	0.991600
73	1.001039	0.992630
74	0.961763	0.954675
75	0.994407	0.949335
76	1.017117	0.965585
77	0.999843	0.965434
78	1.003885	0.969184
79	1.038368	1.006370
80	1.003933	1.010328
81	1.013905	1.024376
82	1.031840	1.056993
83	0.999698	1.056673
84	1.020714	1.078561
85	0.993669	1.071733
86	1.009008	1.081387
87	1.003375	1.085037
88	1.020373	1.107142
89	1.007307	1.115232
90	1.018599	1.135974
91	1.001077	1.137198
92	1.014839	1.154072
93	1.012573	1.168582
94	1.004579	1.173933
95	0.994287	1.167227
96	0.986343	1.151286
97	1.014897	1.168436
98	1.007247	1.176904
99	0.987520	1.162216
100	1.003706	1.166523
101	0.987584	1.152040
102	0.997794	1.149499
103	1.013926	1.165507
104	1.000746	1.166376
105	0.996484	1.162276
106	0.993173	1.154340
107	1.001820	1.156441
108	1.014863	1.173629
109	1.013469	1.189436
110	1.003243	1.193293
111	1.004986	1.199243
112	0.985506	1.181861
113	0.981344	1.159812
114	0.982498	1.139514
115	0.997031	1.136131
116	1.002685	1.139181
117	1.004343	1.144129
118	1.001136	1.145428
119	1.011657	1.158780
120	0.996830	1.155107
121	1.010765	1.167541
122	0.993564	1.160026
123	1.008432	1.169808
124	1.007150	1.178171
125	0.994699	1.171925
126	1.008560	1.181958
127	1.033401	1.221436
128	1.021489	1.247684
129	0.999251	1.246749
130	0.998219	1.244529
131	0.999906	1.244412
132	1.002723	1.247801
133	0.999719	1.247450
134	1.018254	1.270222
135	0.993694	1.262212
136	1.009442	1.274130
137	1.004521	1.279890
138	1.006137	1.287745
