Running strategy olmar2_o_ on dataset sp500.
Start Time: 2018-0726-01-13-30-516.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.005824	1.005824
2	1.024096	1.030061
3	1.031780	1.062796
4	1.011262	1.074765
5	0.967687	1.040036
6	1.055215	1.097461
7	0.998146	1.095427
8	0.962694	1.054560
9	0.980000	1.033469
10	1.000000	1.033469
11	1.018125	1.052200
12	1.003082	1.055443
13	0.992509	1.047537
14	1.029173	1.078097
15	0.988247	1.065426
16	1.016155	1.082638
17	1.005181	1.088247
18	1.026397	1.116974
19	1.011376	1.129681
20	1.011706	1.142905
21	0.985008	1.125770
22	1.007105	1.133768
23	0.982880	1.114358
24	1.052441	1.172796
25	1.000000	1.172796
26	1.011719	1.186540
27	1.041339	1.235590
28	1.032164	1.275331
29	0.984541	1.255616
30	1.002325	1.258534
31	0.971660	1.222867
32	1.007292	1.231784
33	1.010606	1.244849
34	1.003458	1.249153
35	1.004000	1.254150
36	1.005894	1.261542
37	0.993103	1.252842
38	0.971566	1.217219
39	0.977005	1.189228
40	0.966820	1.149770
41	1.059107	1.217730
42	0.999370	1.216962
43	1.033916	1.258237
44	0.979618	1.232591
45	1.032672	1.272862
46	1.015358	1.292411
47	0.984375	1.272217
48	0.979213	1.245772
49	0.996967	1.241994
50	0.980185	1.217384
51	1.017105	1.238207
52	0.983847	1.218207
53	1.026866	1.250935
54	0.996995	1.247176
55	0.984252	1.227536
56	0.980000	1.202985
57	0.989796	1.190710
58	0.995683	1.185570
59	1.014859	1.203186
60	1.023605	1.231588
61	1.027237	1.265133
62	1.021374	1.292174
63	0.985198	1.273046
64	1.043757	1.328751
65	0.986900	1.311343
66	0.983544	1.289764
67	1.009109	1.301512
68	0.992531	1.291792
69	1.000000	1.291792
70	0.984858	1.272231
71	0.977798	1.243986
72	1.022706	1.272231
73	1.013499	1.289406
74	1.001198	1.290951
75	0.998487	1.288998
76	1.023965	1.319889
77	0.974870	1.286720
78	0.982413	1.264090
79	1.012048	1.279320
80	0.990566	1.267251
81	1.007937	1.277308
82	1.000000	1.277308
83	1.010368	1.290551
84	1.001587	1.292599
85	1.013363	1.309872
86	0.992392	1.299907
87	1.028483	1.336933
88	1.008753	1.348635
89	1.016103	1.370352
90	1.002965	1.374415
91	0.995074	1.367645
92	0.944882	1.292263
93	1.050000	1.356876
94	1.005085	1.363775
95	1.012975	1.381470
96	0.962665	1.329893
97	0.983492	1.307939
98	0.978660	1.280028
99	0.992782	1.270789
100	1.013825	1.288357
101	0.966535	1.245243
102	1.001018	1.246511
103	1.055072	1.315159
104	0.985397	1.295953
105	1.034123	1.340175
106	1.029443	1.379633
107	0.993479	1.370637
108	0.976231	1.338058
109	1.008696	1.349694
110	0.976624	1.318143
111	1.008130	1.328860
112	0.976827	1.298066
113	1.003205	1.302227
114	1.009091	1.314065
115	1.006319	1.322369
116	0.992372	1.312282
117	1.004158	1.317739
118	1.042618	1.373898
119	1.029613	1.414583
120	0.991892	1.403113
121	1.007752	1.413990
122	1.018036	1.439493
123	0.988632	1.423128
124	1.053498	1.499263
125	1.004840	1.506519
126	1.003200	1.511340
127	1.030226	1.557022
128	1.008333	1.569997
129	0.991446	1.556567
130	1.010802	1.573382
131	0.997143	1.568886
132	0.947210	1.486064
133	0.971338	1.443470
134	0.995082	1.436371
135	1.008088	1.447989
136	0.994475	1.439989
137	0.994686	1.432336
138	0.973261	1.394037
139	1.066376	1.486567
140	1.004923	1.493885
141	1.015228	1.516635
142	0.993294	1.506465
143	0.986081	1.485496
144	1.045175	1.552603
145	0.949178	1.473696
146	0.960630	1.415677
147	1.019672	1.443526
148	1.006077	1.452298
149	1.021912	1.484122
150	0.998416	1.481772
151	0.979305	1.451106
152	0.966841	1.402989
153	1.019852	1.430841
154	1.001842	1.433476
155	0.986784	1.414532
156	1.036474	1.466126
157	1.029970	1.510066
158	1.076442	1.625498
159	0.979417	1.592041
160	1.001427	1.594313
161	1.013831	1.616364
162	0.993646	1.606094
163	0.972854	1.562494
164	0.969868	1.515413
165	0.956686	1.449775
166	0.842105	1.220863
167	1.083752	1.323113
168	1.025941	1.357435
169	0.964008	1.308578
170	0.996921	1.304549
171	1.080003	1.408917
172	0.949631	1.337951
173	0.985957	1.319163
174	1.034809	1.365082
175	1.015290	1.385954
176	1.034640	1.433964
177	1.004364	1.440222
178	0.943482	1.358824
179	0.987712	1.342126
180	0.986001	1.323337
181	0.952482	1.260454
182	1.028825	1.296787
183	0.977371	1.267441
184	1.031034	1.306776
185	0.979087	1.279448
186	1.024758	1.311124
187	1.022026	1.340004
188	0.972540	1.303207
189	1.043531	1.359938
190	1.032693	1.404397
191	1.039301	1.459592
192	0.987395	1.441194
193	0.957973	1.380625
194	1.090322	1.505326
195	1.061538	1.597961
196	0.945372	1.510668
197	1.097142	1.657416
198	1.019506	1.689745
199	1.012755	1.711298
200	1.065491	1.823373
201	1.025202	1.869327
202	1.067995	1.996432
203	1.030402	2.057128
204	0.993098	2.042930
205	0.993822	2.030310
206	0.997719	2.025678
207	0.968752	1.962378
208	1.037037	2.035059
209	1.018064	2.071821
210	1.061111	2.198432
211	1.007663	2.215278
212	1.002970	2.221857
213	1.012974	2.250683
214	1.009107	2.271180
215	0.990818	2.250326
216	1.004119	2.259596
217	1.001783	2.263624
218	0.978070	2.213983
219	1.048206	2.320711
220	0.988270	2.293488
221	1.017804	2.334322
222	0.993196	2.318439
223	0.987281	2.288951
224	1.020811	2.336587
225	1.023301	2.391032
226	0.984820	2.354735
227	1.005762	2.368303
228	0.993206	2.352214
229	0.975874	2.295465
230	0.999953	2.295357
231	0.998684	2.292337
232	0.975669	2.236562
233	1.028358	2.299987
234	1.017885	2.341122
235	0.965517	2.260394
236	0.983957	2.224131
237	1.014493	2.256365
238	1.035714	2.336949
239	0.958621	2.240248
240	1.030778	2.309197
241	1.013554	2.340496
242	1.027317	2.404432
243	1.004539	2.415344
244	0.962777	2.325439
245	1.010409	2.349644
246	1.008094	2.368663
247	0.995620	2.358289
248	1.023460	2.413615
249	1.016370	2.453125
250	0.984514	2.415136
251	0.994754	2.402467
252	0.961806	2.310706
253	1.058965	2.446957
254	1.029366	2.518815
255	0.967695	2.437444
256	0.957511	2.333880
257	0.965927	2.254358
258	1.004102	2.263605
259	1.054739	2.387511
260	1.010070	2.411553
261	0.996933	2.404156
262	1.089412	2.619115
263	1.025000	2.684593
264	0.986992	2.649672
265	1.029671	2.728291
266	1.021505	2.786963
267	1.047273	2.918710
268	1.019818	2.976552
269	0.990196	2.947370
270	0.983498	2.898734
271	0.989094	2.867120
272	1.016964	2.915756
273	1.014178	2.957097
274	1.013609	2.997341
