Running strategy olmar2_o_ on dataset tse.
Start Time: 2018-0726-10-13-28-564.
-------------------------------------
Parameters [epsilon:10.00, alpha:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.060610	1.077479
3	1.029410	1.109168
4	1.037040	1.150252
5	0.955628	1.099213
6	0.976745	1.073651
7	0.960000	1.030705
8	1.000000	1.030705
9	1.069440	1.102277
10	0.967857	1.066846
11	0.966790	1.031416
12	1.038170	1.070785
13	0.967742	1.036244
14	1.029170	1.066471
15	0.985192	1.050679
16	0.975610	1.025053
17	1.048390	1.074656
18	0.983193	1.056594
19	1.004270	1.061106
20	0.979862	1.039737
21	1.057470	1.099491
22	1.021846	1.123511
23	0.989212	1.111391
24	0.963636	1.070976
25	1.204540	1.290033
26	1.000954	1.291264
27	1.000400	1.291780
28	1.000000	1.291780
29	1.040000	1.343451
30	1.000000	1.343451
31	0.986301	1.325047
32	1.000000	1.325047
33	1.000000	1.325047
34	0.993631	1.316608
35	0.992620	1.306891
36	1.044300	1.364787
37	0.981481	1.339512
38	1.040720	1.394057
39	1.037040	1.445693
40	1.031142	1.490715
41	1.022730	1.524599
42	0.984615	1.501143
43	1.066670	1.601224
44	1.000000	1.601224
45	0.988235	1.582386
46	1.000000	1.582386
47	1.031250	1.631836
48	1.016670	1.659038
49	1.056700	1.753106
50	1.016362	1.781789
51	1.017240	1.812507
52	1.003440	1.818742
53	1.021740	1.858282
54	1.021280	1.897826
55	0.967176	1.835531
56	0.977273	1.793815
57	1.011630	1.814677
58	0.984496	1.786542
59	1.033900	1.847106
60	1.000000	1.847106
61	0.979866	1.809917
62	1.000000	1.809917
63	1.067800	1.932629
64	0.969697	1.874064
65	1.044440	1.957348
66	1.007410	1.971852
67	1.098344	2.165772
68	0.992537	2.149609
69	1.041670	2.239183
70	1.017860	2.279175
71	0.940298	2.143103
72	1.031750	2.211147
73	1.028170	2.273435
74	1.012282	2.301358
75	1.023530	2.355508
76	0.952381	2.243342
77	1.150000	2.579843
78	0.869565	2.243341
79	1.050000	2.355508
80	1.019610	2.401700
81	1.036360	2.489025
82	1.054050	2.623557
83	1.000000	2.623557
84	1.019230	2.674008
85	1.004590	2.686282
86	0.978723	2.629126
87	1.000000	2.629126
88	0.990000	2.602835
89	0.977273	2.543680
90	1.031650	2.624187
91	1.033710	2.712649
92	1.043960	2.831897
93	1.000000	2.831897
94	1.000000	2.831897
95	0.977778	2.768966
96	1.059920	2.934883
97	0.970588	2.848562
98	1.008660	2.873231
99	0.959076	2.755645
100	0.960000	2.645420
101	1.048780	2.774463
102	1.026320	2.847487
103	1.000000	2.847487
104	1.042550	2.968648
105	0.998653	2.964650
106	0.919831	2.726977
107	1.018350	2.777017
108	0.950450	2.639415
109	1.033170	2.726965
110	1.028570	2.804874
111	1.000000	2.804874
112	1.045230	2.931739
113	1.000000	2.931739
114	1.017700	2.983631
115	0.971831	2.899585
116	0.968944	2.809535
117	1.012820	2.845553
118	1.050630	2.989624
119	0.968750	2.896198
