Running strategy ons on dataset djia.
Start Time: 2018-0307-17-01-19-932.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.980840	0.983405
3	0.998590	0.982018
4	0.990985	0.973165
5	1.006814	0.979796
6	1.008492	0.988117
7	0.998202	0.986340
8	1.016248	1.002366
9	0.994423	0.996776
10	1.003071	0.999837
11	0.976007	0.975848
12	1.011993	0.987551
13	1.015903	1.003256
14	0.995921	0.999164
15	1.013444	1.012597
16	0.987575	1.000016
17	1.004622	1.004638
18	1.020905	1.025640
19	1.013230	1.039210
20	1.004362	1.043743
21	0.997687	1.041329
22	1.008303	1.049975
23	0.994584	1.044288
24	0.996735	1.040879
25	0.993547	1.034162
26	0.995014	1.029005
27	1.023340	1.053023
28	1.002261	1.055404
29	0.988558	1.043328
30	1.010555	1.054340
31	0.994962	1.049029
32	1.002134	1.051267
33	0.969726	1.019441
34	0.998405	1.017816
35	0.997635	1.015408
36	1.032048	1.047950
37	1.000023	1.047974
38	0.986745	1.034083
39	0.989988	1.023730
40	1.008683	1.032619
41	1.000865	1.033511
42	1.006159	1.039877
43	1.015406	1.055898
44	1.017943	1.074844
45	0.983460	1.057066
46	0.957955	1.012621
47	1.021095	1.033982
48	0.963713	0.996462
49	1.016937	1.013339
50	0.981614	0.994707
51	1.012966	1.007605
52	0.970770	0.978153
53	0.975470	0.954159
54	0.997700	0.951964
55	1.033303	0.983667
56	1.022279	1.005582
57	1.036646	1.042432
58	0.990627	1.032662
59	1.002370	1.035109
60	1.020038	1.055850
61	0.991355	1.046723
62	0.970402	1.015742
63	0.984995	1.000501
64	1.053748	1.054275
65	0.974956	1.027872
66	0.999010	1.026855
67	1.032055	1.059771
68	1.013794	1.074389
69	1.011417	1.086655
70	0.998934	1.085496
71	1.004761	1.090664
72	1.060601	1.156759
73	1.007257	1.165154
74	0.977972	1.139488
75	0.994105	1.132771
76	0.994954	1.127055
77	1.014010	1.142846
78	1.003760	1.147143
79	1.022469	1.172918
80	0.991637	1.163109
81	1.022270	1.189011
82	1.002104	1.191513
83	0.987225	1.176291
84	1.009738	1.187746
85	0.998699	1.186201
86	0.986691	1.170413
87	1.002812	1.173705
88	1.004588	1.179089
89	0.994926	1.173106
90	1.005039	1.179017
91	0.993152	1.170943
92	1.038798	1.216373
93	1.021471	1.242490
94	1.003638	1.247010
95	1.011429	1.261262
96	0.998448	1.259304
97	0.989915	1.246605
98	1.002405	1.249603
99	0.985753	1.231800
100	1.004012	1.236742
101	0.986498	1.220044
102	1.002808	1.223469
103	1.007674	1.232858
104	0.999923	1.232763
105	1.007881	1.242478
106	0.987875	1.227412
107	0.998847	1.225997
108	0.991306	1.215339
109	0.998529	1.213551
110	1.002993	1.217184
111	0.996413	1.212818
112	0.974805	1.182260
113	0.994619	1.175899
114	0.997181	1.172584
115	0.997084	1.169164
116	1.007476	1.177905
117	1.001535	1.179714
118	0.989398	1.167206
119	0.995483	1.161934
120	0.999575	1.161440
121	0.997512	1.158550
122	1.018033	1.179442
123	0.985652	1.162520
124	1.008236	1.172095
125	1.007736	1.181162
126	0.999841	1.180974
127	0.976866	1.153653
128	1.005128	1.159570
129	0.986311	1.143696
130	1.011142	1.156439
131	1.016161	1.175127
132	1.013883	1.191442
133	0.998618	1.189796
134	1.011564	1.203555
135	1.003715	1.208026
136	1.005506	1.214677
137	0.995547	1.209268
138	0.989997	1.197172
139	0.992232	1.187873
140	1.014421	1.205004
141	0.999639	1.204569
142	1.007796	1.213959
143	1.000166	1.214161
144	1.011465	1.228080
145	1.008037	1.237951
146	0.999953	1.237893
147	0.996640	1.233734
148	0.992581	1.224581
149	1.006874	1.232998
150	0.991800	1.222888
151	0.999232	1.221948
152	1.009317	1.233334
153	0.997930	1.230780
154	0.999945	1.230713
155	0.996930	1.226935
156	1.001834	1.229185
157	0.987243	1.213505
158	1.017399	1.234618
159	0.983392	1.214113
160	1.007925	1.223735
161	0.998491	1.221888
162	1.020159	1.246520
163	0.994244	1.239345
164	0.980790	1.215538
165	0.989040	1.202216
166	0.985004	1.184188
167	1.005751	1.190998
168	0.978624	1.165539
169	0.998646	1.163961
170	0.970068	1.129122
171	0.989094	1.116807
172	0.998683	1.115336
173	0.888646	0.991139
174	0.964591	0.956044
175	0.963050	0.920719
176	0.941619	0.866967
177	1.018541	0.883041
178	1.078517	0.952375
179	1.007601	0.959614
180	0.990325	0.950330
181	1.001121	0.951396
182	1.027209	0.977282
183	0.985564	0.963174
184	1.009419	0.972247
185	1.050702	1.021541
186	0.991187	1.012538
187	0.999121	1.011648
188	1.004515	1.016215
189	1.012944	1.029369
190	1.013908	1.043686
191	1.025356	1.070150
192	0.996565	1.066474
193	0.997715	1.064037
194	1.008107	1.072663
195	0.971276	1.041852
196	0.984401	1.025600
197	1.009214	1.035050
198	1.017188	1.052840
199	0.995819	1.048438
200	1.005841	1.054563
201	1.027748	1.083824
202	1.011276	1.096045
203	0.963613	1.056164
204	0.980257	1.035312
205	0.998793	1.034062
206	1.021607	1.056405
207	1.002416	1.058957
208	1.018820	1.078887
209	1.041141	1.123273
210	0.995385	1.118090
211	1.005418	1.124148
212	0.997100	1.120888
213	0.992217	1.112164
214	1.020169	1.134596
215	1.027135	1.165382
216	1.019195	1.187752
217	1.002698	1.190956
218	1.018759	1.213298
219	0.989566	1.200638
220	0.991276	1.190164
221	1.021675	1.215961
222	1.013798	1.232739
223	0.985352	1.214681
224	0.974983	1.184294
225	1.016746	1.204126
226	1.003027	1.207772
227	0.987866	1.193116
228	1.019834	1.216781
229	1.033684	1.257767
230	1.016568	1.278606
231	0.997475	1.275377
232	0.985677	1.257110
233	0.998607	1.255359
234	0.988063	1.240374
235	0.985057	1.221839
236	0.995194	1.215966
237	1.000675	1.216787
238	1.009338	1.228149
239	1.013824	1.245127
240	0.994012	1.237670
241	1.007444	1.246884
242	1.002396	1.249871
243	1.003119	1.253769
244	1.005850	1.261103
245	1.009831	1.273501
246	0.990348	1.261209
247	1.009801	1.273570
248	1.019410	1.298290
249	1.021235	1.325859
250	0.997823	1.322973
251	0.994762	1.316044
252	0.997413	1.312640
253	1.002973	1.316542
254	0.983856	1.295287
255	0.982154	1.272171
256	1.009647	1.284443
257	0.968204	1.243603
258	1.016180	1.263725
259	0.997551	1.260630
260	1.002135	1.263321
261	0.999618	1.262839
262	1.023126	1.292043
263	1.007040	1.301138
264	0.996807	1.296984
265	0.969306	1.257174
266	1.025443	1.289161
267	1.013370	1.306397
268	0.998756	1.304772
269	0.970384	1.266130
270	1.000328	1.266546
271	0.990230	1.254172
272	1.011570	1.268682
273	1.012913	1.285064
274	1.010404	1.298434
275	0.997950	1.295772
276	1.010795	1.309760
277	1.007216	1.319211
278	0.990902	1.307209
279	0.977465	1.277750
280	1.020552	1.304011
281	0.992123	1.293739
282	0.998317	1.291562
283	1.027398	1.326947
284	0.999829	1.326720
285	1.007494	1.336663
286	1.007508	1.346699
287	1.021466	1.375607
288	1.040321	1.431073
289	0.996171	1.425593
290	1.016366	1.448924
291	0.993667	1.439749
292	1.013549	1.459256
293	1.018614	1.486418
294	0.996128	1.480663
295	0.986658	1.460908
296	0.992201	1.449514
297	1.003155	1.454088
298	0.996027	1.448310
