Running strategy ons_o on dataset djia.
Start Time: 2018-0305-19-44-04-289.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.980840	0.983405
3	0.998590	0.982018
4	0.990985	0.973165
5	1.006814	0.979796
6	1.008492	0.988117
7	0.998202	0.986340
8	1.016248	1.002366
9	0.994423	0.996776
10	1.003071	0.999837
11	0.976007	0.975848
12	1.011993	0.987551
13	1.015903	1.003256
14	0.995921	0.999164
15	1.013444	1.012597
16	0.987575	1.000016
17	1.004622	1.004638
18	1.020905	1.025640
19	1.013230	1.039210
20	1.004362	1.043743
21	0.997687	1.041329
22	1.008303	1.049975
23	0.994584	1.044288
24	0.996735	1.040879
25	0.993547	1.034162
26	0.995014	1.029005
27	1.023340	1.053023
28	1.002261	1.055404
29	0.988558	1.043328
30	1.010555	1.054340
31	0.994962	1.049029
32	1.002134	1.051267
33	0.969726	1.019441
34	0.998405	1.017816
35	0.997635	1.015408
36	1.032048	1.047950
37	1.000023	1.047974
38	0.986745	1.034083
39	0.989988	1.023730
40	1.008683	1.032619
41	1.000865	1.033511
42	1.006159	1.039877
43	1.015406	1.055898
44	1.017943	1.074844
45	0.983460	1.057066
46	0.957955	1.012621
47	1.021095	1.033982
48	0.963713	0.996462
49	1.016937	1.013339
50	0.981614	0.994707
51	1.014046	1.008679
52	0.974987	0.983450
53	0.974919	0.958784
54	0.987796	0.947083
55	1.009482	0.956063
56	1.019350	0.974563
57	1.026730	1.000614
58	0.981195	0.981797
59	1.002250	0.984006
60	1.017216	1.000946
61	0.990171	0.991108
62	0.964232	0.955659
63	1.002128	0.957692
64	1.045292	1.001068
65	0.980586	0.981633
66	1.000193	0.981823
67	1.029257	1.010548
68	0.988504	0.998931
69	1.011496	1.010415
70	1.001011	1.011436
71	1.001361	1.012813
72	1.052022	1.065501
73	1.004546	1.070344
74	0.981659	1.050713
75	0.993280	1.043652
76	0.991900	1.035198
77	1.016987	1.052783
78	1.005806	1.058896
79	1.020356	1.080451
80	0.992553	1.072405
81	1.017399	1.091064
82	0.999285	1.090284
83	0.991157	1.080643
84	1.018452	1.100584
85	0.998249	1.098656
86	0.988853	1.086410
87	1.002982	1.089649
88	1.004075	1.094089
89	0.994031	1.087559
90	1.005030	1.093029
91	0.993274	1.085678
92	1.037061	1.125914
93	0.996798	1.122309
94	1.003184	1.125882
95	1.006833	1.133575
96	0.991149	1.123542
97	0.986700	1.108598
98	1.003558	1.112543
99	0.991101	1.102642
100	1.003120	1.106082
101	0.986324	1.090956
102	1.005708	1.097182
103	1.006327	1.104124
104	1.004815	1.109441
105	1.007477	1.117736
106	0.988152	1.104494
107	1.001180	1.105797
108	0.989931	1.094662
109	0.998884	1.093440
110	0.999426	1.092813
111	0.988170	1.079885
112	0.984474	1.063118
113	0.994005	1.056745
114	0.999619	1.056343
115	0.995777	1.051882
116	1.009844	1.062238
117	1.010538	1.073432
118	0.989511	1.062173
119	0.995099	1.056968
120	0.996448	1.053213
121	0.997161	1.050223
122	1.014321	1.065264
123	0.988226	1.052721
124	1.007890	1.061027
125	0.992662	1.053242
126	0.990665	1.043410
127	0.977321	1.019746
128	1.005337	1.025189
129	1.000180	1.025373
130	1.011159	1.036815
131	1.021664	1.059277
132	0.998517	1.057705
133	0.998619	1.056244
134	1.011565	1.068459
135	1.003383	1.072074
136	1.004163	1.076537
137	0.997667	1.074026
138	0.989948	1.063229
139	0.977221	1.039010
140	1.015808	1.055435
141	1.004735	1.060432
142	1.007193	1.068060
143	1.001949	1.070142
144	1.011534	1.082485
145	0.999255	1.081679
146	1.001324	1.083112
147	0.994629	1.077294
148	0.992181	1.068871
149	1.006323	1.075630
150	0.982338	1.056632
151	0.999334	1.055928
152	1.009509	1.065969
153	0.998056	1.063897
154	0.998414	1.062209
155	0.996829	1.058840
156	1.003371	1.062410
157	0.983876	1.045279
158	1.008627	1.054297
159	0.984173	1.037611
160	1.009561	1.047531
161	0.992781	1.039970
162	1.019667	1.060423
163	0.994193	1.054265
164	0.980958	1.034189
165	0.988221	1.022008
166	0.985296	1.006980
167	1.003764	1.010771
168	1.000488	1.011264
169	0.999534	1.010792
170	0.984333	0.994956
171	0.988577	0.983591
172	0.998087	0.981709
173	0.953918	0.936470
174	1.004093	0.940304
175	0.963280	0.905776
176	0.938480	0.850053
177	0.996538	0.847110
178	1.077139	0.912455
179	1.006968	0.918813
180	0.990157	0.909769
181	1.016806	0.925059
182	1.019592	0.943182
183	0.985738	0.929731
184	1.016373	0.944954
185	1.046408	0.988807
186	0.991004	0.979912
187	1.002461	0.982323
188	1.000411	0.982727
189	1.004051	0.986708
190	1.023888	1.010279
191	1.026238	1.036787
192	0.995493	1.032114
193	0.998217	1.030274
194	1.007779	1.038289
195	0.976534	1.013924
196	0.991970	1.005782
197	1.003176	1.008977
198	1.017247	1.026379
199	0.995050	1.021298
200	0.999671	1.020962
201	1.008766	1.029912
202	1.009456	1.039651
203	0.976650	1.015375
204	0.979556	0.994617
205	0.996798	0.991432
206	1.021099	1.012350
207	1.008025	1.020474
208	1.010347	1.031033
209	1.019126	1.050752
210	0.995596	1.046124
211	0.999460	1.045559
212	1.004790	1.050567
213	0.994342	1.044624
214	1.021555	1.067140
215	1.004783	1.072245
216	1.003333	1.075818
217	1.002335	1.078330
218	1.018689	1.098483
219	0.990974	1.088568
220	0.992852	1.080787
221	1.018289	1.100554
222	0.999062	1.099522
223	0.988948	1.087370
224	0.987361	1.073627
225	1.011688	1.086175
226	1.002174	1.088536
227	0.992179	1.080022
228	1.015971	1.097272
229	1.026800	1.126678
230	1.008754	1.136541
231	0.994851	1.130688
232	0.987238	1.116258
233	0.993383	1.108872
234	0.990703	1.098562
235	0.987403	1.084723
236	1.008608	1.094060
237	1.012051	1.107244
238	1.008047	1.116154
239	1.004936	1.121664
240	0.991006	1.111576
241	1.007057	1.119420
242	0.999978	1.119395
243	1.002808	1.122538
244	1.005863	1.129120
245	1.000899	1.130135
246	0.990261	1.119128
247	1.009365	1.129609
248	1.010978	1.142010
249	1.006614	1.149564
250	0.994894	1.143694
251	0.996067	1.139196
252	0.995293	1.133834
253	0.998641	1.132293
254	0.985576	1.115961
255	0.985583	1.099872
256	1.002643	1.102779
257	0.981051	1.081883
258	1.017698	1.101030
259	0.997014	1.097742
260	0.985563	1.081894
261	0.999642	1.081507
262	1.004872	1.086777
263	1.004141	1.091278
264	1.003195	1.094764
265	0.971763	1.063852
266	1.004992	1.069163
267	1.017958	1.088363
268	0.997490	1.085632
269	0.974079	1.057491
270	1.003600	1.061298
271	0.992372	1.053203
272	0.994401	1.047306
273	1.014621	1.062619
274	1.012536	1.075940
275	0.999281	1.075167
276	1.014155	1.090386
277	0.997265	1.087404
278	0.986617	1.072851
279	0.985702	1.057511
280	1.022477	1.081281
281	0.991863	1.072484
282	0.998679	1.071066
283	1.023052	1.095756
284	0.997951	1.093511
285	1.006475	1.100591
286	0.997859	1.098234
287	1.024358	1.124985
288	1.031282	1.160177
289	0.984993	1.142766
290	1.013272	1.157933
291	0.993543	1.150456
292	1.009499	1.161384
293	1.006365	1.168775
294	0.998765	1.167331
295	0.985742	1.150688
296	1.001583	1.152510
297	1.012270	1.166651
298	0.996113	1.162116
