Running strategy ons_o on dataset msci.
Start Time: 2018-0306-04-22-54-660.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.006131	1.014166
3	1.005664	1.019911
4	1.002949	1.022919
5	0.989903	1.012590
6	1.000391	1.012986
7	0.993866	1.006773
8	0.995651	1.002394
9	1.000145	1.002540
10	1.000018	1.002558
11	1.013227	1.015819
12	1.002295	1.018150
13	1.012444	1.030821
14	1.001498	1.032365
15	1.008142	1.040770
16	0.998221	1.038918
17	1.002029	1.041026
18	1.006597	1.047894
19	1.003257	1.051307
20	1.000404	1.051732
21	1.003434	1.055344
22	1.007071	1.062806
23	0.994958	1.057447
24	1.007169	1.065028
25	1.008240	1.073803
26	1.003029	1.077056
27	1.002359	1.079596
28	0.996515	1.075834
29	0.995474	1.070965
30	0.987073	1.057120
31	0.983092	1.039247
32	1.000951	1.040235
33	0.981047	1.020519
34	0.992690	1.013059
35	0.995162	1.008158
36	0.977784	0.985760
37	1.027710	1.013076
38	0.986867	0.999771
39	1.006538	1.006307
40	1.017036	1.023451
41	1.006351	1.029951
42	0.990525	1.020192
43	1.000390	1.020590
44	1.000429	1.021028
45	1.012538	1.033830
46	0.994641	1.028289
47	0.975481	1.003076
48	0.997892	1.000962
49	0.968429	0.969361
50	1.014463	0.983381
51	0.987791	0.971375
52	0.971508	0.943698
53	1.006396	0.949735
54	1.020526	0.969228
55	1.000980	0.970178
56	0.997641	0.967890
57	0.999049	0.966969
58	1.005519	0.972305
59	1.000514	0.972805
60	0.997758	0.970624
61	1.003182	0.973713
62	0.999195	0.972929
63	0.991077	0.964247
64	1.016177	0.979845
65	1.031650	1.010858
66	1.005973	1.016896
67	1.003126	1.020075
68	0.984137	1.003893
69	1.007293	1.011215
70	1.004300	1.015563
71	0.998450	1.013989
72	0.995726	1.009655
73	0.994370	1.003970
74	0.983423	0.987327
75	0.984804	0.972324
76	0.986043	0.958753
77	0.996382	0.955284
78	1.020819	0.975172
79	1.014002	0.988826
80	0.993943	0.982837
81	1.003087	0.985871
82	1.011418	0.997128
83	1.001557	0.998681
84	1.017515	1.016173
85	1.004873	1.021125
86	1.003098	1.024288
87	0.994747	1.018907
88	1.013444	1.032605
89	0.995153	1.027600
90	1.011806	1.039732
91	0.990800	1.030166
92	1.004088	1.034377
93	1.006368	1.040964
94	0.987492	1.027944
95	0.999195	1.027116
96	1.004618	1.031860
97	1.009802	1.041974
98	1.011464	1.053919
99	1.003821	1.057946
100	0.996855	1.054618
101	1.000867	1.055532
102	0.997604	1.053003
103	0.998705	1.051640
104	0.997830	1.049358
105	0.997031	1.046242
106	1.003420	1.049820
107	1.000993	1.050862
108	1.009156	1.060484
109	1.003141	1.063815
110	1.003968	1.068036
111	1.008846	1.077484
112	0.995075	1.072177
113	0.990208	1.061679
114	0.988213	1.049165
115	0.997973	1.047038
116	0.994054	1.040813
117	1.007430	1.048546
118	1.004448	1.053210
119	1.006682	1.060248
120	0.996958	1.057023
121	1.004383	1.061656
122	0.998706	1.060282
123	1.000829	1.061160
124	0.999301	1.060419
125	0.995191	1.055319
126	0.994063	1.049054
127	1.006302	1.055665
128	1.011431	1.067732
129	1.001496	1.069330
130	0.998376	1.067594
131	1.003157	1.070964
132	0.993911	1.064443
133	1.002549	1.067156
134	1.007821	1.075503
135	0.992411	1.067341
136	1.003215	1.070773
137	1.003267	1.074272
138	1.000610	1.074927
139	1.005513	1.080853
140	1.001295	1.082253
141	1.006730	1.089537
142	0.993915	1.082906
143	1.005394	1.088747
144	1.006194	1.095491
145	1.003540	1.099369
146	0.998379	1.097587
147	0.999814	1.097383
148	1.006891	1.104945
149	1.006686	1.112332
150	1.001319	1.113799
151	0.996284	1.109660
152	1.003775	1.113849
153	1.004248	1.118581
154	0.994069	1.111947
155	0.999809	1.111734
156	1.009923	1.122765
157	1.007138	1.130780
158	0.996223	1.126508
159	1.001160	1.127815
160	1.003557	1.131826
161	0.995931	1.127221
162	1.002205	1.129706
163	1.005743	1.136194
164	1.001502	1.137901
165	0.996897	1.134370
166	0.997503	1.131537
167	1.005822	1.138125
168	1.011056	1.150708
169	1.000309	1.151064
170	1.002364	1.153784
171	0.990256	1.142542
172	0.994084	1.135782
173	1.013746	1.151395
174	1.003687	1.155640
175	0.998240	1.153606
176	1.005845	1.160349
177	1.005128	1.166300
178	1.003513	1.170397
179	1.002789	1.173661
180	1.000585	1.174347
181	0.997661	1.171601
182	1.003380	1.175562
183	1.002977	1.179061
184	1.003987	1.183763
185	1.001338	1.185347
186	1.000420	1.185844
187	0.998895	1.184534
188	1.006275	1.191968
189	0.997849	1.189404
190	0.997521	1.186455
191	1.000000	1.186455
192	0.999526	1.185893
193	1.007285	1.194533
194	1.001051	1.195789
195	1.003174	1.199584
196	1.000933	1.200703
197	1.010675	1.213520
198	0.995456	1.208005
199	0.990022	1.195952
200	0.989363	1.183231
201	1.003339	1.187181
202	1.001915	1.189455
203	0.987087	1.174095
204	1.007279	1.182641
