Running strategy ons_o on dataset msci.
Start Time: 2018-0306-13-53-30-264.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.006131	1.014166
3	1.005664	1.019911
4	1.002949	1.022919
5	0.989903	1.012590
6	1.000391	1.012986
7	0.993866	1.006773
8	0.995651	1.002394
9	1.000145	1.002540
10	1.000018	1.002558
11	1.012547	1.015136
12	1.003120	1.018303
13	1.012171	1.030697
14	1.000454	1.031165
15	1.007295	1.038687
16	0.998588	1.037221
17	1.001130	1.038393
18	1.006977	1.045638
19	1.001357	1.047056
20	0.999860	1.046909
21	1.003885	1.050977
22	1.007043	1.058379
23	0.996296	1.054458
24	1.006185	1.060981
25	1.008221	1.069703
26	1.002801	1.072699
27	1.002837	1.075742
28	0.997029	1.072546
29	0.996130	1.068395
30	0.987198	1.054717
31	0.975310	1.028677
32	1.000967	1.029672
33	0.981162	1.010275
34	0.989019	0.999181
35	0.995151	0.994336
36	0.977644	0.972107
37	1.020000	0.991549
38	0.985585	0.977256
39	1.006150	0.983266
40	1.014465	0.997489
41	1.006169	1.003643
42	0.990768	0.994378
43	0.997905	0.992295
44	1.001380	0.993664
45	1.012299	1.005885
46	0.995713	1.001573
47	0.971945	0.973474
48	0.997441	0.970982
49	0.968037	0.939946
50	1.013227	0.952379
51	0.987803	0.940763
52	0.972463	0.914857
53	1.004924	0.919361
54	1.021193	0.938845
55	1.001292	0.940059
56	0.997746	0.937940
57	0.999024	0.937025
58	1.005630	0.942300
59	1.000423	0.942698
60	0.997615	0.940450
61	1.002560	0.942858
62	0.999215	0.942118
63	0.991601	0.934205
64	1.016240	0.949377
65	1.031493	0.979276
66	1.006177	0.985325
67	1.003539	0.988812
68	0.983970	0.972962
69	1.009155	0.981869
70	1.003715	0.985517
71	0.997136	0.982694
72	0.994670	0.977457
73	0.997241	0.974760
74	0.986961	0.962051
75	0.984443	0.947084
76	0.985125	0.932996
77	0.995498	0.928796
78	1.018298	0.945791
79	1.011283	0.956463
80	0.994368	0.951076
81	1.006524	0.957281
82	1.005945	0.962973
83	1.001548	0.964464
84	1.016851	0.980716
85	1.005256	0.985871
86	1.000161	0.986030
87	0.994536	0.980642
88	1.013316	0.993701
89	0.995150	0.988881
90	1.012106	1.000853
91	0.990863	0.991707
92	1.001277	0.992974
93	1.006276	0.999206
94	0.987527	0.986743
95	0.999197	0.985950
96	1.004143	0.990035
97	1.009657	0.999596
98	1.011150	1.010742
99	1.003342	1.014120
100	0.996928	1.011004
101	1.003584	1.014628
102	0.997127	1.011712
103	0.996442	1.008112
104	0.997742	1.005836
105	0.997041	1.002861
106	1.003930	1.006802
107	1.000828	1.007636
108	1.009181	1.016887
109	0.999675	1.016556
110	1.003927	1.020549
111	1.008791	1.029520
112	0.995111	1.024486
113	0.990210	1.014457
114	0.988041	1.002325
115	0.998107	1.000428
116	0.993503	0.993928
117	1.007349	1.001232
118	1.004807	1.006045
119	1.005546	1.011624
120	0.996610	1.008195
121	1.004524	1.012755
122	0.997942	1.010671
123	1.004422	1.015140
124	1.003008	1.018194
125	0.996047	1.014169
126	0.995810	1.009920
127	1.004569	1.014534
128	1.011105	1.025801
129	1.000796	1.026617
130	0.998799	1.025384
131	1.003851	1.029333
132	0.995999	1.025215
133	1.002517	1.027795
134	1.009090	1.037137
135	0.992909	1.029783
136	1.001969	1.031810
137	1.002751	1.034649
138	1.001098	1.035785
139	1.005918	1.041914
140	1.000713	1.042658
141	1.004591	1.047444
142	0.993386	1.040517
143	1.004739	1.045448
144	1.006003	1.051724
145	1.003913	1.055839
146	0.999032	1.054818
147	0.999451	1.054239
148	1.006436	1.061024
149	1.007089	1.068545
150	1.001325	1.069961
151	0.996497	1.066213
152	1.004688	1.071211
153	1.004017	1.075515
154	0.995036	1.070175
155	0.999623	1.069772
156	1.009814	1.080271
157	1.009687	1.090735
158	0.996131	1.086516
159	1.001275	1.087900
160	1.003216	1.091400
161	0.997189	1.088331
162	1.001411	1.089867
163	1.005135	1.095463
164	1.001432	1.097032
165	0.996422	1.093107
166	0.997646	1.090535
167	1.005496	1.096528
168	1.010895	1.108474
169	1.000323	1.108832
170	1.002359	1.111447
171	0.990667	1.101074
172	0.994132	1.094613
173	1.013808	1.109728
174	1.004004	1.114171
175	0.998559	1.112565
176	1.005141	1.118285
177	1.006168	1.125183
178	1.002750	1.128277
179	1.002815	1.131452
180	0.999842	1.131274
181	0.999022	1.130168
182	1.004911	1.135718
183	1.002466	1.138519
184	1.004229	1.143333
185	1.001266	1.144781
186	1.000661	1.145537
187	0.998990	1.144380
188	1.006327	1.151621
189	0.997852	1.149147
190	0.997088	1.145801
191	0.999667	1.145419
192	0.998682	1.143910
193	1.007146	1.152084
194	1.003475	1.156088
195	1.002481	1.158956
196	1.000081	1.159050
197	1.015795	1.177357
198	0.994507	1.170890
199	0.986963	1.155625
200	0.990052	1.144129
201	0.999890	1.144003
202	1.001871	1.146143
203	0.987646	1.131984
204	1.007516	1.140492
