Running strategy ons_o on dataset nyse-n.
Start Time: 2018-0306-22-23-11-720.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	0.991464	0.991464
2	0.993204	0.984726
3	0.994657	0.979465
4	1.001768	0.981197
5	0.998244	0.979474
6	1.009154	0.988440
7	1.020854	1.009053
8	1.001402	1.010467
9	1.021721	1.032415
10	0.999794	1.032203
11	0.998723	1.030884
12	0.995095	1.025828
13	0.995430	1.021139
14	1.028952	1.050703
15	0.992030	1.042329
16	1.011471	1.054285
17	0.995168	1.049190
18	1.003567	1.052932
19	0.997201	1.049985
20	1.009132	1.059574
21	1.001287	1.060938
22	0.997393	1.058172
23	0.995120	1.053008
24	1.010849	1.064432
25	1.000204	1.064649
26	1.001575	1.066326
27	1.007970	1.074825
28	1.002512	1.077526
29	0.991314	1.068166
30	0.994734	1.062541
31	1.012555	1.075881
32	0.994302	1.069750
33	0.989255	1.058256
34	1.001375	1.059711
35	1.000840	1.060601
36	0.998206	1.058698
37	0.995657	1.054101
38	1.001495	1.055677
39	1.011567	1.067888
40	0.997394	1.065105
41	1.004743	1.070157
42	1.008946	1.079730
43	0.994115	1.073376
44	1.001932	1.075450
45	0.990757	1.065510
46	0.994000	1.059116
47	0.998865	1.057914
48	0.998912	1.056763
49	0.999883	1.056639
50	0.994215	1.050526
51	0.998520	1.048972
52	0.994633	1.043342
53	0.996299	1.039480
54	1.013504	1.053517
55	0.996874	1.050224
56	1.004311	1.054751
57	0.998315	1.052975
58	0.997488	1.050330
59	0.999171	1.049459
60	1.005921	1.055672
61	0.998771	1.054375
62	1.005768	1.060456
63	0.999442	1.059864
64	0.995712	1.055320
65	0.995272	1.050330
66	1.002764	1.053233
67	0.991743	1.044537
68	0.999597	1.044116
69	1.006133	1.050519
70	1.003692	1.054398
71	1.000284	1.054697
72	1.001016	1.055769
73	1.003648	1.059620
74	1.002166	1.061916
75	0.997713	1.059487
