Running strategy ons_o on dataset nyse-o.
Start Time: 2018-0307-13-34-51-605.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.014899	1.014899
2	1.003628	1.018582
3	0.998361	1.016912
4	1.008018	1.025066
5	1.028517	1.054297
6	1.003891	1.058399
7	1.005530	1.064253
8	1.003730	1.068222
9	0.997751	1.065819
10	0.985510	1.050376
11	0.990613	1.040516
12	0.999030	1.039507
13	1.008864	1.048721
14	0.999116	1.047794
15	0.989443	1.036733
16	0.995003	1.031552
17	1.015793	1.047843
18	1.003179	1.051174
19	1.006589	1.058100
20	1.013008	1.071863
21	1.007078	1.079449
22	1.002489	1.082136
23	0.995840	1.077635
24	0.997150	1.074564
25	0.989022	1.062767
26	1.009615	1.072985
27	0.996477	1.069205
28	1.005811	1.075418
29	1.001099	1.076600
30	1.010176	1.087556
31	1.012428	1.101073
32	0.995859	1.096513
33	1.007345	1.104567
34	1.005891	1.111074
35	0.990671	1.100708
36	1.008616	1.110192
37	0.990099	1.099201
38	1.002003	1.101402
39	0.997577	1.098734
40	0.989989	1.087735
41	0.993800	1.080991
42	0.998413	1.079276
43	1.008845	1.088821
44	0.987963	1.075715
45	0.989616	1.064545
46	1.004378	1.069205
47	1.000111	1.069323
48	0.997269	1.066404
49	1.006156	1.072969
50	1.006977	1.080455
51	0.998775	1.079132
52	1.005376	1.084933
53	1.001791	1.086877
54	0.997203	1.083837
55	0.997389	1.081007
56	0.991415	1.071727
57	0.977821	1.047957
58	0.977503	1.024381
59	1.017317	1.042120
60	0.984138	1.025590
61	1.012121	1.038021
62	1.009565	1.047950
63	0.991585	1.039132
64	1.014642	1.054347
65	0.997410	1.051616
66	1.003835	1.055649
67	1.003760	1.059618
68	0.997443	1.056908
69	0.997448	1.054211
70	1.015978	1.071055
71	1.004770	1.076165
72	0.998537	1.074590
73	0.995592	1.069854
74	1.004091	1.074230
75	0.992097	1.065741
76	0.989478	1.054528
77	0.989197	1.043136
78	0.987604	1.030205
79	0.980678	1.010300
80	1.035282	1.045945
81	0.997144	1.042958
82	0.995509	1.038274
83	1.018806	1.057800
84	1.015438	1.074131
85	0.996361	1.070222
86	1.003403	1.073863
87	1.013911	1.088802
88	1.013384	1.103374
89	1.010220	1.114650
90	1.001163	1.115947
91	1.003576	1.119938
92	1.029347	1.152805
93	1.002731	1.155953
94	1.011446	1.169183
95	0.997701	1.166495
96	0.998791	1.165085
97	0.997493	1.162164
