Running strategy ons_o on dataset sp500.
Start Time: 2018-0307-01-32-53-540.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.005824	1.005824
2	0.992858	0.998640
3	1.000538	0.999177
4	0.996374	0.995554
5	0.970240	0.965926
6	1.018042	0.983354
7	1.011865	0.995021
8	1.008071	1.003052
9	0.993182	0.996213
10	1.010707	1.006880
11	1.021870	1.028900
12	0.988642	1.017214
13	0.987503	1.004502
14	0.993838	0.998312
15	1.002991	1.001298
16	1.015974	1.017293
17	1.007122	1.024538
18	1.007280	1.031997
19	0.996065	1.027936
20	1.022995	1.051573
21	1.003321	1.055066
22	1.002008	1.057184
23	0.992782	1.049554
24	1.012815	1.063003
25	0.992898	1.055454
26	1.011867	1.067979
27	0.997859	1.065693
28	1.006463	1.072580
29	0.994973	1.067188
30	1.003226	1.070631
31	1.013452	1.085033
32	1.009600	1.095449
33	1.010502	1.106954
34	1.020578	1.129733
35	0.989021	1.117330
36	1.015483	1.134630
37	1.005360	1.140712
38	1.005162	1.146600
39	0.988471	1.133381
40	0.995223	1.127967
41	1.005466	1.134132
42	0.971303	1.101587
43	1.029699	1.134303
44	0.977168	1.108404
45	1.013208	1.123043
46	0.997268	1.119976
47	1.001150	1.121264
48	0.998834	1.119957
49	1.007898	1.128802
50	1.000129	1.128948
51	1.000913	1.129979
52	1.008124	1.139159
53	1.002897	1.142459
54	1.000498	1.143027
55	1.015873	1.161170
56	1.003286	1.164986
57	0.998346	1.163060
58	0.992117	1.153892
59	0.999828	1.153694
60	1.009195	1.164302
61	1.005714	1.170954
62	1.008673	1.181109
63	1.004215	1.186088
64	0.987259	1.170976
65	0.982078	1.149990
66	0.999977	1.149963
67	1.005647	1.156457
68	1.001861	1.158609
69	1.003259	1.162385
70	1.000201	1.162619
71	0.991074	1.152241
72	1.015148	1.169695
73	1.013799	1.185835
74	1.016685	1.205621
75	1.016173	1.225119
76	0.982117	1.203210
77	0.995544	1.197849
78	0.976059	1.169171
79	0.998276	1.167155
80	1.014410	1.183974
81	1.015460	1.202278
82	1.011078	1.215597
83	1.008021	1.225348
84	0.991741	1.215227
85	0.993207	1.206973
86	0.992133	1.197477
87	1.023814	1.225994
88	0.992584	1.216902
89	1.022320	1.244063
90	1.014624	1.262256
91	0.989615	1.249147
92	0.980456	1.224734
93	1.015758	1.244033
94	1.005722	1.251151
95	0.993003	1.242397
96	0.981117	1.218936
97	0.988432	1.204836
98	0.978104	1.178455
99	1.011781	1.192338
100	0.999039	1.191192
101	0.985913	1.174412
102	0.989275	1.161817
103	1.001858	1.163975
104	0.988087	1.150109
105	1.030826	1.185562
106	1.009696	1.197057
107	0.997009	1.193477
108	1.016117	1.212713
109	0.989723	1.200249
110	0.989807	1.188015
111	1.002699	1.191222
112	0.977466	1.164379
113	1.026877	1.195674
114	1.012642	1.210790
115	0.998899	1.209458
116	1.001665	1.211471
117	1.010319	1.223972
118	1.029402	1.259960
119	1.014501	1.278230
120	0.993030	1.269321
121	1.012670	1.285402
122	1.016160	1.306174
123	0.989524	1.292491
124	1.010326	1.305838
125	0.992311	1.295798
126	1.003401	1.300204
127	0.999586	1.299665
128	1.030056	1.338728
129	1.011718	1.354415
130	1.012575	1.371447
131	1.025827	1.406868
132	1.007938	1.418035
133	1.009232	1.431126
134	1.013095	1.449868
135	1.017918	1.475847
136	1.001299	1.477764
137	0.968171	1.430729
138	1.000960	1.432103
139	0.969165	1.387944
140	0.999981	1.387918
141	1.023921	1.421118
142	0.981591	1.394957
143	0.989153	1.379826
144	1.035745	1.429147
145	0.972329	1.389601
146	0.994599	1.382096
147	0.962894	1.330813
