Running strategy ons_o on dataset tse.
Start Time: 2018-0307-17-17-25-610.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.011756	1.027848
3	1.003643	1.031593
4	1.005379	1.037141
5	1.006391	1.043770
6	0.996994	1.040632
7	1.003039	1.043794
8	0.997543	1.041230
9	1.009493	1.051115
10	0.996805	1.047757
11	1.006550	1.054620
12	1.007624	1.062660
13	0.996370	1.058802
14	0.996558	1.055157
15	0.992213	1.046940
16	1.003787	1.050905
17	1.012381	1.063916
18	0.995006	1.058603
19	0.999394	1.057962
20	1.007630	1.066035
21	1.008417	1.075007
22	0.991534	1.065906
23	0.998282	1.064075
24	0.981772	1.044680
25	1.009426	1.054526
26	0.991709	1.045783
27	1.002823	1.048735
28	0.994925	1.043413
29	0.994616	1.037796
30	0.995200	1.032814
31	1.008400	1.041490
32	1.000999	1.042531
33	1.000007	1.042537
34	1.009307	1.052240
35	0.994349	1.046294
36	0.998774	1.045012
37	1.006309	1.051605
38	0.983413	1.034162
39	1.014266	1.048915
40	1.022069	1.072064
41	0.992262	1.063768
42	0.989093	1.052166
43	1.006992	1.059522
44	1.009866	1.069975
45	1.005573	1.075939
46	0.997752	1.073520
47	0.998939	1.072381
48	1.009090	1.082129
49	1.007840	1.090612
50	0.999491	1.090057
51	0.993128	1.082566
52	1.000399	1.082998
53	1.005110	1.088533
54	1.000562	1.089144
55	1.004745	1.094312
56	1.007619	1.102649
57	1.026683	1.132072
58	0.991029	1.121916
59	0.996087	1.117526
60	0.992241	1.108856
61	0.976428	1.082718
62	0.973248	1.053754
63	1.013019	1.067473
64	0.978617	1.044647
65	1.025622	1.071413
66	1.002000	1.073556
67	1.006221	1.080234
68	1.003396	1.083903
69	0.987867	1.070753
70	0.996621	1.067135
71	0.996290	1.063176
72	0.987845	1.050253
73	1.008590	1.059275
74	0.973522	1.031227
75	0.982558	1.013241
76	0.985565	0.998615
77	1.026520	1.025098
78	1.001989	1.027138
79	1.031439	1.059430
80	1.003969	1.063634
81	1.015769	1.080407
82	0.990399	1.070033
83	1.002064	1.072242
84	1.002759	1.075200
85	0.994283	1.069053
86	1.000863	1.069975
87	1.004247	1.074520
88	1.005972	1.080937
89	0.979436	1.058708
90	1.011391	1.070768
91	0.988444	1.058394
92	1.012365	1.071480
93	0.990826	1.061651
94	1.006953	1.069033
95	1.006951	1.076464
96	0.999448	1.075870
97	1.000224	1.076111
98	0.991644	1.067119
99	1.001015	1.068202
100	0.997145	1.065152
101	1.013953	1.080014
102	1.006775	1.087332
103	1.014564	1.103168
104	1.003689	1.107237
105	0.990277	1.096472
106	0.995064	1.091060
107	1.002736	1.094045
108	0.985009	1.077645
109	0.991081	1.068033
110	0.989672	1.057002
111	1.014552	1.072383
112	1.008372	1.081361
113	0.982834	1.062799
114	0.988608	1.050691
115	0.985981	1.035961
116	0.972190	1.007151
117	0.996411	1.003536
118	0.984674	0.988156
119	0.981013	0.969394
120	1.006919	0.976101
121	0.982512	0.959031
122	0.989465	0.948928
123	1.028174	0.975663
124	1.008259	0.983721
125	1.034472	1.017632
126	0.990784	1.008254
127	1.040909	1.049501
128	0.991448	1.040525
129	0.997653	1.038083
130	1.008177	1.046571
131	1.022975	1.070616
132	1.004589	1.075529
133	1.005876	1.081849
134	1.013031	1.095946
135	1.010428	1.107375
136	0.998592	1.105815
137	0.995573	1.100920
138	0.970397	1.068329
139	1.003154	1.071699
140	1.002639	1.074526
141	1.009438	1.084668
142	1.009229	1.094678
143	1.003431	1.098434
144	0.991333	1.088914
145	0.988587	1.076486
146	1.008101	1.085206
147	0.987399	1.071532
148	0.999016	1.070477
149	0.993132	1.063125
150	0.998465	1.061493
151	1.005248	1.067064
152	1.004579	1.071950
153	1.016957	1.090127
154	0.991543	1.080907
155	1.010137	1.091865
156	0.997984	1.089663
157	1.000037	1.089704
158	0.999942	1.089640
159	0.993067	1.082086
160	1.009038	1.091867
161	1.003481	1.095667
162	0.986135	1.080475
163	1.010931	1.092285
164	1.022184	1.116517
165	1.027597	1.147329
166	1.006105	1.154334
167	0.989935	1.142715
168	0.988097	1.129113
169	1.031736	1.164947
170	1.021614	1.190126
171	1.006901	1.198339
172	0.999483	1.197720
173	1.017616	1.218818
174	0.987131	1.203134
175	1.001511	1.204952
176	0.999146	1.203922
177	1.003416	1.208035
178	1.016345	1.227780
179	0.999530	1.227203
180	1.005427	1.233864
181	0.990171	1.221736
182	1.001465	1.223527
183	0.993505	1.215581
184	0.994425	1.208804
185	0.991026	1.197956
186	1.009519	1.209360
187	1.001890	1.211646
188	0.996662	1.207601
189	0.996335	1.203175
190	0.998014	1.200785
191	0.979215	1.175827
192	0.973291	1.144421
193	1.002930	1.147775
194	1.010743	1.160105
195	1.017385	1.180273
196	1.029697	1.215324
197	1.008928	1.226174
198	0.997794	1.223470
199	0.990915	1.212354
200	0.985124	1.194319
201	1.003119	1.198044
202	0.988166	1.183866
203	0.967370	1.145236
204	1.000280	1.145556
205	0.985855	1.129353
206	0.995711	1.124509
207	1.019814	1.146791
208	1.003888	1.151249
209	0.996027	1.146675
210	0.994287	1.140124
211	1.001014	1.141280
212	1.001626	1.143136
213	0.991855	1.133826
214	1.001238	1.135230
215	0.992868	1.127134
216	0.999843	1.126956
217	0.989786	1.115446
218	0.998737	1.114038
219	1.022895	1.139543
220	1.010522	1.151533
221	1.008678	1.161526
222	0.985841	1.145080
223	0.998726	1.143622
224	0.985191	1.126686
225	1.000521	1.127273
226	0.986926	1.112535
227	1.017269	1.131747
228	1.010658	1.143809
229	1.005264	1.149830
230	1.007955	1.158976
231	0.993108	1.150989
232	0.998838	1.149651
233	0.997078	1.146292
234	1.005713	1.152841
235	0.985860	1.136540
236	0.988738	1.123740
237	0.978098	1.099127
238	1.005409	1.105073
239	1.008205	1.114140
240	1.010761	1.126129
241	1.007884	1.135006
242	1.016536	1.153775
243	1.007070	1.161932
244	0.994875	1.155977
