Running strategy ons_o_ on dataset djia.
Start Time: 2018-0725-22-10-07-789.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.980840	0.983405
3	0.998590	0.982018
4	0.990985	0.973165
5	1.006814	0.979796
6	1.008492	0.988117
7	0.998202	0.986340
8	1.016248	1.002366
9	0.994423	0.996776
10	1.003071	0.999837
11	0.977098	0.976938
12	1.010837	0.987525
13	1.015122	1.002458
14	0.996445	0.998894
15	1.012658	1.011538
16	0.987988	0.999388
17	1.004878	1.004263
18	1.020611	1.024962
19	1.012086	1.037350
20	1.004827	1.042357
21	0.996892	1.039116
22	1.008356	1.047800
23	0.995020	1.042581
24	0.996666	1.039106
25	0.993614	1.032471
26	0.994541	1.026834
27	1.022685	1.050128
28	1.001674	1.051886
29	0.988757	1.040060
30	1.010682	1.051169
31	0.994494	1.045381
32	1.001081	1.046512
33	0.970567	1.015710
34	0.998686	1.014376
35	0.997230	1.011566
36	1.031137	1.043064
37	0.999967	1.043030
38	0.986723	1.029181
39	0.990362	1.019262
40	1.008140	1.027559
41	1.001756	1.029363
42	1.006153	1.035697
43	1.015407	1.051654
44	1.017214	1.069757
45	0.982940	1.051508
46	0.957872	1.007210
47	1.020474	1.027831
48	0.964006	0.990835
49	1.016175	1.006863
50	0.981543	0.988279
51	1.013128	1.001253
52	0.971031	0.972247
53	0.975614	0.948538
54	0.997493	0.946160
55	1.033145	0.977520
56	1.022233	0.999253
57	1.036562	1.035788
58	0.990488	1.025935
59	1.002356	1.028352
60	1.019907	1.048823
61	0.991329	1.039728
62	0.970337	1.008887
63	0.985097	0.993851
64	1.053795	1.047315
65	0.974972	1.021103
66	0.999091	1.020175
67	1.032081	1.052903
68	1.013709	1.067337
69	1.011448	1.079557
70	0.998912	1.078382
71	1.004720	1.083472
72	1.060516	1.149039
73	1.007288	1.157413
74	0.978063	1.132024
75	0.994070	1.125311
76	0.994884	1.119554
77	1.014028	1.135259
78	1.003743	1.139508
79	1.022379	1.165009
80	0.991680	1.155316
81	1.022174	1.180933
82	1.002112	1.183428
83	0.987235	1.168321
84	1.009770	1.179736
85	0.998718	1.178224
86	0.986753	1.162616
87	1.002757	1.165821
88	1.004540	1.171114
89	0.994864	1.165099
90	1.005002	1.170926
91	0.993198	1.162961
92	1.038765	1.208043
93	1.021426	1.233927
94	1.003620	1.238394
95	1.011394	1.252504
96	0.998394	1.250492
97	0.989844	1.237792
98	1.002415	1.240781
99	0.985811	1.223176
100	1.003981	1.228045
101	0.986427	1.211377
102	1.002844	1.214822
103	1.007702	1.224179
104	0.999970	1.224142
105	1.007920	1.233837
106	0.987890	1.218895
107	0.998907	1.217563
108	0.991277	1.206942
109	0.998470	1.205095
110	1.002975	1.208680
111	0.996344	1.204261
112	0.974833	1.173954
113	0.994657	1.167682
114	0.997364	1.164603
115	0.997026	1.161139
116	1.007512	1.169862
117	1.002244	1.172487
118	0.989407	1.160067
119	0.995479	1.154822
120	0.999254	1.153960
121	0.997500	1.151075
122	1.017940	1.171725
123	0.985998	1.155319
124	1.008277	1.164881
125	1.007625	1.173763
126	0.999745	1.173464
127	0.976872	1.146324
128	1.005237	1.152328
129	0.986405	1.136662
130	1.010880	1.149029
131	1.016655	1.168165
132	1.013508	1.183945
133	0.998174	1.181784
134	1.011639	1.195538
135	1.003346	1.199539
136	1.005474	1.206106
137	0.995639	1.200846
138	0.989712	1.188492
139	0.991900	1.178865
140	1.014606	1.196083
141	0.999986	1.196066
142	1.006836	1.204242
143	0.999981	1.204219
144	1.011458	1.218017
145	1.007608	1.227284
146	1.000188	1.227516
147	0.996583	1.223321
148	0.992428	1.214057
149	1.006778	1.222286
150	0.991388	1.211760
151	0.999290	1.210900
152	1.009416	1.222302
153	0.998085	1.219961
154	0.999941	1.219889
155	0.996629	1.215777
156	1.002015	1.218227
157	0.987062	1.202465
158	1.016972	1.222873
159	0.983543	1.202748
160	1.008012	1.212384
161	0.998377	1.210416
162	1.020158	1.234816
163	0.994316	1.227797
164	0.981008	1.204479
165	0.988972	1.191196
166	0.984922	1.173235
167	1.005725	1.179952
168	0.979725	1.156028
169	0.998983	1.154852
170	0.970859	1.121199
171	0.988576	1.108390
172	0.998659	1.106904
173	0.888972	0.984007
174	0.966977	0.951512
175	0.963241	0.916536
176	0.942488	0.863824
177	1.017373	0.878831
178	1.077331	0.946792
179	1.007562	0.953952
180	0.990268	0.944668
181	1.001619	0.946198
182	1.026937	0.971686
183	0.985992	0.958074
184	1.009549	0.967222
185	1.049583	1.015180
186	0.991237	1.006284
187	0.999384	1.005664
188	1.004093	1.009781
189	1.012411	1.022313
190	1.014323	1.036955
191	1.025210	1.063097
192	0.996422	1.059293
193	0.997688	1.056844
194	1.008011	1.065310
195	0.971703	1.035165
196	0.984677	1.019303
197	1.009032	1.028509
198	1.017185	1.046183
199	0.995790	1.041779
200	1.005504	1.047513
201	1.027133	1.075935
202	1.011092	1.087870
203	0.963925	1.048624
204	0.980271	1.027936
205	0.998607	1.026505
206	1.021588	1.048665
207	1.002505	1.051292
208	1.018592	1.070838
209	1.040281	1.113973
210	0.995385	1.108832
211	1.005340	1.114753
212	0.997334	1.111781
213	0.992298	1.103219
214	1.020244	1.125552
215	1.026520	1.155402
216	1.018775	1.177094
217	1.002576	1.180127
218	1.018488	1.201945
219	0.989611	1.189458
220	0.991348	1.179167
221	1.021328	1.204317
222	1.013354	1.220400
223	0.985498	1.202702
224	0.975401	1.173117
225	1.016560	1.192544
226	1.003046	1.196176
227	0.987987	1.181807
228	1.019563	1.204927
229	1.033267	1.245011
230	1.015900	1.264807
231	0.997318	1.261415
232	0.985713	1.243393
233	0.998436	1.241449
234	0.988476	1.227142
235	0.985071	1.208823
236	0.995568	1.203465
237	1.000991	1.204657
238	1.009353	1.215925
239	1.013488	1.232325
240	0.993994	1.224923
241	1.007374	1.233956
242	1.002286	1.236777
243	1.003175	1.240703
244	1.005812	1.247915
245	1.009475	1.259739
246	0.990287	1.247504
247	1.009767	1.259688
248	1.019093	1.283739
249	1.020724	1.310343
250	0.997691	1.307317
251	0.994826	1.300553
252	0.997239	1.296963
253	1.002817	1.300617
254	0.984158	1.280013
255	0.982475	1.257581
256	1.009381	1.269378
257	0.968548	1.229453
258	1.016204	1.249375
259	0.997361	1.246078
260	1.001809	1.248332
261	0.999833	1.248123
262	1.022489	1.276192
263	1.006883	1.284976
264	0.997093	1.281241
265	0.969539	1.242213
266	1.025030	1.273305
267	1.013422	1.290395
268	0.998674	1.288683
269	0.970634	1.250840
270	1.000313	1.251232
271	0.990377	1.239191
272	1.011114	1.252964
273	1.012907	1.269136
274	1.010531	1.282502
275	0.997911	1.279823
276	1.010827	1.293680
277	1.006979	1.302708
278	0.990891	1.290842
279	0.977680	1.262031
280	1.020626	1.288062
281	0.991993	1.277749
282	0.998765	1.276171
283	1.027153	1.310824
284	0.999691	1.310419
285	1.007277	1.319955
286	1.007127	1.329363
287	1.021579	1.358049
288	1.039626	1.411863
289	0.995926	1.406111
290	1.016240	1.428946
291	0.993722	1.419975
292	1.013201	1.438720
293	1.018090	1.464746
294	0.996321	1.459357
295	0.986660	1.439890
296	0.992540	1.429149
297	1.003334	1.433913
298	0.996060	1.428264
