Running strategy ons_o_ on dataset msci.
Start Time: 2018-0726-13-13-40-001.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.006131	1.014166
3	1.005664	1.019911
4	1.002949	1.022919
5	0.989903	1.012590
6	1.000391	1.012986
7	0.993866	1.006773
8	0.995651	1.002394
9	1.000145	1.002540
10	1.000018	1.002558
11	1.013171	1.015762
12	1.002364	1.018163
13	1.012422	1.030810
14	1.001411	1.032265
15	1.008071	1.040597
16	0.998251	1.038777
17	1.001954	1.040807
18	1.006629	1.047707
19	1.003100	1.050954
20	1.000359	1.051332
21	1.003472	1.054982
22	1.007069	1.062439
23	0.995069	1.057201
24	1.007087	1.064693
25	1.008238	1.073464
26	1.003011	1.076696
27	1.002398	1.079278
28	0.996557	1.075562
29	0.995528	1.070753
30	0.987089	1.056929
31	0.982954	1.038912
32	1.000942	1.039890
33	0.981017	1.020150
34	0.992384	1.012381
35	0.995153	1.007474
36	0.977767	0.985074
37	1.027649	1.012311
38	0.986856	0.999005
39	1.006534	1.005532
40	1.017015	1.022641
41	1.006351	1.029136
42	0.990527	1.019387
43	1.000369	1.019763
44	1.000438	1.020210
45	1.012537	1.033001
46	0.994650	1.027474
47	0.975451	1.002251
48	0.997857	1.000103
49	0.968402	0.968501
50	1.014452	0.982498
51	0.987854	0.970565
52	0.969930	0.941380
53	1.008080	0.948986
54	1.027275	0.974870
55	1.004055	0.978823
56	1.000393	0.979208
57	0.999014	0.978242
58	1.004556	0.982699
59	1.000712	0.983399
60	0.998952	0.982369
61	1.003267	0.985579
62	0.999092	0.984684
63	0.990080	0.974916
64	1.015807	0.990327
65	1.033715	1.023716
66	1.007212	1.031099
67	1.005162	1.036422
68	0.983538	1.019360
69	1.007404	1.026907
70	1.004248	1.031269
71	0.998568	1.029792
72	0.995966	1.025638
73	0.994181	1.019670
74	0.983594	1.002941
75	0.985352	0.988251
76	0.988526	0.976912
77	0.996319	0.973316
78	1.020742	0.993504
79	1.014228	1.007640
80	0.993936	1.001530
81	1.002457	1.003990
82	1.011120	1.015155
83	1.001444	1.016621
84	1.017502	1.034413
85	1.004910	1.039492
86	1.003527	1.043158
87	0.994739	1.037670
88	1.014388	1.052601
89	0.996668	1.049094
90	1.011477	1.061134
91	0.990727	1.051294
92	1.004240	1.055752
93	1.005977	1.062062
94	0.987633	1.048928
95	0.998956	1.047833
96	1.005084	1.053161
97	1.009859	1.063544
98	1.012177	1.076494
99	1.004483	1.081320
100	0.997293	1.078393
101	1.001134	1.079616
102	0.997942	1.077394
103	0.998605	1.075891
104	0.998308	1.074070
105	0.997302	1.071173
106	1.000495	1.071704
107	1.002764	1.074666
108	1.008723	1.084040
109	1.003031	1.087326
110	1.003974	1.091647
111	1.008881	1.101342
112	0.995739	1.096650
113	0.990258	1.085966
114	0.987663	1.072568
115	0.998569	1.071034
116	0.992344	1.062834
117	1.007325	1.070620
118	1.005684	1.076705
119	1.006786	1.084012
120	0.996911	1.080664
121	1.004254	1.085260
122	0.999346	1.084550
123	1.000284	1.084858
124	0.999666	1.084495
125	0.995160	1.079246
126	0.993620	1.072361
127	1.007975	1.080913
128	1.014375	1.096451
129	1.003185	1.099944
130	0.997839	1.097567
131	1.001611	1.099336
132	0.993963	1.092699
133	1.002575	1.095513
134	1.013029	1.109787
135	0.992315	1.101258
136	1.003678	1.105309
137	1.003411	1.109079
138	0.999720	1.108769
139	1.005259	1.114600
140	1.005525	1.120759
141	1.007242	1.128875
142	0.995643	1.123957
143	1.003558	1.127956
144	1.006034	1.134762
145	1.003407	1.138628
146	0.997740	1.136054
147	1.000143	1.136217
148	1.004797	1.141667
149	1.009666	1.152702
150	1.001536	1.154473
151	0.996066	1.149932
152	1.003715	1.154204
153	1.004310	1.159179
154	0.993736	1.151917
155	0.999874	1.151772
156	1.009965	1.163250
157	1.006922	1.171302
158	0.995718	1.166286
159	1.001177	1.167659
160	1.003477	1.171719
161	0.995204	1.166100
162	1.005039	1.171976
163	1.001668	1.173931
164	1.001585	1.175791
165	0.995720	1.170758
166	0.995589	1.165594
167	1.006300	1.172938
168	1.011874	1.186866
169	1.000363	1.187296
170	1.001688	1.189301
171	0.994865	1.183194
172	0.998222	1.181090
173	1.013741	1.197319
174	1.005540	1.203953
175	0.999890	1.203821
176	1.003192	1.207663
177	1.004718	1.213361
178	1.003490	1.217595
179	1.002668	1.220844
180	1.000471	1.221419
181	0.997258	1.218069
182	1.003421	1.222236
183	1.002923	1.225809
184	1.005163	1.232137
185	1.000589	1.232863
186	1.001679	1.234933
187	0.997265	1.231556
188	1.006707	1.239816
189	0.997925	1.237243
190	0.996512	1.232928
191	0.997490	1.229833
192	0.999506	1.229225
193	1.007327	1.238232
194	1.001071	1.239559
195	1.000343	1.239984
196	1.000903	1.241104
197	1.010776	1.254478
198	0.995958	1.249407
199	0.991330	1.238575
200	0.989344	1.225377
201	1.003178	1.229272
202	1.000232	1.229557
203	0.988241	1.215099
