Running strategy ons_o_ on dataset sp500.
Start Time: 2018-0725-23-48-47-100.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.005824	1.005824
2	0.992858	0.998640
3	1.000538	0.999177
4	0.996374	0.995554
5	0.970240	0.965926
6	1.018042	0.983354
7	1.011865	0.995021
8	1.008071	1.003052
9	0.993182	0.996213
10	1.010707	1.006880
11	1.021346	1.028373
12	0.989292	1.017361
13	0.986636	1.003765
14	0.996337	1.000089
15	0.999710	0.999799
16	1.016435	1.016230
17	1.008878	1.025252
18	1.004246	1.029605
19	0.995175	1.024638
20	1.027626	1.052945
21	1.005041	1.058253
22	0.998073	1.056214
23	0.997716	1.053802
24	1.009382	1.063689
25	0.996284	1.059736
26	1.008339	1.068573
27	1.009854	1.079102
28	1.004064	1.083488
29	0.996133	1.079299
30	0.996081	1.075069
31	1.004151	1.079532
32	0.996616	1.075879
33	1.006827	1.083224
34	1.007071	1.090883
35	0.993398	1.083682
36	1.014462	1.099354
37	1.005230	1.105104
38	1.001015	1.106225
39	0.997215	1.103145
40	1.005122	1.108795
41	0.988499	1.096044
42	0.999716	1.095733
43	1.020294	1.117970
44	0.998181	1.115937
45	1.012311	1.129675
46	1.009563	1.140478
47	1.006581	1.147983
48	0.998548	1.146316
49	1.013595	1.161900
50	0.997535	1.159036
51	1.008263	1.168613
52	1.008672	1.178747
53	1.007713	1.187838
54	0.993157	1.179709
55	1.004833	1.185411
56	0.996501	1.181263
57	0.999024	1.180110
58	0.992885	1.171714
59	0.992741	1.163208
60	1.008975	1.173648
61	1.005877	1.180545
62	1.010894	1.193406
63	0.994010	1.186258
64	1.008273	1.196072
65	1.005606	1.202777
66	0.991579	1.192649
67	1.006948	1.200935
68	0.993857	1.193558
69	1.002860	1.196972
70	1.001891	1.199235
71	0.994864	1.193076
72	1.029103	1.227798
73	1.010635	1.240856
74	1.005315	1.247451
75	1.005137	1.253860
76	0.994938	1.247513
77	0.988865	1.233622
78	0.979553	1.208398
79	0.997043	1.204824
80	1.013456	1.221037
81	1.019348	1.244662
82	1.006096	1.252249
83	1.001393	1.253993
84	0.999385	1.253222
85	0.986850	1.236742
86	0.989150	1.223323
87	1.014854	1.241494
88	0.991429	1.230853
89	1.008819	1.241708
90	1.004079	1.246773
91	0.997641	1.243831
92	0.993897	1.236241
93	1.006457	1.244223
94	0.997757	1.241433
95	1.023630	1.270768
96	0.992674	1.261459
97	0.995412	1.255671
98	0.982696	1.233943
99	1.003879	1.238730
100	1.003645	1.243245
101	0.990691	1.231672
102	1.001988	1.234120
103	1.001725	1.236250
104	0.989020	1.222676
105	1.015615	1.241768
106	1.026755	1.274992
107	0.989766	1.261943
108	1.001066	1.263288
109	0.994824	1.256749
110	0.985521	1.238553
111	1.010167	1.251145
112	0.982956	1.229820
113	1.013342	1.246228
114	1.018045	1.268715
115	0.999594	1.268200
116	0.995852	1.262940
117	1.009995	1.275563
118	1.021616	1.303136
119	1.010535	1.316864
120	0.996038	1.311647
121	1.002492	1.314916
122	1.002026	1.317580
123	0.992987	1.308340
124	1.012787	1.325070
125	0.999908	1.324948
126	1.005044	1.331631
127	1.003773	1.336654
128	1.008665	1.348236
129	0.993236	1.339117
130	1.003889	1.344324
131	0.996437	1.339534
132	1.007432	1.349490
133	0.988535	1.334017
134	1.011767	1.349714
135	1.011641	1.365426
136	1.002359	1.368647
137	0.994022	1.360465
138	1.010810	1.375172
139	0.971452	1.335914
140	1.015818	1.357045
141	1.008435	1.368492
142	0.985819	1.349086
143	1.008438	1.360470
144	1.008637	1.372221
145	0.974425	1.337127
146	0.996079	1.331883
147	0.973568	1.296678
