Running strategy ons_o_ on dataset tse.
Start Time: 2018-0726-08-46-35-968.
-------------------------------------
Parameters [eta:0.000000, beta:1.000000, delta:0.125000, tc:0.000000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.011756	1.027848
3	1.003643	1.031593
4	1.005379	1.037141
5	1.006391	1.043770
6	0.996994	1.040632
7	1.003039	1.043794
8	0.997543	1.041230
9	1.009493	1.051115
10	0.996805	1.047757
11	1.006430	1.054493
12	1.007187	1.062072
13	0.996075	1.057903
14	0.996534	1.054237
15	0.992210	1.046025
16	1.003752	1.049950
17	1.012300	1.062864
18	0.995041	1.057593
19	0.999968	1.057559
20	1.007695	1.065697
21	1.008465	1.074718
22	0.991610	1.065701
23	0.998227	1.063812
24	0.981697	1.044341
25	1.009183	1.053932
26	0.992256	1.045770
27	1.002773	1.048670
28	0.994928	1.043352
29	0.994401	1.037510
30	0.995268	1.032600
31	1.008145	1.041011
32	1.001129	1.042186
33	0.999762	1.041938
34	1.008168	1.050448
35	0.994277	1.044437
36	0.999011	1.043404
37	1.006095	1.049763
38	0.983745	1.032700
39	1.014033	1.047192
40	1.021818	1.070040
41	0.992563	1.062082
42	0.989157	1.050566
43	1.006776	1.057685
44	1.009803	1.068053
45	1.005736	1.074179
46	0.997853	1.071873
47	0.999119	1.070929
48	1.008881	1.080440
49	1.007608	1.088660
50	0.999916	1.088568
51	0.993712	1.081724
52	1.000531	1.082299
53	1.005180	1.087905
54	1.000690	1.088656
55	1.004243	1.093274
56	1.007551	1.101529
57	1.026252	1.130446
58	0.991084	1.120367
59	0.996038	1.115928
60	0.992143	1.107161
61	0.976298	1.080919
62	0.973592	1.052374
63	1.012776	1.065819
64	0.978497	1.042900
65	1.025249	1.069232
66	1.002413	1.071812
67	1.006255	1.078516
68	1.003113	1.081874
69	0.988061	1.068957
70	0.996819	1.065556
71	0.995844	1.061127
72	0.988281	1.048692
73	1.008183	1.057274
74	0.973693	1.029460
75	0.982759	1.011711
76	0.985621	0.997163
77	1.026046	1.023136
78	1.001750	1.024926
79	1.030515	1.056201
80	1.004053	1.060482
81	1.015166	1.076565
82	0.990645	1.066494
83	1.001957	1.068581
84	1.002704	1.071470
85	0.994454	1.065527
86	1.000822	1.066403
87	1.003680	1.070328
88	1.005651	1.076376
89	0.979564	1.054379
90	1.010692	1.065652
91	0.988844	1.053763
92	1.011552	1.065936
93	0.991852	1.057251
94	1.007010	1.064662
95	1.007367	1.072506
96	0.999510	1.071981
97	1.000366	1.072373
98	0.992241	1.064052
99	1.000678	1.064773
100	0.997171	1.061761
101	1.013709	1.076317
102	1.006567	1.083385
103	1.013866	1.098408
104	1.003625	1.102389
105	0.990445	1.091856
106	0.995473	1.086914
107	1.002419	1.089543
108	0.985784	1.074054
109	0.991159	1.064558
110	0.989684	1.053577
111	1.013458	1.067756
112	1.008011	1.076310
113	0.983719	1.058787
114	0.989286	1.047443
115	0.986578	1.033384
116	0.973881	1.006393
117	0.996442	1.002813
118	0.984673	0.987442
119	0.981746	0.969418
120	1.006953	0.976158
121	0.982583	0.959157
122	0.989309	0.948903
123	1.027921	0.975397
124	1.008086	0.983284
125	1.034179	1.016892
126	0.990978	1.007718
127	1.039869	1.047895
128	0.991660	1.039155
129	0.997568	1.036628
130	1.008042	1.044964
131	1.022668	1.068652
132	1.004538	1.073502
133	1.005964	1.079904
134	1.012877	1.093810
135	1.010350	1.105131
136	0.998657	1.103647
137	0.995759	1.098966
138	0.972016	1.068213
139	1.003191	1.071622
140	1.002588	1.074395
141	1.009197	1.084277
142	1.009030	1.094068
143	1.003601	1.098008
144	0.991397	1.088561
145	0.989944	1.077615
146	1.008024	1.086262
147	0.988192	1.073435
148	0.999109	1.072478
149	0.993253	1.065243
150	0.997769	1.062866
151	1.004429	1.067574
152	1.004348	1.072216
153	1.015905	1.089269
154	0.991867	1.080410
155	1.009217	1.090367
156	0.997783	1.087950
157	1.000206	1.088174
158	0.999905	1.088071
159	0.993299	1.080780
160	1.008928	1.090430
161	1.003531	1.094280
162	0.986361	1.079355
163	1.010918	1.091140
164	1.020169	1.113148
165	1.025667	1.141718
166	1.006692	1.149359
167	0.990859	1.138852
168	0.989878	1.127325
169	1.031086	1.162369
170	1.021130	1.186930
171	1.006938	1.195164
172	0.999541	1.194616
173	1.017305	1.215289
174	0.987423	1.200004
175	1.001404	1.201689
176	0.999265	1.200806
177	1.003271	1.204734
178	1.016127	1.224163
179	0.999541	1.223601
180	1.005442	1.230260
181	0.990187	1.218188
182	1.001325	1.219802
183	0.993595	1.211989
184	0.994618	1.205466
185	0.991262	1.194932
186	1.009464	1.206242
187	1.001936	1.208577
188	0.996610	1.204480
189	0.996531	1.200301
190	0.998025	1.197930
191	0.979391	1.173242
192	0.975098	1.144026
193	1.002974	1.147428
194	1.010608	1.159601
195	1.017142	1.179478
196	1.029396	1.214150
197	1.008744	1.224767
198	0.997748	1.222008
199	0.991054	1.211076
200	0.985862	1.193954
201	1.003287	1.197878
202	0.988572	1.184190
203	0.968753	1.147188
204	1.000244	1.147467
205	0.986009	1.131413
206	0.996409	1.127350
207	1.018957	1.148722
208	1.004436	1.153818
209	0.996548	1.149834
210	0.994396	1.143391
211	1.000162	1.143576
212	1.001605	1.145412
213	0.992176	1.136450
214	1.001226	1.137843
215	0.993736	1.130716
216	0.999836	1.130530
217	0.990215	1.119468
218	0.998459	1.117743
219	1.022427	1.142811
220	1.010268	1.154545
221	1.008407	1.164252
222	0.985941	1.147884
223	0.997725	1.145273
224	0.985251	1.128381
225	0.999853	1.128215
226	0.986916	1.113454
227	1.016767	1.132123
228	1.010140	1.143603
229	1.004469	1.148715
230	1.007463	1.157288
231	0.993288	1.149520
232	0.998353	1.147626
233	0.997210	1.144425
234	1.005039	1.150191
235	0.986838	1.135052
236	0.989334	1.122946
237	0.978452	1.098748
238	1.004874	1.104104
239	1.007956	1.112888
240	1.009992	1.124008
241	1.007783	1.132756
242	1.016046	1.150932
243	1.006467	1.158375
244	0.995300	1.152930
