Running strategy pamr_o on dataset djia.
Start Time: 2018-0309-11-42-41-017.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.981833	0.984401
3	1.024486	1.008505
4	0.970985	0.979243
5	1.004828	0.983970
6	0.982108	0.966365
7	1.013096	0.979021
8	1.005670	0.984572
9	1.001024	0.985580
10	0.980803	0.966659
11	0.942127	0.910716
12	1.067073	0.971801
13	1.022578	0.993742
14	1.007808	1.001501
15	0.963028	0.964474
16	0.992005	0.956763
17	1.011594	0.967856
18	1.033732	1.000503
19	1.000527	1.001030
20	1.020659	1.021710
21	1.003326	1.025108
22	0.983925	1.008630
23	1.021620	1.030437
24	0.998637	1.029032
25	0.996395	1.025322
26	0.974003	0.998667
27	1.013735	1.012384
28	1.009349	1.021849
29	1.052096	1.075083
30	1.009598	1.085402
31	0.992054	1.076777
32	0.920616	0.991298
33	0.983443	0.974885
34	0.976262	0.951743
35	0.986693	0.939078
36	1.012500	0.950816
37	0.987743	0.939162
38	0.996239	0.935630
39	0.957975	0.896309
40	1.023380	0.917265
41	0.996985	0.914500
42	1.009452	0.923144
43	0.980041	0.904719
44	1.023715	0.926175
45	0.967928	0.896470
46	0.951249	0.852766
47	1.047301	0.893103
48	0.992647	0.886535
49	1.034290	0.916935
50	0.965291	0.885109
51	1.086957	0.962075
52	0.916574	0.881814
53	1.037759	0.915110
54	0.983292	0.899821
55	1.045306	0.940587
56	1.014389	0.954122
57	0.980455	0.935474
58	1.036272	0.969405
59	0.985895	0.955731
60	1.020714	0.975528
61	0.989747	0.965526
62	0.948061	0.915378
63	0.977488	0.894770
64	1.132567	1.013388
65	1.001497	1.014904
66	0.983373	0.998030
67	1.019436	1.017427
68	1.002592	1.020065
69	1.001469	1.021563
70	0.998962	1.020504
71	0.990114	1.010415
72	1.014096	1.024658
73	1.010135	1.035043
74	0.978944	1.013249
75	1.008694	1.022058
76	0.961082	0.982282
77	1.013827	0.995864
78	0.994986	0.990871
79	1.015748	1.006475
80	1.009386	1.015922
81	1.018969	1.035193
82	0.993748	1.028720
83	0.986370	1.014699
84	1.015789	1.030720
85	1.000743	1.031486
86	0.970528	1.001087
87	1.007264	1.008359
88	0.969262	0.977363
89	0.963116	0.941314
90	0.987061	0.929135
91	0.992339	0.922016
92	0.993269	0.915810
93	1.002130	0.917761
94	1.009395	0.926383
95	1.031533	0.955595
96	0.983063	0.939410
97	0.994356	0.934108
98	0.997367	0.931648
99	0.996723	0.928595
100	0.999726	0.928340
101	0.957258	0.888661
102	1.015614	0.902537
103	1.008358	0.910080
104	0.996290	0.906704
105	1.007124	0.913163
106	0.991401	0.905311
107	0.993103	0.899067
108	0.975721	0.877238
109	0.992411	0.870581
110	0.981433	0.854417
111	0.978435	0.835992
112	0.897735	0.750499
113	1.043127	0.782865
114	0.993660	0.777902
115	0.995072	0.774069
116	1.023100	0.791950
117	0.982985	0.778475
118	0.992923	0.772966
119	0.992292	0.767007
120	0.992649	0.761369
121	0.992348	0.755543
122	1.014143	0.766228
123	0.988503	0.757419
124	1.012379	0.766795
125	1.017737	0.780396
126	0.985376	0.768983
127	0.982137	0.755247
128	1.000433	0.755574
129	0.988725	0.747055
130	1.011396	0.755569
131	1.027146	0.776079
132	1.003412	0.778727
133	0.991373	0.772009
134	1.012525	0.781678
135	1.004580	0.785258
136	1.005823	0.789831
137	1.006856	0.795246
138	0.971611	0.772670
139	0.986212	0.762016
140	1.029676	0.784630
141	0.985977	0.773627
142	1.000283	0.773846
143	1.003260	0.776368
144	1.010359	0.784410
145	0.997840	0.782716
146	0.997846	0.781029
147	1.003867	0.784050
148	0.994626	0.779836
149	1.015220	0.791705
150	0.984160	0.779165
151	0.999721	0.778948
152	1.010355	0.787014
153	0.990134	0.779249
154	1.002500	0.781197
155	0.988215	0.771991
156	1.006397	0.776929
157	0.985054	0.765317
158	1.000131	0.765417
159	0.986637	0.755188
160	1.024498	0.773689
161	0.997812	0.771996
162	1.020018	0.787450
163	0.991719	0.780929
164	1.007345	0.786666
165	0.988295	0.777457
166	0.983214	0.764407
167	1.006492	0.769369
168	0.966486	0.743584
169	0.997435	0.741677
170	0.968986	0.718674
171	1.003610	0.721269
172	0.977586	0.705102
173	0.873873	0.616170
174	0.973965	0.600128
175	0.974238	0.584667
176	0.925304	0.540995
177	0.987332	0.534141
178	1.031970	0.551218
179	1.021897	0.563288
180	0.992059	0.558815
181	0.995041	0.556044
182	1.033853	0.574867
183	0.984122	0.565740
184	1.022339	0.578378
185	1.058791	0.612382
186	0.991087	0.606924
187	1.006811	0.611057
188	0.996949	0.609193
189	1.033628	0.629679
190	1.035532	0.652053
191	1.009868	0.658487
192	0.989164	0.651352
193	0.990787	0.645352
194	1.001926	0.646594
195	0.982889	0.635530
196	0.990110	0.629245
197	1.002220	0.630642
198	1.025622	0.646800
199	0.959470	0.620585
200	1.009967	0.626771
201	0.997491	0.625198
202	1.008420	0.630462
203	0.987720	0.622720
204	0.977208	0.608527
205	0.980196	0.596476
206	1.035027	0.617369
207	1.029173	0.635379
208	1.036505	0.658573
209	1.029980	0.678317
210	0.992051	0.672925
211	1.001468	0.673913
212	1.024504	0.690427
213	0.996588	0.688071
214	1.026384	0.706224
215	1.010252	0.713465
216	1.002587	0.715310
217	1.009377	0.722018
218	1.015580	0.733267
219	0.999930	0.733215
220	0.999515	0.732860
221	1.021701	0.748763
222	0.987799	0.739627
223	0.978059	0.723399
224	1.001299	0.724339
225	1.017848	0.737267
226	0.998426	0.736107
227	0.981216	0.722280
228	1.019189	0.736140
229	0.992791	0.730833
230	0.991703	0.724769
231	1.011825	0.733340
232	0.987637	0.724274
233	0.994163	0.720047
234	0.982161	0.707202
235	0.988365	0.698974
236	1.004994	0.702464
237	1.003950	0.705239
238	1.016614	0.716956
239	1.006108	0.721335
240	1.001752	0.722599
241	0.995215	0.719141
242	1.007525	0.724553
243	1.002200	0.726146
244	1.007765	0.731785
245	1.000164	0.731905
246	0.994996	0.728242
247	1.011334	0.736496
248	1.005381	0.740460
249	0.991273	0.733997
250	0.974706	0.715431
251	1.022110	0.731250
252	0.998479	0.730137
253	1.011139	0.738270
254	0.992791	0.732948
255	0.988696	0.724663
256	0.993112	0.719672
257	0.954776	0.687125
258	1.005245	0.690729
259	1.009293	0.697148
260	0.978336	0.682045
261	0.998803	0.681228
262	1.005161	0.684744
263	0.997117	0.682769
264	1.026803	0.701070
265	0.953717	0.668622
266	1.038173	0.694146
267	1.014677	0.704334
268	1.036470	0.730021
269	0.954688	0.696942
270	0.980213	0.683151
271	1.005765	0.687090
272	1.014659	0.697162
273	1.011352	0.705076
274	1.009911	0.712065
275	1.000614	0.712502
276	1.018166	0.725445
277	0.995024	0.721835
278	0.986046	0.711763
279	0.961936	0.684670
280	1.033302	0.707471
281	0.987564	0.698672
282	1.011003	0.706360
283	1.037812	0.733069
284	0.996560	0.730547
285	1.001823	0.731879
286	0.985280	0.721106
287	1.063130	0.766629
288	1.023689	0.784790
289	0.988003	0.775374
290	1.017446	0.788902
291	0.992945	0.783336
292	1.020092	0.799075
293	1.002435	0.801021
294	1.002375	0.802923
295	0.974568	0.782503
296	0.988862	0.773788
297	1.009675	0.781274
298	0.994731	0.777158
299	1.002652	0.779219
300	0.981749	0.764997
301	1.021404	0.781371
302	0.995761	0.778059
303	0.986905	0.767871
304	1.006131	0.772579
305	1.007729	0.778550
306	1.003295	0.781116
307	0.999857	0.781004
308	0.999413	0.780545
309	0.989558	0.772395
310	1.006371	0.777316
311	1.003168	0.779779
312	0.972579	0.758396
313	0.996169	0.755491
314	1.016726	0.768127
315	0.949229	0.729129
316	1.020712	0.744230
317	0.992225	0.738444
318	1.035407	0.764591
319	0.998721	0.763613
320	0.974798	0.744368
