Running strategy pamr_o on dataset msci.
Start Time: 2018-0306-01-17-53-158.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.013756	1.021852
3	1.009641	1.031703
4	1.017418	1.049673
5	0.982990	1.031818
6	1.005095	1.037075
7	0.996693	1.033646
8	0.999500	1.033129
9	0.996847	1.029871
10	1.000000	1.029871
11	1.017483	1.047876
12	1.012375	1.060844
13	1.007044	1.068317
14	0.993895	1.061795
15	1.016968	1.079811
16	0.995427	1.074872
17	1.003709	1.078859
18	1.016837	1.097023
19	1.007152	1.104869
20	0.997553	1.102166
21	1.009446	1.112577
22	1.005599	1.118806
23	0.997827	1.116375
24	1.009891	1.127417
25	0.978196	1.102834
26	1.002873	1.106002
27	1.013771	1.121233
28	0.999948	1.121175
29	0.992958	1.113279
30	0.973754	1.084061
31	0.996690	1.080472
32	0.996951	1.077178
33	1.011053	1.089084
34	0.993451	1.081951
35	0.991028	1.072244
36	0.982793	1.053794
37	1.033034	1.088604
38	1.010738	1.100294
39	1.003003	1.103597
40	1.013142	1.118101
41	1.010363	1.129687
42	0.997836	1.127243
43	1.002773	1.130368
44	1.002598	1.133305
45	1.014250	1.149454
46	0.995303	1.144056
47	0.976588	1.117271
48	0.996889	1.113796
49	0.947556	1.055385
50	1.027836	1.084762
51	0.992417	1.076536
52	0.954195	1.027226
53	1.003878	1.031210
54	0.979566	1.010138
55	1.007026	1.017234
56	1.001485	1.018746
57	1.003201	1.022006
58	1.003778	1.025867
59	0.996271	1.022042
60	0.996564	1.018531
61	0.997679	1.016166
62	1.013462	1.029846
63	0.996226	1.025959
64	1.004600	1.030678
65	1.005656	1.036508
66	1.010344	1.047230
67	1.004084	1.051506
68	0.989640	1.040613
69	0.996927	1.037415
70	1.011267	1.049103
71	0.995709	1.044601
72	1.000186	1.044795
73	0.998492	1.043220
74	0.961763	1.003331
75	0.994407	0.997719
76	0.977231	0.975002
77	1.009585	0.984348
78	1.003885	0.988172
79	1.000875	0.989037
80	0.992189	0.981311
81	0.996340	0.977720
82	1.031840	1.008851
83	0.999698	1.008546
84	1.020714	1.029437
85	1.002412	1.031919
86	1.006590	1.038719
87	0.989192	1.027493
88	1.020411	1.048465
89	1.007307	1.056126
90	1.012219	1.069031
91	1.001077	1.070182
92	1.014839	1.086063
93	1.008897	1.095726
94	0.991976	1.086934
95	0.998880	1.085716
96	1.011143	1.097814
97	1.010232	1.109047
98	1.007503	1.117368
99	1.007704	1.125976
100	1.003706	1.130149
101	0.987584	1.116117
102	0.998402	1.114333
103	0.999686	1.113983
104	0.995120	1.108546
105	0.996484	1.104649
106	0.993173	1.097107
107	1.012807	1.111158
108	1.014863	1.127673
109	1.011703	1.140870
110	1.003243	1.144570
111	1.004986	1.150276
112	0.997341	1.147218
113	0.981344	1.125816
114	0.977813	1.100838
115	0.989564	1.089350
116	0.997152	1.086248
117	1.004343	1.090965
118	1.003892	1.095211
119	1.004172	1.099780
120	0.996830	1.096294
121	1.010765	1.108095
122	1.003133	1.111567
123	0.998057	1.109407
124	1.005858	1.115906
125	0.995025	1.110355
126	1.008560	1.119860
127	1.033401	1.157264
128	1.018210	1.178337
129	1.002877	1.181727
130	0.990627	1.170650
131	1.004140	1.175496
132	0.995641	1.170373
133	1.002611	1.173428
134	1.020339	1.197294
135	0.992649	1.188493
136	1.006312	1.195995
137	1.012103	1.210470
138	0.999153	1.209444
139	1.010901	1.222629
