Running strategy pamr_o on dataset msci.
Start Time: 2018-0306-10-43-14-915.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.013756	1.021852
3	1.009641	1.031703
4	1.017418	1.049673
5	0.982990	1.031818
6	1.005095	1.037075
7	0.996693	1.033646
8	0.999500	1.033129
9	0.996847	1.029871
10	1.000000	1.029871
11	1.017483	1.047876
12	1.012375	1.060844
13	1.010015	1.071468
14	0.993392	1.064387
15	1.016868	1.082342
16	0.996087	1.078107
17	1.003709	1.082105
18	1.017776	1.101341
19	1.006760	1.108786
20	0.997553	1.106073
21	1.008397	1.115360
22	1.005599	1.121605
23	0.999012	1.120497
24	1.009920	1.131612
25	0.978196	1.106938
26	1.002873	1.110118
27	1.013771	1.125406
28	0.999954	1.125354
29	0.992958	1.117429
30	0.973754	1.088102
31	0.996690	1.084500
32	1.003131	1.087896
33	1.011053	1.099920
34	0.991002	1.090023
35	0.991028	1.080244
36	0.982793	1.061656
37	1.035026	1.098841
38	0.981962	1.079021
39	1.000865	1.079954
40	1.019585	1.101105
41	1.012065	1.114390
42	0.998406	1.112614
43	1.001738	1.114548
44	1.002598	1.117444
45	1.014250	1.133367
46	0.994948	1.127640
47	0.977151	1.101875
48	0.996548	1.098071
49	0.948403	1.041414
50	1.027801	1.070367
51	0.991954	1.061755
52	0.954195	1.013121
53	1.003878	1.017050
54	0.979566	0.996268
55	1.007026	1.003267
56	1.000967	1.004237
57	1.003852	1.008105
58	1.003825	1.011961
59	0.993639	1.005524
60	0.996564	1.002069
61	0.997683	0.999747
62	1.013173	1.012917
63	0.983444	0.996147
64	1.013551	1.009646
65	1.019729	1.029565
66	1.008520	1.038337
67	1.005146	1.043680
68	0.987100	1.030217
69	1.008166	1.038629
70	1.010921	1.049973
71	0.997303	1.047141
72	0.994893	1.041793
73	1.005323	1.047338
74	0.975376	1.021548
75	0.986711	1.007973
76	0.980491	0.988308
77	0.993869	0.982249
78	1.003885	0.986065
79	1.021354	1.007121
80	0.992186	0.999251
81	1.003554	1.002803
82	1.031840	1.034732
83	1.000461	1.035209
84	1.020714	1.056652
85	1.002556	1.059353
86	1.006620	1.066365
87	0.989135	1.054779
88	1.020411	1.076308
89	1.007307	1.084172
90	1.012121	1.097314
91	1.001077	1.098496
92	1.014403	1.114318
93	1.008897	1.124232
94	0.989571	1.112508
95	0.999474	1.111923
96	1.010989	1.124142
97	1.011049	1.136563
98	1.008608	1.146346
99	1.004225	1.151189
100	1.003706	1.155455
101	0.987584	1.141110
102	0.998360	1.139239
103	0.998767	1.137834
104	0.996135	1.133436
105	0.996618	1.129602
106	0.993173	1.121890
107	1.001820	1.123932
108	1.014863	1.140637
109	1.011703	1.153986
110	1.003243	1.157728
111	1.004986	1.163500
112	0.996332	1.159232
113	0.981344	1.137606
114	0.977813	1.112366
115	0.989564	1.100758
116	0.994446	1.094644
117	1.003559	1.098541
118	1.005041	1.104078
119	1.017558	1.123464
120	1.004161	1.128138
121	1.004977	1.133754
122	0.998457	1.132004
123	1.000506	1.132577
124	1.006658	1.140117
125	0.994617	1.133980
126	0.995076	1.128397
127	1.008720	1.138236
128	1.019906	1.160894
129	1.002918	1.164281
130	0.990627	1.153368
131	1.004140	1.158142
132	0.995641	1.153094
133	1.002612	1.156107
134	1.020190	1.179448
135	0.992649	1.170778
136	1.005501	1.177218
137	1.012105	1.191469
138	0.999729	1.191146
139	1.010901	1.204131
