Running strategy pamr_o on dataset nyse-n.
Start Time: 2018-0306-10-42-47-745.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	0.991464	0.991464
2	0.977420	0.969077
3	0.988887	0.958307
4	1.013485	0.971230
5	0.976077	0.947995
6	1.021740	0.968604
7	1.008366	0.976708
8	0.995196	0.972016
9	1.029461	1.000652
10	1.000252	1.000904
11	1.000675	1.001580
12	1.000077	1.001657
13	0.988424	0.990063
14	1.034010	1.023735
15	0.998645	1.022347
16	1.016964	1.039691
17	1.021886	1.062446
18	1.008725	1.071716
19	1.005709	1.077834
20	0.983922	1.060505
21	1.000000	1.060505
22	0.992006	1.052027
23	0.994902	1.046664
24	1.011208	1.058395
25	1.005798	1.064532
26	0.986626	1.050294
27	1.008781	1.059517
28	1.000764	1.060327
29	0.995142	1.055176
30	0.994437	1.049307
31	0.992280	1.041206
32	1.003890	1.045256
33	0.989813	1.034608
34	1.005849	1.040660
35	1.015305	1.056587
36	0.994843	1.051138
37	1.003932	1.055272
38	1.029237	1.086125
39	1.028570	1.117155
40	0.970210	1.083875
41	1.010210	1.094941
42	1.009682	1.105542
43	0.999840	1.105365
44	1.010111	1.116541
45	0.972650	1.086004
46	0.984360	1.069019
47	0.995408	1.064110
48	1.000487	1.064629
49	1.006850	1.071922
50	1.016134	1.089216
51	1.001761	1.091134
52	1.025956	1.119455
53	1.010457	1.131161
54	1.008443	1.140712
55	0.994455	1.134387
56	0.996583	1.130511
57	1.005775	1.137039
58	0.983570	1.118358
59	1.002855	1.121551
60	1.000040	1.121595
61	1.004474	1.126613
62	1.004831	1.132055
63	1.011552	1.145132
64	0.998536	1.143456
65	1.001613	1.145300
66	1.008921	1.155518
67	0.994322	1.148957
68	1.004446	1.154065
69	1.004392	1.159134
70	1.001042	1.160341
71	1.007917	1.169528
72	0.994108	1.162637
73	0.995690	1.157625
74	1.017164	1.177495
75	0.993862	1.170268
76	1.000268	1.170582
77	0.990902	1.159932
78	1.010584	1.172209
79	0.996784	1.168439
80	0.990382	1.157201
81	1.005142	1.163151
82	0.975009	1.134083
83	1.006851	1.141852
84	0.983874	1.123439
85	0.995878	1.118808
86	1.000000	1.118808
87	0.986780	1.104018
88	1.026205	1.132948
89	0.994000	1.126150
90	1.002230	1.128661
91	1.002460	1.131438
92	0.994221	1.124899
93	0.998839	1.123593
94	1.001634	1.125429
95	1.000000	1.125429
96	1.038030	1.168229
97	1.036398	1.210751
98	0.999557	1.210214
99	0.970790	1.174864
100	0.962400	1.130689
101	1.031270	1.166045
102	1.000000	1.166045
103	1.001511	1.167808
104	0.999363	1.167063
105	1.000000	1.167063
106	0.984510	1.148986
107	1.002537	1.151901
108	1.000000	1.151901
109	1.003810	1.156289
110	1.000756	1.157164
111	0.989834	1.145399
112	0.992588	1.136909
113	0.997400	1.133953
114	0.982400	1.113996
115	1.019150	1.135329
116	0.994102	1.128632
117	0.998170	1.126567
118	0.994817	1.120727
119	1.009134	1.130964
120	1.000240	1.131236
121	0.996467	1.127239
122	1.007143	1.135291
123	0.996298	1.131088
124	1.022409	1.156434
125	1.008777	1.166585
126	1.002365	1.169344
127	0.998131	1.167158
128	0.985965	1.150776
129	0.997481	1.147877
130	0.992937	1.139770
131	0.991266	1.129815
132	1.015202	1.146990
133	1.001387	1.148581
134	0.994895	1.142718
135	0.997966	1.140394
136	1.003819	1.144750
137	1.004065	1.149403
138	0.989331	1.137140
139	1.016404	1.155793
140	1.002960	1.159215
141	1.012835	1.174093
142	0.997346	1.170977
143	0.997608	1.168175
144	0.995513	1.162934
145	0.989772	1.151040
146	1.005809	1.157727
147	1.008915	1.168048
148	0.999409	1.167357
149	0.992944	1.159120
150	0.995814	1.154268
151	0.986523	1.138713
152	1.007058	1.146749
153	1.019800	1.169455
154	1.005241	1.175584
155	0.995566	1.170372
156	0.994147	1.163521
157	0.998855	1.162189
158	0.985467	1.145299
159	0.998205	1.143244
160	0.999664	1.142859
161	1.020130	1.165865
162	1.001838	1.168007
163	0.985650	1.151246
164	1.003855	1.155685
165	1.000000	1.155685
166	1.007335	1.164162
167	1.004764	1.169709
168	0.998914	1.168439
169	1.000000	1.168439
170	0.999485	1.167838
171	1.000000	1.167838
172	0.970511	1.133399
173	1.035710	1.173873
174	0.984438	1.155606
175	0.996656	1.151741
176	0.982825	1.131960
177	0.969808	1.097785
178	1.037290	1.138721
179	1.002265	1.141300
180	1.007462	1.149817
181	0.997818	1.147309
182	1.006420	1.154674
183	0.989784	1.142877
184	1.015089	1.160123
185	1.034480	1.200124
186	0.993765	1.192641
187	0.967302	1.153643
188	1.000000	1.153643
189	0.996360	1.149444
190	1.006418	1.156821
191	1.000989	1.157965
192	1.010958	1.170655
193	1.006623	1.178408
194	0.986182	1.162125
195	0.995147	1.156485
196	1.000476	1.157036
197	0.968989	1.121155
198	1.000000	1.121155
199	1.001968	1.123362
200	0.966176	1.085364
201	1.033011	1.121194
202	0.993161	1.113526
203	1.010857	1.125615
204	1.001969	1.127832
205	0.996813	1.124237
206	0.998893	1.122993
207	0.989824	1.111565
208	0.985345	1.095275
209	1.007950	1.103983
210	1.034257	1.141803
211	1.065170	1.216214
212	0.995351	1.210560
213	1.026212	1.242291
214	1.010797	1.255704
215	1.003555	1.260169
216	1.023157	1.289351
217	1.005441	1.296366
218	1.010298	1.309716
219	1.012863	1.326563
220	1.010929	1.341062
221	0.992552	1.331073
222	1.006666	1.339945
223	0.989799	1.326277
224	1.014158	1.345054
225	1.005277	1.352152
226	0.998464	1.350074
227	1.017107	1.373170
228	1.013600	1.391845
229	0.991143	1.379518
230	1.012490	1.396748
231	1.007697	1.407498
232	1.003377	1.412251
233	0.982967	1.388196
234	0.989674	1.373861
235	1.021740	1.403729
236	0.998214	1.401222
237	1.008283	1.412829
238	1.009866	1.426769
239	0.995477	1.420315
240	0.980828	1.393085
241	1.045108	1.455925
