Running strategy pamr_o on dataset nyse-o.
Start Time: 2018-0307-08-13-53-613.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.014899	1.014899
2	1.000000	1.014899
3	0.987650	1.002365
4	1.005161	1.007538
5	1.073770	1.081864
6	1.010423	1.093141
7	0.944501	1.032472
8	1.071430	1.106222
9	0.996787	1.102668
10	0.955717	1.053838
11	1.027030	1.082323
12	0.973017	1.053118
13	0.969649	1.021154
14	1.000000	1.021154
15	0.993548	1.014566
16	1.001568	1.016157
17	1.057807	1.074899
18	0.993647	1.068069
19	1.000000	1.068069
20	1.029315	1.099380
21	1.002148	1.101742
22	1.020740	1.124592
23	1.000000	1.124592
24	0.993010	1.116731
25	0.990260	1.105854
26	0.997315	1.102885
27	0.967259	1.066775
28	0.991950	1.058188
29	1.013420	1.072389
30	1.007593	1.080531
31	1.010874	1.092282
32	0.999354	1.091576
33	1.022864	1.116534
34	0.982133	1.096584
35	1.000000	1.096584
36	1.019356	1.117810
37	0.966525	1.080392
38	1.011506	1.092823
39	1.033080	1.128973
40	1.041070	1.175340
41	1.021139	1.200186
42	1.006562	1.208061
43	1.000880	1.209125
44	1.000000	1.209125
45	0.989357	1.196257
46	1.037868	1.241556
47	1.076920	1.337057
48	1.002194	1.339990
49	1.076920	1.443062
50	1.004503	1.449560
51	1.000000	1.449560
52	1.014586	1.470704
53	0.991740	1.458556
54	1.000483	1.459260
55	0.998985	1.457779
56	0.995802	1.451659
57	0.962879	1.397772
58	0.945751	1.321945
59	1.058260	1.398961
60	1.000854	1.400155
61	1.166670	1.633519
62	1.025686	1.675477
63	0.968750	1.623119
64	1.076177	1.746763
65	1.003279	1.752490
66	1.011498	1.772640
67	1.007223	1.785443
68	0.992770	1.772535
69	0.994332	1.762488
70	1.008992	1.778337
71	1.000337	1.778937
72	0.996234	1.772237
73	0.995229	1.763781
74	1.015190	1.790572
75	0.993212	1.778418
76	1.006933	1.790748
77	0.995309	1.782348
78	0.997537	1.777959
79	0.968892	1.722650
80	1.049950	1.808696
81	0.981359	1.774980
82	1.056138	1.874623
83	1.029410	1.929756
84	1.000000	1.929756
85	1.002866	1.935287
86	1.009022	1.952748
87	1.000000	1.952748
88	1.022914	1.997493
89	1.013993	2.025444
90	1.000000	2.025444
91	1.016746	2.059361
92	1.049210	2.160702
93	1.002189	2.165431
94	1.000000	2.165431
95	1.000000	2.165431
96	1.007405	2.181466
97	1.000000	2.181466
98	0.992512	2.165132
99	1.000000	2.165132
100	1.007883	2.182200
101	0.995218	2.171766
102	1.043324	2.265856
103	1.023919	2.320052
104	1.090556	2.530147
105	0.986248	2.495352
106	1.000000	2.495352
107	1.023516	2.554032
108	1.000662	2.555723
109	1.000000	2.555723
110	1.000000	2.555723
111	0.992325	2.536109
112	1.011638	2.565625
113	0.984973	2.527072
114	1.000000	2.527072
115	0.983665	2.485791
116	1.000000	2.485791
117	0.981621	2.440105
118	0.999544	2.438992
119	0.959686	2.340665
120	1.030300	2.411588
121	1.000000	2.411588
122	1.001784	2.415889
123	1.000000	2.415889
124	1.003736	2.424915
125	1.002049	2.429882
126	1.002481	2.435911
127	1.022876	2.491636
128	1.016883	2.533703
129	1.019775	2.583807
130	1.015513	2.623890
131	1.006916	2.642038
132	1.007703	2.662390
133	1.007872	2.683348
134	1.016925	2.728764
135	1.007104	2.748149
136	1.005425	2.763057
137	1.007705	2.784347
138	0.999490	2.782928
139	0.987287	2.747549
140	1.027831	2.824017
141	0.998356	2.819375
142	0.923080	2.602508
143	1.083330	2.819375
144	1.023846	2.886607
145	0.916670	2.646066
146	1.090910	2.886620
147	1.014411	2.928218
148	0.983351	2.879467
149	1.011141	2.911548
150	0.985658	2.869791
151	1.043480	2.994570
152	1.000000	2.994570
153	1.000000	2.994570
154	1.004638	3.008460
155	1.007549	3.031172
156	1.100000	3.334289
157	1.007120	3.358031
158	1.000000	3.358031
159	0.954183	3.204175
