Running strategy pamr_o on dataset sp500.
Start Time: 2018-0306-23-47-04-498.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.005824	1.005824
2	0.999695	1.005517
3	1.024073	1.029723
4	0.988510	1.017891
5	0.963778	0.981021
6	1.047742	1.027857
7	1.001840	1.029749
8	0.976277	1.005320
9	0.980000	0.985213
10	1.007554	0.992655
11	1.018545	1.011064
12	0.994600	1.005604
13	0.992509	0.998072
14	1.029173	1.027189
15	0.988247	1.015116
16	1.028192	1.043734
17	1.005181	1.049142
18	1.004120	1.053464
19	1.007726	1.061603
20	1.011706	1.074030
21	0.989881	1.063162
22	1.007105	1.070716
23	0.982880	1.052385
24	1.052441	1.107573
25	1.000000	1.107573
26	1.003662	1.111629
27	1.041339	1.157582
28	1.032164	1.194814
29	0.984541	1.176344
30	1.002325	1.179078
31	0.971660	1.145663
32	1.007292	1.154017
33	1.011130	1.166861
34	1.003458	1.170896
35	1.013455	1.186651
36	1.006074	1.193859
37	0.993103	1.185626
38	0.971566	1.151914
39	0.977005	1.125425
40	0.973389	1.095476
41	1.027745	1.125870
42	0.999665	1.125492
43	1.033916	1.163665
44	0.982289	1.143055
45	1.025969	1.172739
46	1.007250	1.181241
47	0.984375	1.162784
48	0.998619	1.161178
49	0.998114	1.158988
50	1.011758	1.172616
51	1.013739	1.188726
52	0.986148	1.172261
53	1.026866	1.203754
54	0.996995	1.200138
55	0.995726	1.195009
56	0.980201	1.171349
57	0.982165	1.150458
58	0.995683	1.145492
59	1.000000	1.145492
60	1.020964	1.169506
61	1.027686	1.201884
62	1.010841	1.214915
63	0.995458	1.209396
64	0.998962	1.208140
65	1.004303	1.213339
66	0.999587	1.212837
67	1.005581	1.219606
68	0.993318	1.211457
69	1.007990	1.221137
70	0.994594	1.214535
71	1.004263	1.219713
72	1.022726	1.247432
73	1.014497	1.265515
74	0.997163	1.261926
75	0.997790	1.259137
76	1.023408	1.288610
77	0.974870	1.256227
78	0.982413	1.234134
79	1.012048	1.249003
80	0.990566	1.237220
81	1.007937	1.247039
82	1.002166	1.249740
83	1.004547	1.255422
84	0.997959	1.252859
85	1.020439	1.278466
86	0.983101	1.256862
87	1.025283	1.288639
88	1.009049	1.300301
89	1.016103	1.321239
90	1.008672	1.332697
91	0.994797	1.325763
92	0.944882	1.252689
93	1.050000	1.315324
94	1.005072	1.321996
95	1.012975	1.339148
96	0.956861	1.281379
97	0.983492	1.260227
98	0.979449	1.234328
99	0.992782	1.225418
