Running strategy pamr_o on dataset tse.
Start Time: 2018-0307-17-11-21-988.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.022351	1.038612
3	1.023537	1.063057
4	0.991743	1.054279
5	0.974710	1.027616
6	1.013725	1.041721
7	0.973405	1.014017
8	1.004158	1.018233
9	1.061865	1.081226
10	0.968716	1.047401
11	0.995673	1.042869
12	0.984098	1.026285
13	0.972713	0.998281
14	1.020762	1.019007
15	0.999018	1.018006
16	1.003844	1.021920
17	1.039606	1.062394
18	0.991048	1.052883
19	1.007407	1.060682
20	0.994481	1.054828
21	1.018741	1.074597
22	1.009816	1.085145
23	0.950733	1.031682
24	0.870044	0.897609
25	1.204540	1.081206
26	0.999083	1.080215
27	0.999814	1.080014
28	1.022052	1.103830
29	1.023836	1.130141
30	0.999623	1.129715
31	0.995476	1.124605
32	1.014229	1.140606
33	0.974468	1.111484
34	0.989763	1.100106
35	1.000345	1.100485
36	1.013673	1.115533
37	1.001332	1.117018
38	1.003789	1.121251
39	1.018847	1.142383
40	1.028536	1.174982
41	1.006177	1.182240
42	0.996997	1.178690
43	0.991933	1.169181
44	1.048190	1.225524
45	0.988235	1.211106
46	1.008672	1.221609
47	0.983503	1.201456
48	1.030520	1.238124
49	1.005174	1.244530
50	1.152704	1.434575
51	1.022031	1.466180
52	1.001729	1.468714
53	1.021740	1.500644
54	1.006413	1.510267
55	0.971585	1.467353
56	1.020434	1.497337
57	1.000326	1.497825
58	0.978358	1.465409
59	1.052210	1.541918
60	0.998903	1.540227
61	0.984998	1.517121
62	0.997302	1.513028
63	1.063394	1.608945
64	0.972982	1.565475
65	1.035270	1.620690
66	1.003585	1.626500
67	1.071465	1.742739
68	1.011903	1.763482
69	1.041670	1.836966
70	1.034492	1.900327
71	0.964254	1.832397
72	1.028414	1.884464
73	1.015716	1.914081
74	0.963201	1.843646
75	1.022267	1.884697
76	0.954550	1.799038
77	1.105245	1.988377
78	1.005449	1.999211
79	1.051676	2.102523
80	1.010880	2.125399
81	1.023261	2.174837
82	1.012235	2.201446
83	1.004175	2.210637
84	1.016079	2.246181
85	1.009425	2.267352
86	0.978723	2.219109
87	1.001080	2.221507
88	0.990000	2.199292
89	0.978489	2.151983
90	0.997767	2.147177
91	1.014002	2.177242
92	1.032420	2.247828
93	1.035734	2.328151
94	1.000797	2.330007
95	1.006886	2.346052
96	1.027477	2.410515
97	1.015835	2.448685
98	1.082781	2.651389
99	0.975595	2.586683
100	0.983437	2.543839
101	1.041056	2.648279
102	1.008239	2.670098
103	1.003841	2.680354
104	1.027128	2.753065
105	1.029021	2.832962
106	0.933708	2.645159
107	1.029895	2.724236
108	0.997095	2.716323
109	1.004737	2.729190
110	1.028570	2.807163
111	0.934272	2.622654
112	1.045230	2.741277
113	0.997176	2.733535
114	1.008765	2.757494
115	0.855739	2.359696
116	0.968944	2.286414
117	1.018508	2.328731
118	0.947080	2.205494
119	0.972920	2.145769
120	0.991352	2.127213
121	0.974024	2.071957
122	0.988573	2.048281
123	1.044489	2.139406
124	0.988553	2.114916
125	1.047368	2.215096
126	0.994089	2.202003
127	1.038543	2.286876
128	1.010173	2.310139
129	0.996247	2.301468
130	0.997107	2.294810
131	1.005826	2.308179
132	1.014382	2.341375
133	1.036524	2.426892
134	0.953716	2.314565
135	1.003203	2.321978
136	1.042336	2.420281
137	0.971626	2.351607
138	0.942481	2.216345
139	1.003663	2.224462
140	0.989807	2.201788
141	1.008197	2.219835
142	0.993641	2.205720
143	1.000915	2.207738
144	1.025730	2.264543
145	1.006492	2.279245
146	1.027033	2.340860
147	1.024854	2.399039
148	1.003331	2.407031
149	1.012272	2.436570
150	0.964356	2.349721
151	0.911392	2.141517
152	1.121050	2.400747
153	1.029720	2.472098
154	0.987077	2.440151
155	1.004013	2.449944
156	0.996224	2.440693
157	0.990465	2.417420
158	0.965149	2.333170
159	0.978878	2.283888
160	1.112952	2.541857
161	1.041103	2.646335
162	1.005612	2.661186
163	1.036922	2.759443
164	0.987032	2.723658
165	1.010189	2.751408
166	1.073200	2.952810
167	0.984587	2.907299
168	1.003564	2.917662
169	1.062565	3.100204
170	0.991420	3.073605
171	1.002564	3.081486
172	1.002440	3.089006
173	1.026325	3.170323
174	1.026712	3.255007
175	1.015430	3.305230
176	1.008796	3.334303
177	0.967062	3.224477
178	1.088240	3.509005
179	1.005062	3.526768
180	0.998894	3.522866
181	1.001966	3.529791
182	0.995422	3.513633
183	0.997074	3.503353
184	1.002713	3.512857
185	0.993021	3.488342
186	0.939110	3.275936
187	0.989474	3.241454
188	0.965809	3.130624
189	1.013236	3.172062
190	1.005373	3.189104
191	0.961686	3.066917
192	1.055802	3.238058
193	1.003537	3.249512
194	1.028167	3.341041
195	1.033189	3.451927
196	1.013596	3.498859
197	0.965245	3.377258
198	1.000000	3.377258
199	0.988870	3.339667
200	0.972206	3.246846
201	1.071125	3.477778
202	1.013019	3.523056
203	0.922446	3.249830
204	1.008480	3.277389
205	1.000000	3.277389
206	0.999905	3.277077
207	1.008062	3.303495
208	0.994064	3.283885
209	1.002670	3.292651
210	0.980866	3.229651
211	1.020123	3.294642
212	1.019610	3.359250
213	0.990567	3.327563
214	0.950839	3.163977
215	0.971598	3.074113
216	0.981065	3.015904
217	1.035296	3.122352
218	0.997466	3.114439
219	1.028892	3.204420
220	1.000312	3.205421
221	1.001260	3.209461
222	0.995501	3.195021
223	0.997164	3.185961
224	0.973099	3.100257
225	1.009095	3.128454
226	0.897699	2.808411
227	1.038460	2.916423
228	1.014271	2.958042
229	0.976679	2.889059
230	0.950890	2.747178
231	1.043480	2.866626
232	0.983241	2.818585
233	1.060151	2.988124
234	0.965844	2.886061
235	1.012485	2.922094
236	1.030526	3.011293
237	0.984767	2.965421
238	1.017578	3.017545
239	1.013250	3.057529
240	1.030879	3.151943
241	0.911057	2.871601
242	1.104170	3.170735
243	1.008693	3.198298
244	1.002142	3.205148
245	1.005862	3.223936
246	0.995035	3.207930
247	1.004567	3.222581
248	0.997391	3.214173
249	1.007056	3.236853
250	0.991725	3.210068
251	1.022767	3.283152
252	1.035876	3.400937
253	0.953468	3.242686
254	1.026833	3.329696
255	0.996066	3.316597
256	0.992224	3.290808
257	1.011105	3.327353
258	0.960524	3.196000
259	0.998011	3.189644
260	0.995391	3.174942
261	1.042350	3.309399
262	1.006427	3.330669
263	1.003030	3.340761
264	0.989733	3.306462
265	0.993238	3.284105
266	0.996277	3.271877
267	1.020372	3.338531
268	1.037069	3.462286
269	1.012450	3.505393
270	0.988833	3.466248
271	0.989877	3.431159
272	0.995350	3.415203
273	1.048420	3.580566
274	1.014625	3.632932
275	1.011363	3.674214
276	1.016970	3.736565
277	0.989734	3.698207
278	0.990659	3.663663
279	1.021611	3.742839
280	1.006975	3.768944
281	1.048211	3.950649
282	0.991631	3.917585
283	1.046829	4.101043
284	1.011893	4.149817
285	1.015199	4.212891
286	1.013383	4.269271
287	0.999994	4.269244
288	1.034612	4.417010
289	0.951816	4.204182
290	0.994709	4.181938
291	0.999385	4.179366
292	1.028638	4.299054
293	1.012876	4.354410
294	0.993730	4.327106
295	1.038380	4.493182
296	1.019657	4.581503
297	1.058121	4.847783
298	1.018653	4.938208
299	1.004394	4.959906
300	0.997765	4.948818
301	1.001235	4.954928
302	1.014032	5.024457
303	0.962633	4.836710
304	1.050938	5.083084
305	1.010370	5.135795
306	0.997767	5.124328
307	0.994075	5.093968
308	1.019810	5.194881
309	0.993385	5.160516
310	1.028359	5.306865
311	1.044360	5.542280
312	1.018643	5.645606
313	0.987698	5.576152
