Running strategy pamr_o_ on dataset djia.
Start Time: 2018-0725-22-20-16-868.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.002615	1.002615
2	0.981833	0.984401
3	1.024486	1.008505
4	0.970985	0.979243
5	1.004828	0.983970
6	0.982108	0.966365
7	1.013096	0.979021
8	1.005670	0.984572
9	1.001024	0.985580
10	0.980803	0.966659
11	0.942127	0.910716
12	1.066674	0.971437
13	1.009994	0.981145
14	1.004139	0.985207
15	0.981289	0.966773
16	0.996762	0.963642
17	1.008256	0.971598
18	1.029668	1.000423
19	1.009702	1.010129
20	1.019982	1.030314
21	0.999881	1.030191
22	0.990646	1.020555
23	1.021302	1.042294
24	1.000956	1.043291
25	0.994110	1.037146
26	0.973699	1.009868
27	1.008831	1.018786
28	1.001273	1.020083
29	1.042480	1.063416
30	1.014240	1.078559
31	0.995677	1.073896
32	0.934613	1.003678
33	0.983105	0.986721
34	0.977537	0.964556
35	0.986167	0.951213
36	1.012500	0.963103
37	0.994234	0.957550
38	1.008754	0.965932
39	0.955515	0.922962
40	1.023516	0.944667
41	1.016682	0.960427
42	0.994899	0.955528
43	0.984643	0.940853
44	1.014103	0.954123
45	0.956617	0.912730
46	0.940745	0.858646
47	1.060929	0.910962
48	0.984412	0.896761
49	1.030919	0.924489
50	0.981645	0.907519
51	1.058433	0.960548
52	0.930955	0.894227
53	1.026996	0.918368
54	0.989843	0.909039
55	1.045848	0.950717
56	1.020466	0.970175
57	0.992914	0.963301
58	1.036272	0.998241
59	0.986854	0.985118
60	1.012238	0.997174
61	0.989747	0.986950
62	0.948061	0.935689
63	0.986025	0.922612
64	1.132567	1.044921
65	1.000366	1.045303
66	0.984627	1.029234
67	1.031281	1.061430
68	0.995189	1.056323
69	1.001536	1.057945
70	1.002624	1.060721
71	0.990114	1.050235
72	1.078551	1.132733
73	1.005435	1.138889
74	0.976493	1.112117
75	1.008694	1.121787
76	0.960709	1.077711
77	1.009742	1.088209
78	0.991481	1.078939
79	1.015748	1.095930
80	1.005528	1.101989
81	1.017873	1.121684
82	0.998705	1.120231
83	0.987140	1.105825
84	1.015789	1.123285
85	1.001108	1.124529
86	0.972909	1.094064
87	1.002525	1.096827
88	0.969262	1.063113
89	0.963116	1.023901
90	0.984295	1.007821
91	0.992339	1.000099
92	0.993269	0.993368
93	1.002130	0.995483
94	1.007721	1.003170
95	1.031533	1.034803
96	0.982695	1.016895
97	0.993920	1.010713
98	0.997231	1.007914
99	0.996723	1.004610
100	0.999095	1.003701
101	0.958920	0.962469
102	1.015645	0.977527
103	0.991617	0.969332
104	0.991654	0.961242
105	1.006158	0.967161
106	0.965773	0.934059
107	1.004978	0.938708
108	0.983305	0.923036
109	0.972909	0.898030
110	0.960663	0.862704
111	0.972165	0.838691
112	0.890059	0.746484
113	1.043127	0.778677
114	0.996586	0.776019
115	0.993959	0.771331
116	0.984754	0.759571
117	0.978298	0.743087
118	0.989497	0.735282
119	0.995575	0.732028
120	0.988808	0.723836
121	0.992917	0.718709
122	1.027010	0.738121
123	0.987775	0.729097
124	0.997019	0.726924
125	1.020703	0.741973
126	0.984883	0.730757
127	0.974901	0.712416
128	1.002085	0.713902
129	0.993846	0.709509
130	1.010999	0.717313
131	1.027117	0.736764
132	1.003723	0.739507
133	0.995706	0.736332
134	1.008794	0.742807
135	1.000886	0.743466
136	1.006877	0.748579
137	1.006747	0.753629
138	0.969789	0.730861
139	0.981505	0.717344
140	1.049154	0.752605
141	0.982000	0.739058
142	1.012917	0.748604
143	1.001298	0.749576
144	1.006244	0.754256
145	0.994979	0.750469
146	0.996892	0.748137
147	1.001058	0.748928
148	0.991346	0.742447
149	1.011229	0.750784
150	0.987351	0.741287
151	1.000964	0.742001
152	1.015155	0.753247
153	0.986551	0.743116
154	1.003065	0.745394
155	0.980680	0.730993
156	1.016505	0.743058
157	0.983054	0.730467
158	0.995723	0.727343
159	0.994643	0.723446
160	1.024460	0.741142
161	0.998283	0.739869
162	1.010336	0.747516
163	0.992347	0.741796
164	1.002637	0.743752
165	0.986670	0.733838
166	0.977779	0.717531
167	1.004493	0.720755
168	0.999419	0.720336
169	0.969882	0.698641
170	0.971539	0.678757
171	0.958529	0.650608
172	0.979727	0.637418
173	0.869017	0.553927
174	0.973213	0.539089
175	0.966510	0.521035
176	0.923580	0.481217
177	1.015260	0.488561
178	1.040466	0.508331
179	0.989941	0.503217
180	0.987411	0.496882
181	0.963462	0.478727
182	1.053892	0.504527
183	0.977814	0.493333
184	1.056828	0.521368
185	1.067489	0.556555
186	0.992252	0.552243
187	1.009885	0.557701
188	1.001694	0.558646
189	1.043312	0.582843
190	1.019254	0.594065
191	1.010731	0.600439
192	0.983049	0.590261
193	0.990238	0.584499
194	1.000577	0.584836
195	0.972709	0.568875
196	0.991302	0.563927
197	0.991427	0.559092
198	1.022339	0.571581
199	0.936715	0.535409
200	1.011088	0.541346
201	1.009688	0.546590
202	1.012297	0.553312
203	0.976738	0.540440
204	0.978667	0.528911
205	0.921826	0.487564
206	1.048103	0.511017
207	1.035471	0.529144
208	1.055984	0.558767
209	1.005225	0.561687
210	0.991390	0.556850
211	0.980398	0.545935
212	1.034407	0.564719
213	0.994585	0.561661
214	1.036968	0.582425
215	1.002772	0.584039
216	0.986115	0.575930
217	1.009411	0.581350
218	1.027899	0.597569
219	1.012974	0.605322
220	1.021108	0.618099
221	1.026380	0.634404
222	0.984648	0.624665
223	0.981375	0.613030
224	1.009888	0.619092
225	1.012345	0.626735
226	0.997869	0.625400
227	0.978919	0.612216
228	1.012554	0.619902
229	0.986325	0.611425
230	0.989671	0.605109
231	1.017959	0.615976
232	0.991291	0.610612
233	0.990178	0.604615
234	0.968344	0.585475
235	0.990266	0.579776
236	1.021215	0.592076
237	0.998794	0.591362
238	1.013047	0.599077
239	1.007905	0.603813
240	0.986998	0.595962
241	0.995804	0.593462
242	1.008447	0.598474
243	1.001310	0.599258
244	1.011845	0.606356
245	1.011686	0.613442
246	0.995410	0.610626
247	0.995923	0.608137
248	1.011455	0.615103
249	0.995044	0.612054
250	0.980887	0.600356
251	1.004206	0.602881
252	1.005249	0.606046
253	1.018892	0.617495
254	0.998721	0.616705
255	0.996185	0.614352
256	0.970032	0.595941
257	0.944715	0.562995
258	1.002065	0.564158
259	1.008812	0.569129
260	0.970862	0.552545
261	0.998089	0.551490
262	1.004151	0.553779
263	0.994349	0.550650
264	1.019244	0.561246
265	0.947289	0.531662
266	1.033357	0.549397
267	1.012905	0.556487
268	1.066002	0.593216
269	0.950249	0.563703
270	0.960500	0.541436
271	1.014473	0.549273
272	1.011625	0.555658
273	1.015431	0.564232
274	1.001667	0.565173
275	0.993713	0.561619
276	1.017130	0.571240
277	0.998678	0.570485
278	0.952635	0.543464
279	0.958108	0.520697
280	1.044932	0.544093
281	1.002211	0.545296
282	1.001696	0.546221
283	1.028734	0.561916
284	0.996479	0.559937
285	0.995670	0.557512
286	1.005169	0.560394
287	1.055471	0.591480
288	1.016014	0.600952
289	0.990174	0.595047
290	1.021105	0.607606
291	0.990589	0.601888
292	1.015700	0.611337
293	0.999321	0.610922
294	0.988733	0.604039
295	0.987566	0.596528
296	0.988194	0.589485
297	0.992021	0.584782
298	0.983933	0.575386
299	1.004779	0.578136
300	0.967039	0.559080
301	1.020289	0.570423
302	1.002221	0.571690
303	0.984517	0.562839
304	0.992792	0.558782
305	1.005679	0.561955
306	1.001825	0.562980
307	0.998940	0.562383
308	0.989422	0.556435
309	0.983505	0.547256
310	1.008922	0.552139
311	0.996187	0.550033
312	0.933206	0.513295
313	1.003775	0.515232
314	1.026063	0.528661
315	0.920250	0.486500
316	1.015512	0.494046
317	0.992596	0.490389
318	1.039246	0.509635
319	0.997142	0.508178
