Running strategy pamr_o_ on dataset msci.
Start Time: 2018-0726-13-33-42-446.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.007986	1.007986
2	1.013756	1.021852
3	1.009641	1.031703
4	1.017418	1.049673
5	0.982990	1.031818
6	1.005095	1.037075
7	0.996693	1.033646
8	0.999500	1.033129
9	0.996847	1.029871
10	1.000000	1.029871
11	1.017483	1.047876
12	1.012375	1.060844
13	1.006901	1.068165
14	0.994039	1.061797
15	1.016968	1.079814
16	0.995427	1.074875
17	1.003709	1.078862
18	1.016514	1.096678
19	1.007338	1.104726
20	0.997553	1.102023
21	1.009954	1.112992
22	1.005599	1.119224
23	1.000252	1.119506
24	1.009980	1.130679
25	0.978196	1.106025
26	1.002873	1.109203
27	1.013771	1.124478
28	1.000188	1.124689
29	0.992958	1.116769
30	0.973754	1.087459
31	0.996690	1.083859
32	0.996951	1.080554
33	1.011053	1.092498
34	0.992969	1.084817
35	0.991028	1.075084
36	0.982793	1.056585
37	1.033302	1.091771
38	1.010464	1.103195
39	1.002969	1.106470
40	1.014054	1.122021
41	1.005411	1.128093
42	0.996605	1.124263
43	1.004154	1.128933
44	1.002598	1.131866
45	1.014250	1.147994
46	0.996186	1.143615
47	0.976154	1.116344
48	0.996992	1.112986
49	0.946243	1.053156
50	1.027864	1.082501
51	0.991078	1.072843
52	0.954195	1.023702
53	1.003878	1.027672
54	0.979566	1.006672
55	1.007026	1.013745
56	0.999834	1.013577
57	1.005273	1.018921
58	1.003928	1.022924
59	0.996941	1.019795
60	0.996564	1.016291
61	0.997678	1.013931
62	1.013532	1.027652
63	0.996130	1.023674
64	1.004600	1.028383
65	1.012254	1.040984
66	1.012349	1.053839
67	1.003296	1.057312
68	0.989640	1.046358
69	0.996919	1.043135
70	1.010040	1.053608
71	0.995709	1.049086
72	1.000186	1.049281
73	0.998307	1.047504
74	0.961763	1.007451
75	0.994407	1.001817
76	0.978167	0.979945
77	1.009585	0.989338
78	1.003885	0.993182
79	1.014393	1.007476
80	0.992188	0.999606
81	1.002157	1.001762
82	1.031840	1.033659
83	1.000030	1.033690
84	1.020714	1.055102
85	1.001673	1.056867
86	1.006438	1.063671
87	0.989496	1.052499
88	1.020410	1.073980
89	1.007307	1.081828
90	1.012790	1.095665
91	1.001077	1.096845
92	1.014839	1.113121
93	1.008897	1.123025
94	0.990601	1.112469
95	0.999427	1.111831
96	1.011143	1.124220
97	1.010723	1.136276
98	1.008163	1.145550
99	1.005626	1.151995
100	1.003706	1.156264
101	0.987584	1.141908
102	0.998639	1.140354
103	0.998974	1.139185
104	0.995906	1.134521
105	0.996484	1.130532
106	0.993173	1.122814
107	1.012550	1.136905
108	1.014863	1.153803
109	1.011703	1.167306
110	1.003243	1.171091
111	1.004986	1.176929
112	0.996964	1.173356
113	0.981344	1.151467
114	0.977813	1.125919
115	0.989564	1.114170
116	1.002685	1.117161
117	1.004343	1.122013
118	1.003964	1.126461
119	1.004426	1.131447
120	0.996830	1.127860
121	1.010765	1.140001
122	1.002878	1.143282
123	0.996440	1.139212
124	1.006146	1.146214
125	0.994699	1.140137
126	1.008560	1.149897
127	1.033401	1.188305
128	1.019522	1.211503
129	1.002918	1.215038
130	0.990627	1.203649
131	1.004140	1.208632
132	0.995641	1.203364
133	1.002612	1.206507
134	1.020187	1.230862
135	0.992649	1.221814
136	1.005515	1.228552
137	1.012105	1.243424
138	0.999729	1.243087
139	1.010901	1.256638
