Running strategy pamr_o_ on dataset sp500.
Start Time: 2018-0726-00-15-08-886.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.005824	1.005824
2	0.999695	1.005517
3	1.024073	1.029723
4	0.988510	1.017891
5	0.963778	0.981021
6	1.047742	1.027857
7	1.001840	1.029749
8	0.976277	1.005320
9	0.980000	0.985213
10	1.007554	0.992655
11	1.018545	1.011064
12	0.996441	1.007465
13	0.992509	0.999919
14	1.029173	1.029090
15	0.993241	1.022135
16	1.032507	1.055361
17	1.006394	1.062110
18	1.003572	1.065904
19	1.007249	1.073630
20	1.011563	1.086045
21	0.994326	1.079882
22	1.003281	1.083425
23	0.982731	1.064715
24	1.040392	1.107722
25	1.000578	1.108363
26	0.997773	1.105894
27	1.035044	1.144649
28	1.026325	1.174782
29	0.985174	1.157365
30	0.984072	1.138930
31	0.971660	1.106653
32	1.007292	1.114722
33	1.011053	1.127043
34	1.003458	1.130940
35	1.013431	1.146130
36	1.005938	1.152935
37	0.993103	1.144984
38	0.971566	1.112428
39	0.977005	1.086847
40	0.973351	1.057884
41	1.042084	1.102404
42	0.998389	1.100628
43	1.033916	1.137957
44	0.982494	1.118036
45	1.032672	1.154564
46	1.007851	1.163629
47	0.984375	1.145447
48	0.995936	1.140793
49	0.996967	1.137333
50	1.010414	1.149178
51	1.013637	1.164849
52	0.990191	1.153423
53	1.026866	1.184411
54	0.996735	1.180544
55	0.998772	1.179094
56	0.980281	1.155842
57	0.986315	1.140024
58	0.995683	1.135103
59	1.011524	1.148185
60	1.019364	1.170418
61	1.027237	1.202297
62	1.009117	1.213259
63	0.990532	1.201772
64	1.007270	1.210509
65	0.998704	1.208940
66	0.983544	1.189046
67	1.006817	1.197151
68	0.993352	1.189193
69	1.000825	1.190174
70	0.993086	1.181945
71	0.996639	1.177972
72	1.022423	1.204386
73	1.015632	1.223213
74	0.997174	1.219756
75	0.999029	1.218571
76	1.021830	1.245172
77	0.974870	1.213881
78	0.982413	1.192532
79	1.012048	1.206900
80	0.990566	1.195514
81	1.007937	1.205002
82	1.000000	1.205002
83	1.008008	1.214652
84	1.001362	1.216306
85	1.024919	1.246616
86	0.983998	1.226667
87	1.026095	1.258677
88	1.011258	1.272846
89	1.016103	1.293343
90	1.009183	1.305220
91	0.995074	1.298791
92	0.944882	1.227204
93	1.050000	1.288564
94	0.999807	1.288315
95	1.012754	1.304746
96	0.970543	1.266312
97	0.989175	1.252605
98	0.979485	1.226907
99	0.992782	1.218051
