Running strategy pamr_o_ on dataset tse.
Start Time: 2018-0726-09-16-36-901.
-------------------------------------
Parameters [epsilon:0.50, tc:0.0000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.022351	1.038612
3	1.023537	1.063057
4	0.991743	1.054279
5	0.974710	1.027616
6	1.013725	1.041721
7	0.973405	1.014017
8	1.004158	1.018233
9	1.061865	1.081226
10	0.968716	1.047401
11	0.995673	1.042869
12	0.973752	1.015496
13	0.969234	0.984253
14	1.020353	1.004286
15	1.004632	1.008937
16	1.009123	1.018142
17	1.039584	1.058445
18	0.988874	1.046668
19	1.005717	1.052652
20	0.999656	1.052289
21	1.017040	1.070221
22	1.005593	1.076207
23	0.944727	1.016722
24	0.863627	0.878069
25	1.204540	1.057669
26	0.999494	1.057134
27	0.997549	1.054543
28	1.026307	1.082285
29	1.040000	1.125576
30	0.996828	1.122006
31	0.989355	1.110062
32	1.010544	1.121767
33	0.998816	1.120439
34	0.988922	1.108026
35	1.000229	1.108280
36	1.020831	1.131366
37	1.005719	1.137836
38	0.996103	1.133402
39	1.017416	1.153141
40	1.023882	1.180680
41	0.998919	1.179404
42	0.996040	1.174734
43	1.001262	1.176216
44	1.034411	1.216690
45	1.002617	1.219874
46	1.007296	1.228775
47	0.994555	1.222085
48	1.042836	1.274434
49	0.994454	1.267366
50	1.070300	1.356463
51	1.016085	1.378282
52	0.999672	1.377830
53	1.012003	1.394368
54	1.010039	1.408365
55	0.977150	1.376184
56	1.002008	1.378947
57	1.012418	1.396070
58	0.992633	1.385784
59	1.040025	1.441250
60	0.994914	1.433920
61	0.981087	1.406801
62	0.994071	1.398460
63	1.032935	1.444519
64	0.969855	1.400974
65	1.024916	1.435880
66	1.003137	1.440385
67	1.076773	1.550967
68	1.015118	1.574414
69	1.041670	1.640020
70	1.033820	1.695486
71	0.963509	1.633616
72	1.031245	1.684659
73	1.017782	1.714615
74	0.962519	1.650350
75	1.023530	1.689182
76	0.958087	1.618384
77	1.095522	1.772976
78	0.999051	1.771293
79	1.052881	1.864961
80	1.009156	1.882036
81	1.018234	1.916353
82	1.007993	1.931670
83	1.003582	1.938589
84	1.013300	1.964373
85	1.006400	1.976945
86	0.988991	1.955180
87	1.002189	1.959459
88	0.991837	1.943465
89	0.977344	1.899433
90	0.982287	1.865789
91	1.016516	1.896604
92	1.031293	1.955955
93	1.036906	2.028142
94	1.001558	2.031301
95	1.004637	2.040721
96	1.032427	2.106896
97	1.017687	2.144161
98	1.093012	2.343593
99	0.974106	2.282909
100	0.982332	2.242575
101	1.042210	2.337234
102	1.008507	2.357117
103	1.003940	2.366403
104	1.023061	2.420974
105	1.027714	2.488069
106	0.929590	2.312884
107	1.028554	2.378925
108	0.972449	2.313384
109	1.019491	2.358473
110	1.015410	2.394817
111	0.968831	2.320174
112	1.026435	2.381508
113	0.997382	2.375273
114	1.012544	2.405068
115	0.926370	2.227982
116	0.967437	2.155431
117	1.026806	2.213208
118	0.961944	2.128982
119	0.972110	2.069606
120	1.033338	2.138603
121	0.974313	2.083668
122	0.998156	2.079827
123	1.041616	2.166381
124	0.996139	2.158017
125	1.059317	2.286025
126	0.997120	2.279442
127	1.034880	2.358950
128	1.010998	2.384894
129	1.002730	2.391404
130	0.993694	2.376325
131	1.004050	2.385950
132	1.013625	2.418459
133	1.026000	2.481340
134	0.988532	2.452883
135	1.011930	2.482145
136	1.022749	2.538610
137	0.971724	2.466829
138	0.942141	2.324100
139	1.004273	2.334030
140	0.991759	2.314796
141	1.008064	2.333462
142	0.994908	2.321581
143	0.996557	2.313587
144	1.033999	2.392246
145	1.006218	2.407121
146	1.030948	2.481617
147	1.024728	2.542981
148	1.004511	2.554452
149	1.010392	2.580999
150	0.935160	2.413646
151	0.911392	2.199778
152	1.118308	2.460028
153	1.029789	2.533310
154	0.986046	2.497961
155	1.013543	2.531790
156	1.005782	2.546430
157	0.963158	2.452615
158	0.952934	2.337180
159	0.978962	2.288010
160	1.133429	2.593297
161	1.055672	2.737671
162	1.003707	2.747819
163	1.035437	2.845192
164	0.984606	2.801392
165	1.011882	2.834678
166	1.083450	3.071233
167	0.985433	3.026495
168	0.999774	3.025813
169	1.124095	3.401301
170	0.986330	3.354803
171	1.000971	3.358060
172	0.990674	3.326743
173	1.032887	3.436151
174	1.027800	3.531676
175	1.017041	3.591859
176	1.005249	3.610713
177	0.963326	3.478293
178	1.088240	3.785218
179	1.005067	3.804398
180	0.998874	3.800113
181	0.999574	3.798495
182	0.995191	3.780229
183	0.999233	3.777331
184	0.999079	3.773853
185	0.997426	3.764137
186	0.957992	3.606015
187	0.988590	3.564869
188	0.963053	3.433157
189	1.032290	3.544015
190	1.006096	3.565620
191	0.964996	3.440807
192	1.051069	3.616527
193	1.009263	3.650028
194	1.025203	3.742021
195	1.022055	3.824550
196	1.019255	3.898194
197	0.974294	3.797985
198	1.001330	3.803038
199	0.990414	3.766584
200	0.982735	3.701555
201	1.069643	3.959343
202	1.011857	4.006288
203	0.940956	3.769741
204	1.008142	3.800436
205	0.998646	3.795290
206	1.008156	3.826243
207	1.009931	3.864243
208	0.999225	3.861249
209	1.001378	3.866570
210	0.990264	3.828925
211	1.008673	3.862132
212	1.019606	3.937852
213	0.994436	3.915943
214	0.956643	3.746160
215	0.973998	3.648752
216	0.981541	3.581400
217	1.030955	3.692261
218	0.989868	3.654853
219	1.013496	3.704179
220	0.999342	3.701741
221	1.001441	3.707076
222	0.995115	3.688965
223	0.995660	3.672953
224	0.965705	3.546990
225	1.006056	3.568471
226	0.916233	3.269552
227	1.039501	3.398703
228	1.014934	3.449458
229	0.969624	3.344679
230	0.943505	3.155722
231	1.043480	3.292933
232	0.988177	3.254000
233	1.089314	3.544627
234	0.968006	3.431221
235	1.010855	3.468468
236	1.033778	3.585625
237	0.984585	3.530351
238	1.037062	3.661194
239	1.022129	3.742212
240	1.028109	3.847400
241	0.913107	3.513088
242	1.104170	3.879046
243	1.013960	3.933199
244	1.002080	3.941381
245	1.003924	3.956846
246	0.992660	3.927802
247	1.008806	3.962391
248	0.997220	3.951374
249	1.006349	3.976463
250	0.991875	3.944155
251	1.023984	4.038752
252	1.034792	4.179267
253	0.950384	3.971910
254	1.032507	4.101026
255	0.996323	4.085948
256	0.986310	4.030011
257	1.016288	4.095654
258	0.961376	3.937463
259	0.998008	3.929618
260	0.993117	3.902572
261	1.038565	4.053075
262	1.014288	4.110984
263	1.003670	4.126072
264	0.996255	4.110620
265	0.986321	4.054391
266	1.000279	4.055523
267	1.020847	4.140071
268	1.037458	4.295151
269	1.012802	4.350138
270	0.988586	4.300484
271	0.990502	4.259636
272	0.983036	4.187378
273	1.058263	4.431346
274	1.013795	4.492478
275	1.010240	4.538480
276	1.023531	4.645273
277	0.989862	4.598179
278	0.989560	4.550172
279	1.021958	4.650084
280	1.007129	4.683235
281	1.051519	4.924510
282	0.993458	4.892292
283	1.043181	5.103549
284	1.011411	5.161784
285	1.018615	5.257869
286	1.008145	5.300695
287	1.003419	5.318820
288	1.035378	5.506992
289	0.953886	5.253043
290	0.994709	5.225249
291	0.984859	5.146134
292	1.030409	5.302624
293	1.009206	5.351437
294	0.995934	5.329679
295	1.018683	5.429254
296	1.004804	5.455338
297	1.033774	5.639589
298	1.016805	5.734363
299	1.005459	5.765665
300	0.998607	5.757633
301	0.999668	5.755720
302	1.019021	5.865200
303	0.983766	5.769984
304	1.029573	5.940623
305	1.000528	5.943757
306	0.998588	5.935362
307	0.991820	5.886811
308	1.017648	5.990701
309	0.995565	5.964130
310	1.023102	6.101911
311	1.020272	6.225609
312	1.013585	6.310186
313	0.989968	6.246879
